sample,spec,lag,rank,ect_min,ect_max,ect_range,ect_mean,ect_sd,ect_var,alpha_first_eq
FULL,S1_A,1,1,-4.7005529390103185,-3.913187232127644,0.7873657068826745,-4.310715984184613,0.1820136583277591,0.03312897181785423,-0.2443572663551
FULL,S1_A,2,1,-4.221619549476998,-3.477528922094084,0.7440906273829135,-3.8905512445503976,0.1838312325112667,0.033793922046611406,-0.1989131896620714
FULL,S1_B,1,1,-5.099601034644348,-4.2317055377347685,0.8678954969095791,-4.719969347959358,0.17853428555706174,0.03187449111937047,-0.38002695022756333
FULL,S1_B,2,1,-4.868266548689508,-4.0300819383410635,0.8381846103484447,-4.48912599802272,0.17861209881660867,0.031902281843673976,-0.46570941104046826
FULL,S1_C,1,1,6.821482208652755,9.661869871895771,2.840387663243016,8.075445801673268,0.5450752388764177,0.2971070160361839,-0.07284944200065707
FULL,S1_C,2,1,4.613184594802974,6.887153761638996,2.2739691668360216,5.635632596545165,0.4319241101084006,0.18655843689293378,-0.14364052060712543
FULL,S1_D,1,1,36.962966167574905,45.75119321696924,8.788227049394337,40.70868528906192,1.661232667141514,2.759693974378109,-0.019595869180081976
FULL,S1_D,2,1,-8.467762887749661,-7.676514476132088,0.7912484116175733,-8.033162095128034,0.18362233192232197,0.033717160780591386,-0.38170830014405754
PRE1974,S1_A,1,1,-4.738308827531425,-4.401116311902614,0.3371925156288107,-4.546500447847451,0.08871918167774169,0.007871093197568136,-0.7820856548848129
PRE1974,S1_A,2,1,-4.341318361220798,-4.001252081077007,0.34006628014379103,-4.15282861340412,0.08581202524647842,0.007363703676902249,-0.7377224273794574
PRE1974,S1_B,1,1,-4.807378390502852,-4.440215694846197,0.3671626956566554,-4.616088513657313,0.09227271873746,0.008514254623202402,-0.7523490652088175
PRE1974,S1_B,2,1,-4.583559193430255,-4.105562261537804,0.4779969318924513,-4.34864324545999,0.10485050569860421,0.010993628545253034,-0.5886053966332234
PRE1974,S1_C,1,1,-4.577615794647363,-4.232827028355399,0.34478876629196353,-4.3872354129141895,0.08878430396039366,0.007882652629731575,-0.7568344855095664
PRE1974,S1_C,2,1,-4.187839446110788,-3.7250697438691973,0.4627697022415904,-3.937143843260939,0.10644761819231768,0.011331095418817442,-0.4287943572038899
PRE1974,S1_D,1,1,-6.685604597074663,-6.230648005800316,0.45495659127434696,-6.497149007089519,0.10036408341418594,0.010072949239569673,-0.796958944592026
PRE1974,S1_D,2,1,-8.124835908980856,-7.557086855537907,0.5677490534429488,-7.918919569750436,0.13202749402884564,0.017431259179536873,-0.8595642592507102
ISI1931_1973,S1_A,1,1,-4.738308827531425,-4.401116311902614,0.3371925156288107,-4.546500447847451,0.08871918167774169,0.007871093197568136,-0.7820856548848129
ISI1931_1973,S1_A,2,1,-4.341318361220798,-4.001252081077007,0.34006628014379103,-4.15282861340412,0.08581202524647842,0.007363703676902249,-0.7377224273794574
ISI1931_1973,S1_B,1,1,-4.807378390502852,-4.440215694846197,0.3671626956566554,-4.616088513657313,0.09227271873746,0.008514254623202402,-0.7523490652088175
ISI1931_1973,S1_B,2,1,-4.583559193430255,-4.105562261537804,0.4779969318924513,-4.34864324545999,0.10485050569860421,0.010993628545253034,-0.5886053966332234
ISI1931_1973,S1_C,1,1,-4.577615794647363,-4.232827028355399,0.34478876629196353,-4.3872354129141895,0.08878430396039366,0.007882652629731575,-0.7568344855095664
ISI1931_1973,S1_C,2,1,-4.187839446110788,-3.7250697438691973,0.4627697022415904,-3.937143843260939,0.10644761819231768,0.011331095418817442,-0.4287943572038899
ISI1931_1973,S1_D,1,1,-6.685604597074663,-6.230648005800316,0.45495659127434696,-6.497149007089519,0.10036408341418594,0.010072949239569673,-0.796958944592026
ISI1931_1973,S1_D,2,1,-8.124835908980856,-7.557086855537907,0.5677490534429488,-7.918919569750436,0.13202749402884564,0.017431259179536873,-0.8595642592507102
POST1974,S1_A,1,1,0.23506045699236644,1.2529741766622404,1.017913719669874,0.856679401972525,0.2969229255347008,0.08816322370808548,-0.1185685387870305
POST1974,S1_A,2,1,0.25693951937360815,1.276239397570583,1.0192998781969749,0.8797657165851881,0.2976352729719934,0.08858675571711302,-0.17807867009555606
POST1974,S1_B,1,1,-6.3749867588293725,-5.633822706306642,0.7411640525227305,-6.019414042594171,0.1828293122679707,0.03342655742437914,-0.7212456677386869
POST1974,S1_B,2,1,-3.1219564124806523,-2.312703748386765,0.8092526640938873,-2.654823598610437,0.22682688932507702,0.051450437720890745,-0.596062820401585
POST1974,S1_C,1,1,7.81637486343241,9.580260029051269,1.7638851656188592,8.64702811774606,0.33136018771684117,0.1097995740037402,-0.2701567970679727
POST1974,S1_C,2,1,8.317865233262042,10.112778069374887,1.7949128361128448,9.17899633782663,0.3389398272228732,0.11488020647787114,-0.36978085537275057
POST1974,S1_D,1,1,3.7950432826997282,5.024123629355591,1.2290803466558629,4.476920732995362,0.2990141509521346,0.08940946246962596,-0.29978696387650167
POST1974,S1_D,2,1,-15.481482099953768,-9.496609717292408,5.98487238266136,-11.684736845303942,1.585540700644364,2.5139393133998205,-0.023691166208965424
