sample,spec,statistic,p_value
FULL,S1_A,15.253800658390196,4.8716858264139017e-4
FULL,S1_B,5.629267894376403,0.059926651044793
FULL,S1_C,9.407464626458461,0.009061393949247846
FULL,S1_D,5.54337235055013,0.06255643464892438
PRE1974,S1_A,4.763007065215625,0.09241152925717044
PRE1974,S1_B,5.098586071948021,0.07813688644723982
PRE1974,S1_C,5.046468734291667,0.08019979123677123
PRE1974,S1_D,4.079535382456125,0.13005892119749188
ISI1931_1973,S1_A,4.763007065215625,0.09241152925717044
ISI1931_1973,S1_B,5.098586071948021,0.07813688644723982
ISI1931_1973,S1_C,5.046468734291667,0.08019979123677123
ISI1931_1973,S1_D,4.079535382456125,0.13005892119749188
POST1974,S1_A,4.098114622960693,0.1288563177223592
POST1974,S1_B,2.6232024952909474,0.2693883533786506
POST1974,S1_C,5.535482019223989,0.06280371761230076
POST1974,S1_D,1.754297944631734,0.41596715660105205
