spec,break_year,term,estimate,std_error,statistic,p_value,sig_code,sig_label
S1_A,1974,(Intercept),-3.4941768935945343,1.1230298008112436,-3.1113839464192705,0.0027359525472010434,3,99
S1_A,1974,post_break,0.3811725848005883,1.2805271902939668,0.2976684819266381,0.7668772575160362,0,0
S1_A,1974,log_KME,1.0309527946796093,0.06710629822497859,15.36298115004448,1.2132054029309134e-23,3,99
S1_A,1974,post_break:log_KME,-0.012233000463396615,0.07496280802424846,-0.16318759643368172,0.8708619594086726,0,0
S1_B,1974,(Intercept),-3.4711709584977823,0.8199393360684415,-4.233448507473532,7.384821113291432e-5,3,99
S1_B,1974,post_break,-4.898122516624283,1.149001349708316,-4.262938871105516,6.662805097069511e-5,3,99
S1_B,1974,log_KME,1.0497838414598482,0.07917379784975517,13.259233104517474,3.759990660362819e-20,3,99
S1_B,1974,log_NRS_proxy,-0.0230289657565352,0.07626077734162422,-0.3019765410123306,0.7636340566851816,0,0
S1_B,1974,post_break:log_KME,-0.5063985115040591,0.1025710242477412,-4.937052303201613,5.825389901419872e-6,3,99
S1_B,1974,post_break:log_NRS_proxy,0.8849971990120704,0.13363889640622945,6.62230250930759,8.020719669910952e-9,3,99
S1_C,1974,(Intercept),-3.6148246445045795,1.0059247527628783,-3.5935338449283436,6.284100226914488e-4,3,99
S1_C,1974,post_break,3.9459279713027975,1.328754675706507,2.969643714860099,0.00417292102557336,3,99
S1_C,1974,log_KME,1.0325161602868351,0.057919843289431894,17.826639397610887,1.0148608855057019e-26,3,99
S1_C,1974,omega,0.16600607592648603,0.37913745056955817,0.43785196022472556,0.6629451826643227,0,0
S1_C,1974,post_break:log_KME,-0.1341658411627563,0.06899645603641569,-1.9445323552842309,0.05616073470983432,1,90
S1_C,1974,post_break:omega,-2.969027911281133,0.6759394395431289,-4.392446627005394,4.2238297731912446e-5,3,99
S1_D,1974,(Intercept),-3.932243209728691,1.128359381580871,-3.4849209160821446,9.0174017325619e-4,3,99
S1_D,1974,post_break,-5.621364180073044,2.3515909673821827,-2.3904515105068675,0.019829274418634874,2,95
S1_D,1974,log_KME,0.9671656870258203,0.15894046971068262,6.085081343891458,7.602986927644543e-8,3,99
S1_D,1974,log_NRS_proxy,0.08362495824639687,0.19333300698815123,0.43254361761166826,0.6668234415014471,0,0
S1_D,1974,omega,0.4878110184185139,0.8110951179145054,0.6014227032617059,0.549716563567531,0,0
S1_D,1974,post_break:log_KME,-0.45381258973688426,0.17863419451459256,-2.5404575589239298,0.013547715372323793,2,95
S1_D,1974,post_break:log_NRS_proxy,0.8717590556998565,0.26838675655878885,3.248144829787463,0.0018642600378330335,3,99
S1_D,1974,post_break:omega,0.01243928223194177,1.1399582598914693,0.010912050615893659,0.9913280980397872,0,0
