ECT,equation,sample,spec,lag,rank
-0.021825663626892033,Equation omega,POST1974,S1_C,1,1
-0.36978085537275057,Equation log_M,POST1974,S1_C,2,1
-0.03427585333786674,Equation log_KME,POST1974,S1_C,2,1
-0.04560299139890958,Equation omega,POST1974,S1_C,2,1
-0.29978696387650167,Equation log_M,POST1974,S1_D,1,1
-0.030161941216058377,Equation log_KME,POST1974,S1_D,1,1
0.009259172040955933,Equation log_NRS_proxy,POST1974,S1_D,1,1
-0.03413250737456982,Equation omega,POST1974,S1_D,1,1
-0.023691166208965424,Equation log_M,POST1974,S1_D,2,1
0.0019509489086586176,Equation log_KME,POST1974,S1_D,2,1
-0.01486642168731203,Equation log_NRS_proxy,POST1974,S1_D,2,1
0.013976638481572346,Equation omega,POST1974,S1_D,2,1
