spec,test_type,break_year,n_total,n_isi,n_post,df_num,df_den,f_stat,p_value,sig_code,sig_label
S1_A,intercept_shift,1974,71,34,37,1,68,7.097053174193388,0.009632841590364526,3,99
S1_A,slope_shift,1974,71,34,37,1,67,0.026630191629800383,0.8708619594086768,0,0
S1_A,joint_break,1974,71,34,37,2,67,3.5110471440280815,0.035473174225240184,2,95
S1_B,intercept_shift,1974,71,34,37,1,67,0.22654349263749804,0.6356470790584121,0,0
S1_B,slope_shift,1974,71,34,37,2,65,22.451951190217393,3.861516627883413e-8,3,99
S1_B,joint_break,1974,71,34,37,3,65,15.091838176064105,1.4729610702881052e-7,3,99
S1_C,intercept_shift,1974,71,34,37,1,67,3.184177753197413,0.07888184766320094,1,90
S1_C,slope_shift,1974,71,34,37,2,65,9.815297981797803,1.8838382823134606e-4,3,99
S1_C,joint_break,1974,71,34,37,3,65,7.884222838149381,1.455439616072987e-4,3,99
S1_D,intercept_shift,1974,71,34,37,1,66,0.12644774164997516,0.7232779727613005,0,0
S1_D,slope_shift,1974,71,34,37,3,63,14.794776901784607,2.1313532700989028e-7,3,99
S1_D,joint_break,1974,71,34,37,4,63,11.147516411589539,6.702462118762638e-7,3,99
