year,ECT,sample,spec,lag,rank
1945,-4.473897026294642,ISI1931_1973,S1_A,1,1
1946,-4.4445593567948265,ISI1931_1973,S1_A,1,1
1947,-4.425863153166054,ISI1931_1973,S1_A,1,1
1948,-4.475572126436708,ISI1931_1973,S1_A,1,1
1949,-4.466583292611306,ISI1931_1973,S1_A,1,1
1950,-4.56467583164007,ISI1931_1973,S1_A,1,1
1951,-4.445582133055527,ISI1931_1973,S1_A,1,1
1952,-4.49173132726183,ISI1931_1973,S1_A,1,1
1953,-4.5524637970564825,ISI1931_1973,S1_A,1,1
1954,-4.607032654913697,ISI1931_1973,S1_A,1,1
1955,-4.506869289988037,ISI1931_1973,S1_A,1,1
1956,-4.603095061562939,ISI1931_1973,S1_A,1,1
1957,-4.553078270449342,ISI1931_1973,S1_A,1,1
1958,-4.7118529296271685,ISI1931_1973,S1_A,1,1
1959,-4.738308827531425,ISI1931_1973,S1_A,1,1
1960,-4.499753042617293,ISI1931_1973,S1_A,1,1
1961,-4.401116311902614,ISI1931_1973,S1_A,1,1
1962,-4.587528968925154,ISI1931_1973,S1_A,1,1
1963,-4.690250247568439,ISI1931_1973,S1_A,1,1
1964,-4.685351782540597,ISI1931_1973,S1_A,1,1
1965,-4.698038076783169,ISI1931_1973,S1_A,1,1
1966,-4.4907208357598005,ISI1931_1973,S1_A,1,1
1967,-4.618881837165134,ISI1931_1973,S1_A,1,1
1968,-4.5819313173313,ISI1931_1973,S1_A,1,1
1969,-4.472179483043158,ISI1931_1973,S1_A,1,1
1970,-4.544472615875906,ISI1931_1973,S1_A,1,1
1971,-4.605906393397696,ISI1931_1973,S1_A,1,1
1972,-4.54179557339565,ISI1931_1973,S1_A,1,1
1973,-4.444444334229512,ISI1931_1973,S1_A,1,1
1940,-4.104191372391687,ISI1931_1973,S1_A,2,1
1941,-4.093703544265047,ISI1931_1973,S1_A,2,1
1942,-4.1365191444581875,ISI1931_1973,S1_A,2,1
1943,-4.238509083630843,ISI1931_1973,S1_A,2,1
1944,-4.179350579105815,ISI1931_1973,S1_A,2,1
1945,-4.094538746098069,ISI1931_1973,S1_A,2,1
1946,-4.0649397890102,ISI1931_1973,S1_A,2,1
1947,-4.045046462036984,ISI1931_1973,S1_A,2,1
1948,-4.093787721033925,ISI1931_1973,S1_A,2,1
1949,-4.08339771943322,ISI1931_1973,S1_A,2,1
1950,-4.180363601449422,ISI1931_1973,S1_A,2,1
1951,-4.059727570792546,ISI1931_1973,S1_A,2,1
1952,-4.104343320297245,ISI1931_1973,S1_A,2,1
1953,-4.163923216673258,ISI1931_1973,S1_A,2,1
1954,-4.217682377054631,ISI1931_1973,S1_A,2,1
1955,-4.116298540855949,ISI1931_1973,S1_A,2,1
1956,-4.211037680706038,ISI1931_1973,S1_A,2,1
1957,-4.158886304236182,ISI1931_1973,S1_A,2,1
1958,-4.315749510468182,ISI1931_1973,S1_A,2,1
1959,-4.341318361220798,ISI1931_1973,S1_A,2,1
1960,-4.101493700462328,ISI1931_1973,S1_A,2,1
1961,-4.001252081077007,ISI1931_1973,S1_A,2,1
1962,-4.186356575726508,ISI1931_1973,S1_A,2,1
1963,-4.288179305561076,ISI1931_1973,S1_A,2,1
1964,-4.2823065977029735,ISI1931_1973,S1_A,2,1
1965,-4.294383885314732,ISI1931_1973,S1_A,2,1
1966,-4.086132338649387,ISI1931_1973,S1_A,2,1
1967,-4.213370168799891,ISI1931_1973,S1_A,2,1
1968,-4.175301599006566,ISI1931_1973,S1_A,2,1
1969,-4.064578823497024,ISI1931_1973,S1_A,2,1
1970,-4.135879019252206,ISI1931_1973,S1_A,2,1
1971,-4.196616784482796,ISI1931_1973,S1_A,2,1
1972,-4.132326423513646,ISI1931_1973,S1_A,2,1
1973,-4.0346809074757175,ISI1931_1973,S1_A,2,1
1940,-4.539080404716884,ISI1931_1973,S1_B,1,1
1941,-4.52743468514845,ISI1931_1973,S1_B,1,1
1942,-4.591963814125792,ISI1931_1973,S1_B,1,1
1943,-4.687840473239639,ISI1931_1973,S1_B,1,1
1944,-4.6224743979599054,ISI1931_1973,S1_B,1,1
1945,-4.549814282433211,ISI1931_1973,S1_B,1,1
1946,-4.525178781634552,ISI1931_1973,S1_B,1,1
1947,-4.446728094392067,ISI1931_1973,S1_B,1,1
1948,-4.550602796109233,ISI1931_1973,S1_B,1,1
1949,-4.531760159246068,ISI1931_1973,S1_B,1,1
1950,-4.642045712139647,ISI1931_1973,S1_B,1,1
1951,-4.527501571280423,ISI1931_1973,S1_B,1,1
1952,-4.546278120094304,ISI1931_1973,S1_B,1,1
1953,-4.656353960330583,ISI1931_1973,S1_B,1,1
1954,-4.708178337117542,ISI1931_1973,S1_B,1,1
1955,-4.606021709370231,ISI1931_1973,S1_B,1,1
1956,-4.685307388535927,ISI1931_1973,S1_B,1,1
1957,-4.630522902898305,ISI1931_1973,S1_B,1,1
1958,-4.807378390502852,ISI1931_1973,S1_B,1,1
1959,-4.805712938742089,ISI1931_1973,S1_B,1,1
1960,-4.553730028958953,ISI1931_1973,S1_B,1,1
1961,-4.440215694846197,ISI1931_1973,S1_B,1,1
1962,-4.643614971234391,ISI1931_1973,S1_B,1,1
1963,-4.754475960376282,ISI1931_1973,S1_B,1,1
1964,-4.714491704338654,ISI1931_1973,S1_B,1,1
1965,-4.7449651984091705,ISI1931_1973,S1_B,1,1
1966,-4.567921234938254,ISI1931_1973,S1_B,1,1
1967,-4.69054898116229,ISI1931_1973,S1_B,1,1
1968,-4.660513453754526,ISI1931_1973,S1_B,1,1
1969,-4.558441110357246,ISI1931_1973,S1_B,1,1
1970,-4.6267815386643445,ISI1931_1973,S1_B,1,1
1971,-4.684570857310498,ISI1931_1973,S1_B,1,1
1972,-4.591546531820706,ISI1931_1973,S1_B,1,1
1973,-4.527013278159414,ISI1931_1973,S1_B,1,1
1940,-4.2533487548953,ISI1931_1973,S1_B,2,1
1941,-4.240692540230643,ISI1931_1973,S1_B,2,1
1942,-4.3454998989406715,ISI1931_1973,S1_B,2,1
1943,-4.432084700558221,ISI1931_1973,S1_B,2,1
1944,-4.357647734394771,ISI1931_1973,S1_B,2,1
1945,-4.307819143621865,ISI1931_1973,S1_B,2,1
1946,-4.291270876916129,ISI1931_1973,S1_B,2,1
1947,-4.105562261537804,ISI1931_1973,S1_B,2,1
1948,-4.304624422500769,ISI1931_1973,S1_B,2,1
1949,-4.266898941268025,ISI1931_1973,S1_B,2,1
1950,-4.397709152254521,ISI1931_1973,S1_B,2,1
1951,-4.289709097254427,ISI1931_1973,S1_B,2,1
1952,-4.2583740763488365,ISI1931_1973,S1_B,2,1
1953,-4.454893711638368,ISI1931_1973,S1_B,2,1
1954,-4.501042273698305,ISI1931_1973,S1_B,2,1
1955,-4.394135349861531,ISI1931_1973,S1_B,2,1
1956,-4.4418745728759035,ISI1931_1973,S1_B,2,1
1957,-4.376507111740207,ISI1931_1973,S1_B,2,1
1958,-4.583559193430255,ISI1931_1973,S1_B,2,1
1959,-4.53109512226542,ISI1931_1973,S1_B,2,1
1960,-4.254017817907998,ISI1931_1973,S1_B,2,1
1961,-4.1125006665412664,ISI1931_1973,S1_B,2,1
1962,-4.344753377406531,ISI1931_1973,S1_B,2,1
1963,-4.469170627143102,ISI1931_1973,S1_B,2,1
1964,-4.365938710139551,ISI1931_1973,S1_B,2,1
1965,-4.427381090268362,ISI1931_1973,S1_B,2,1
1966,-4.303146740426461,ISI1931_1973,S1_B,2,1
1967,-4.415035678333088,ISI1931_1973,S1_B,2,1
1968,-4.396164443781414,ISI1931_1973,S1_B,2,1
1969,-4.306759538588487,ISI1931_1973,S1_B,2,1
1970,-4.367097476355642,ISI1931_1973,S1_B,2,1
1971,-4.41772635202995,ISI1931_1973,S1_B,2,1
1972,-4.273199916637803,ISI1931_1973,S1_B,2,1
1973,-4.2666289738480465,ISI1931_1973,S1_B,2,1
1940,-4.327257068862942,ISI1931_1973,S1_C,1,1
1941,-4.315790591681714,ISI1931_1973,S1_C,1,1
1942,-4.362092456419465,ISI1931_1973,S1_C,1,1
1943,-4.460811349833181,ISI1931_1973,S1_C,1,1
1944,-4.3993476657514705,ISI1931_1973,S1_C,1,1
1945,-4.315905780125084,ISI1931_1973,S1_C,1,1
1946,-4.2891185920888315,ISI1931_1973,S1_C,1,1
1947,-4.261198888357788,ISI1931_1973,S1_C,1,1
1948,-4.31766818797859,ISI1931_1973,S1_C,1,1
1949,-4.308622364104708,ISI1931_1973,S1_C,1,1
1950,-4.408521124903183,ISI1931_1973,S1_C,1,1
1951,-4.291997257353043,ISI1931_1973,S1_C,1,1
1952,-4.328755744194168,ISI1931_1973,S1_C,1,1
1953,-4.405630619132618,ISI1931_1973,S1_C,1,1
1954,-4.4606403947903885,ISI1931_1973,S1_C,1,1
1955,-4.36066907126168,ISI1931_1973,S1_C,1,1
1956,-4.448937359200017,ISI1931_1973,S1_C,1,1
1957,-4.396311615089516,ISI1931_1973,S1_C,1,1
1958,-4.561776520496416,ISI1931_1973,S1_C,1,1
1959,-4.577615794647363,ISI1931_1973,S1_C,1,1
1960,-4.335930010942613,ISI1931_1973,S1_C,1,1
1961,-4.232827028355399,ISI1931_1973,S1_C,1,1
1962,-4.424088859934189,ISI1931_1973,S1_C,1,1
1963,-4.5295000267902426,ISI1931_1973,S1_C,1,1
1964,-4.514703222021167,ISI1931_1973,S1_C,1,1
1965,-4.530336877128256,ISI1931_1973,S1_C,1,1
1966,-4.329584134308552,ISI1931_1973,S1_C,1,1
1967,-4.455404244847254,ISI1931_1973,S1_C,1,1
1968,-4.421344903613741,ISI1931_1973,S1_C,1,1
1969,-4.314453313914436,ISI1931_1973,S1_C,1,1
1970,-4.385754416550912,ISI1931_1973,S1_C,1,1
1971,-4.4427043478689265,ISI1931_1973,S1_C,1,1
1972,-4.368202068025101,ISI1931_1973,S1_C,1,1
1973,-4.282502138509496,ISI1931_1973,S1_C,1,1
1940,-3.8559438580581924,ISI1931_1973,S1_C,2,1
1941,-3.8390588504476573,ISI1931_1973,S1_C,2,1
1942,-3.916025528125418,ISI1931_1973,S1_C,2,1
1943,-3.992609526646421,ISI1931_1973,S1_C,2,1
1944,-3.9173143612937826,ISI1931_1973,S1_C,2,1
1945,-3.8471289346111073,ISI1931_1973,S1_C,2,1
1946,-3.8406542776201995,ISI1931_1973,S1_C,2,1
1947,-3.743552278697691,ISI1931_1973,S1_C,2,1
1948,-3.8544113133570335,ISI1931_1973,S1_C,2,1
1949,-3.8477199604296652,ISI1931_1973,S1_C,2,1
1950,-3.9638832664670023,ISI1931_1973,S1_C,2,1
1951,-3.8703790113158756,ISI1931_1973,S1_C,2,1
1952,-3.837329011792833,ISI1931_1973,S1_C,2,1
1953,-4.04176484634895,ISI1931_1973,S1_C,2,1
1954,-4.101812154964717,ISI1931_1973,S1_C,2,1
1955,-4.0057670493228885,ISI1931_1973,S1_C,2,1
1956,-4.035254819846371,ISI1931_1973,S1_C,2,1
1957,-3.96664492751295,ISI1931_1973,S1_C,2,1
1958,-4.187839446110788,ISI1931_1973,S1_C,2,1
1959,-4.1230672789987475,ISI1931_1973,S1_C,2,1
1960,-3.859626245098863,ISI1931_1973,S1_C,2,1
1961,-3.7250697438691973,ISI1931_1973,S1_C,2,1
1962,-3.956570845033365,ISI1931_1973,S1_C,2,1
1963,-4.084648257653513,ISI1931_1973,S1_C,2,1
1964,-3.994987730770331,ISI1931_1973,S1_C,2,1
1965,-4.034707626559958,ISI1931_1973,S1_C,2,1
1966,-3.8867583654961932,ISI1931_1973,S1_C,2,1
1967,-3.996256459701856,ISI1931_1973,S1_C,2,1
1968,-3.9868634391708886,ISI1931_1973,S1_C,2,1
1969,-3.904104505555707,ISI1931_1973,S1_C,2,1
1970,-3.969689616087787,ISI1931_1973,S1_C,2,1
1971,-3.993235406221453,ISI1931_1973,S1_C,2,1
1972,-3.8384567272614927,ISI1931_1973,S1_C,2,1
1973,-3.8437550004230348,ISI1931_1973,S1_C,2,1
1940,-6.382845972695459,ISI1931_1973,S1_D,1,1
1941,-6.3849476584231795,ISI1931_1973,S1_D,1,1
1942,-6.498170929853824,ISI1931_1973,S1_D,1,1
1943,-6.633249920958921,ISI1931_1973,S1_D,1,1
1944,-6.57832480211307,ISI1931_1973,S1_D,1,1
1945,-6.547404885568176,ISI1931_1973,S1_D,1,1
1946,-6.484185340137172,ISI1931_1973,S1_D,1,1
1947,-6.230648005800316,ISI1931_1973,S1_D,1,1
1948,-6.521482831718748,ISI1931_1973,S1_D,1,1
1949,-6.42488781425582,ISI1931_1973,S1_D,1,1
1950,-6.562716180943861,ISI1931_1973,S1_D,1,1
1951,-6.398416885863876,ISI1931_1973,S1_D,1,1
1952,-6.470333395016285,ISI1931_1973,S1_D,1,1
1953,-6.476735680811912,ISI1931_1973,S1_D,1,1
1954,-6.491325427832544,ISI1931_1973,S1_D,1,1
1955,-6.360889546869155,ISI1931_1973,S1_D,1,1
1956,-6.5274954054645455,ISI1931_1973,S1_D,1,1
1957,-6.494516698148733,ISI1931_1973,S1_D,1,1
1958,-6.601132907799962,ISI1931_1973,S1_D,1,1
1959,-6.685604597074663,ISI1931_1973,S1_D,1,1
1960,-6.415607478690249,ISI1931_1973,S1_D,1,1
1961,-6.307834572820529,ISI1931_1973,S1_D,1,1
1962,-6.488012914241824,ISI1931_1973,S1_D,1,1
1963,-6.575738943504785,ISI1931_1973,S1_D,1,1
1964,-6.553027379763045,ISI1931_1973,S1_D,1,1
1965,-6.622904717597904,ISI1931_1973,S1_D,1,1
1966,-6.471516736749898,ISI1931_1973,S1_D,1,1
1967,-6.6123582685974025,ISI1931_1973,S1_D,1,1
1968,-6.543508854075992,ISI1931_1973,S1_D,1,1
1969,-6.409905165551243,ISI1931_1973,S1_D,1,1
1970,-6.470234959902166,ISI1931_1973,S1_D,1,1
1971,-6.619503697596811,ISI1931_1973,S1_D,1,1
1972,-6.606239708357494,ISI1931_1973,S1_D,1,1
1973,-6.451357956244083,ISI1931_1973,S1_D,1,1
1940,-7.772004642998324,ISI1931_1973,S1_D,2,1
1941,-7.7855445870385545,ISI1931_1973,S1_D,2,1
1942,-7.949121841365563,ISI1931_1973,S1_D,2,1
1943,-8.115222656110992,ISI1931_1973,S1_D,2,1
1944,-8.067194163445743,ISI1931_1973,S1_D,2,1
1945,-8.076744414085498,ISI1931_1973,S1_D,2,1
1946,-7.982825515679417,ISI1931_1973,S1_D,2,1
1947,-7.557086855537907,ISI1931_1973,S1_D,2,1
1948,-8.0268070559555,ISI1931_1973,S1_D,2,1
1949,-7.860087077105885,ISI1931_1973,S1_D,2,1
1950,-8.02550268097394,ISI1931_1973,S1_D,2,1
1951,-7.820420125483032,ISI1931_1973,S1_D,2,1
1952,-7.925228907873404,ISI1931_1973,S1_D,2,1
1953,-7.863814011996027,ISI1931_1973,S1_D,2,1
1954,-7.845555629428578,ISI1931_1973,S1_D,2,1
1955,-7.689916796536166,ISI1931_1973,S1_D,2,1
1956,-7.922441783288747,ISI1931_1973,S1_D,2,1
1957,-7.904855801156403,ISI1931_1973,S1_D,2,1
1958,-7.958754815520758,ISI1931_1973,S1_D,2,1
1959,-8.103904277563748,ISI1931_1973,S1_D,2,1
1960,-7.812684835801683,ISI1931_1973,S1_D,2,1
1961,-7.702936886263596,ISI1931_1973,S1_D,2,1
1962,-7.869825725241805,ISI1931_1973,S1_D,2,1
1963,-7.940944239125821,ISI1931_1973,S1_D,2,1
1964,-7.91807322372901,ISI1931_1973,S1_D,2,1
1965,-8.028041084149987,ISI1931_1973,S1_D,2,1
1966,-7.910077573386928,ISI1931_1973,S1_D,2,1
1967,-8.063562072819735,ISI1931_1973,S1_D,2,1
1968,-7.964303893187888,ISI1931_1973,S1_D,2,1
1969,-7.8068029714873886,ISI1931_1973,S1_D,2,1
1970,-7.858307183200981,ISI1931_1973,S1_D,2,1
1971,-8.082770074996734,ISI1931_1973,S1_D,2,1
1972,-8.124835908980856,ISI1931_1973,S1_D,2,1
1973,-7.907066059998224,ISI1931_1973,S1_D,2,1
1974,0.6209775153056398,POST1974,S1_A,1,1
1975,0.23506045699236644,POST1974,S1_A,1,1
1976,0.2645237024529763,POST1974,S1_A,1,1
1977,0.45492768396772476,POST1974,S1_A,1,1
1978,0.6909333082247446,POST1974,S1_A,1,1
1979,0.8003717214288049,POST1974,S1_A,1,1
1980,0.8608457783382288,POST1974,S1_A,1,1
1981,0.9461305979235775,POST1974,S1_A,1,1
1982,0.484030746936293,POST1974,S1_A,1,1
1983,0.33792365016795856,POST1974,S1_A,1,1
1984,0.47993797107525715,POST1974,S1_A,1,1
1985,0.3604552294582124,POST1974,S1_A,1,1
1986,0.5032514955455181,POST1974,S1_A,1,1
1987,0.6383355279788425,POST1974,S1_A,1,1
1988,0.7372359518123002,POST1974,S1_A,1,1
1989,0.9382079177340685,POST1974,S1_A,1,1
1990,0.9088476568951318,POST1974,S1_A,1,1
1991,0.9479734555079986,POST1974,S1_A,1,1
1992,1.1081875079169468,POST1974,S1_A,1,1
1993,1.1436889329101536,POST1974,S1_A,1,1
1994,1.1137371515701755,POST1974,S1_A,1,1
1995,1.2023791372065737,POST1974,S1_A,1,1
1996,1.2529741766622404,POST1974,S1_A,1,1
1997,1.2326072026005441,POST1974,S1_A,1,1
1998,1.1879374987023912,POST1974,S1_A,1,1
1999,0.9546224562190648,POST1974,S1_A,1,1
2000,1.0033532260208968,POST1974,S1_A,1,1
2001,0.946712091260979,POST1974,S1_A,1,1
2002,0.8867104549828078,POST1974,S1_A,1,1
2003,0.9109116930514567,POST1974,S1_A,1,1
2004,1.0108450750115825,POST1974,S1_A,1,1
2005,1.0949875748717268,POST1974,S1_A,1,1
2006,1.1021951289955307,POST1974,S1_A,1,1
2007,1.154943489859365,POST1974,S1_A,1,1
2008,1.1875785092849647,POST1974,S1_A,1,1
2009,0.8969387721116462,POST1974,S1_A,1,1
2010,1.0958574259987373,POST1974,S1_A,1,1
1974,0.6428441372320748,POST1974,S1_A,2,1
1975,0.25693951937360815,POST1974,S1_A,2,1
1976,0.2864022201691334,POST1974,S1_A,2,1
1977,0.4768325816497594,POST1974,S1_A,2,1
1978,0.712884455119756,POST1974,S1_A,2,1
1979,0.8223828089332184,POST1974,S1_A,2,1
1980,0.8829391070396255,POST1974,S1_A,2,1
1981,0.9683225978830308,POST1974,S1_A,2,1
1982,0.5062416350997232,POST1974,S1_A,2,1
1983,0.3601240099134291,POST1974,S1_A,2,1
1984,0.5021348640206593,POST1974,S1_A,2,1
1985,0.38265720834374406,POST1974,S1_A,2,1
1986,0.5254538157627735,POST1974,S1_A,2,1
1987,0.6605643055617278,POST1974,S1_A,2,1
1988,0.7595099845608821,POST1974,S1_A,2,1
1989,0.9605669161395678,POST1974,S1_A,2,1
1990,0.931285860154377,POST1974,S1_A,2,1
1991,0.9704779846402918,POST1974,S1_A,2,1
1992,1.130799683597722,POST1974,S1_A,2,1
1993,1.1664313366301133,POST1974,S1_A,2,1
1994,1.1366081348306665,POST1974,S1_A,2,1
1995,1.2254462732915865,POST1974,S1_A,2,1
1996,1.276239397570583,POST1974,S1_A,2,1
1997,1.2560781569021788,POST1974,S1_A,2,1
1998,1.211587790232322,POST1974,S1_A,2,1
1999,0.9783867557512362,POST1974,S1_A,2,1
2000,1.027244178590001,POST1974,S1_A,2,1
2001,0.9707176023098061,POST1974,S1_A,2,1
2002,0.9108249706640681,POST1974,S1_A,2,1
2003,0.9351339964197187,POST1974,S1_A,2,1
2004,1.03519452853795,POST1974,S1_A,2,1
2005,1.1195109983667937,POST1974,S1_A,2,1
2006,1.1268815909878125,POST1974,S1_A,2,1
2007,1.1797966008210032,POST1974,S1_A,2,1
2008,1.212624816647459,POST1974,S1_A,2,1
2009,0.9221124983724529,POST1974,S1_A,2,1
2010,1.1211481915311055,POST1974,S1_A,2,1
1974,-6.203619472453921,POST1974,S1_B,1,1
1975,-6.310368789395145,POST1974,S1_B,1,1
1976,-6.368612435385345,POST1974,S1_B,1,1
1977,-6.19061774565064,POST1974,S1_B,1,1
1978,-6.105435269050662,POST1974,S1_B,1,1
1979,-6.0597398888352885,POST1974,S1_B,1,1
1980,-5.927679326575872,POST1974,S1_B,1,1
1981,-5.633822706306642,POST1974,S1_B,1,1
1982,-5.936847164415283,POST1974,S1_B,1,1
1983,-6.203348123931669,POST1974,S1_B,1,1
1984,-6.075260829966737,POST1974,S1_B,1,1
1985,-6.3749867588293725,POST1974,S1_B,1,1
1986,-6.292653346604473,POST1974,S1_B,1,1
1987,-6.227658401117132,POST1974,S1_B,1,1
1988,-6.216431459926474,POST1974,S1_B,1,1
1989,-6.020452304716736,POST1974,S1_B,1,1
1990,-5.956746987373409,POST1974,S1_B,1,1
1991,-6.058044664847495,POST1974,S1_B,1,1
1992,-5.965499190196573,POST1974,S1_B,1,1
1993,-5.929092681893527,POST1974,S1_B,1,1
1994,-5.965821065675254,POST1974,S1_B,1,1
1995,-5.89673500437538,POST1974,S1_B,1,1
1996,-5.808452967989956,POST1974,S1_B,1,1
1997,-5.81705067669394,POST1974,S1_B,1,1
1998,-5.8278707366297144,POST1974,S1_B,1,1
1999,-6.069948868719511,POST1974,S1_B,1,1
2000,-6.002108192868839,POST1974,S1_B,1,1
2001,-6.066799495122476,POST1974,S1_B,1,1
2002,-6.098322912433769,POST1974,S1_B,1,1
2003,-6.070731249350491,POST1974,S1_B,1,1
2004,-6.019130382391621,POST1974,S1_B,1,1
2005,-5.879614075567908,POST1974,S1_B,1,1
2006,-5.9265150716422,POST1974,S1_B,1,1
2007,-5.8515576930907045,POST1974,S1_B,1,1
2008,-5.656750238391309,POST1974,S1_B,1,1
2009,-5.965824737025661,POST1974,S1_B,1,1
2010,-5.7381686605432165,POST1974,S1_B,1,1
1974,-2.861694052373201,POST1974,S1_B,2,1
1975,-3.1073431499521433,POST1974,S1_B,2,1
1976,-3.1219564124806523,POST1974,S1_B,2,1
1977,-2.937852658807639,POST1974,S1_B,2,1
1978,-2.7777563744664695,POST1974,S1_B,2,1
1979,-2.700497598049173,POST1974,S1_B,2,1
1980,-2.6042461594786026,POST1974,S1_B,2,1
1981,-2.414380619633163,POST1974,S1_B,2,1
1982,-2.7965815185344454,POST1974,S1_B,2,1
1983,-3.0031680728313797,POST1974,S1_B,2,1
1984,-2.8681445057629027,POST1974,S1_B,2,1
1985,-3.0782222637469205,POST1974,S1_B,2,1
1986,-2.965812932488971,POST1974,S1_B,2,1
1987,-2.8660167748149794,POST1974,S1_B,2,1
1988,-2.811286897364247,POST1974,S1_B,2,1
1989,-2.6130297131945532,POST1974,S1_B,2,1
1990,-2.595810758646211,POST1974,S1_B,2,1
1991,-2.6274164410240797,POST1974,S1_B,2,1
1992,-2.5014702812400387,POST1974,S1_B,2,1
1993,-2.4658291301519384,POST1974,S1_B,2,1
1994,-2.499497691202297,POST1974,S1_B,2,1
1995,-2.4211583560654386,POST1974,S1_B,2,1
1996,-2.3521027372178995,POST1974,S1_B,2,1
1997,-2.367052811241707,POST1974,S1_B,2,1
1998,-2.3951450631374644,POST1974,S1_B,2,1
1999,-2.633139950144705,POST1974,S1_B,2,1
2000,-2.575111818603574,POST1974,S1_B,2,1
2001,-2.6360758450321153,POST1974,S1_B,2,1
2002,-2.682029289869355,POST1974,S1_B,2,1
2003,-2.656384994547351,POST1974,S1_B,2,1
2004,-2.581049202061596,POST1974,S1_B,2,1
2005,-2.4694991155895485,POST1974,S1_B,2,1
2006,-2.489878789393541,POST1974,S1_B,2,1
2007,-2.4263723662846424,POST1974,S1_B,2,1
2008,-2.312703748386765,POST1974,S1_B,2,1
2009,-2.6129163612432897,POST1974,S1_B,2,1
2010,-2.3998386935231686,POST1974,S1_B,2,1
1974,7.81637486343241,POST1974,S1_C,1,1
1975,8.286242128535935,POST1974,S1_C,1,1
1976,8.253586952252647,POST1974,S1_C,1,1
1977,8.612203083005841,POST1974,S1_C,1,1
1978,8.344837853804385,POST1974,S1_C,1,1
1979,8.329355027467683,POST1974,S1_C,1,1
1980,8.699556718497707,POST1974,S1_C,1,1
1981,9.475205908528851,POST1974,S1_C,1,1
1982,9.580260029051269,POST1974,S1_C,1,1
1983,9.118075811438736,POST1974,S1_C,1,1
1984,9.211820106628029,POST1974,S1_C,1,1
1985,8.368965381392556,POST1974,S1_C,1,1
1986,8.478182133024097,POST1974,S1_C,1,1
1987,8.348941206901792,POST1974,S1_C,1,1
1988,8.18671087795433,POST1974,S1_C,1,1
1989,8.407626517545395,POST1974,S1_C,1,1
1990,8.821313481286094,POST1974,S1_C,1,1
1991,8.598333796808692,POST1974,S1_C,1,1
1992,8.610456353782384,POST1974,S1_C,1,1
1993,8.591063757578556,POST1974,S1_C,1,1
1994,8.587831470705513,POST1974,S1_C,1,1
1995,8.536841827964295,POST1974,S1_C,1,1
1996,8.75903247124449,POST1974,S1_C,1,1
1997,8.728670573418281,POST1974,S1_C,1,1
1998,8.783008196627486,POST1974,S1_C,1,1
1999,8.743171968952051,POST1974,S1_C,1,1
2000,8.82295542906352,POST1974,S1_C,1,1
2001,8.71819307279029,POST1974,S1_C,1,1
2002,8.751213424400582,POST1974,S1_C,1,1
2003,8.785787494352704,POST1974,S1_C,1,1
2004,8.697963157235227,POST1974,S1_C,1,1
2005,8.698467264299822,POST1974,S1_C,1,1
2006,8.528964717883849,POST1974,S1_C,1,1
2007,8.530000110142431,POST1974,S1_C,1,1
2008,8.777392118845214,POST1974,S1_C,1,1
2009,8.639524738890014,POST1974,S1_C,1,1
2010,8.711910330871087,POST1974,S1_C,1,1
1974,8.317865233262042,POST1974,S1_C,2,1
1975,8.799039341037727,POST1974,S1_C,2,1
1976,8.765570132548735,POST1974,S1_C,2,1
1977,9.126855724542633,POST1974,S1_C,2,1
1978,8.85384022982016,POST1974,S1_C,2,1
1979,8.837860264669256,POST1974,S1_C,2,1
1980,9.213605988667279,POST1974,S1_C,2,1
1981,10.000031788139571,POST1974,S1_C,2,1
1982,10.112778069374887,POST1974,S1_C,2,1
1983,9.646306944205072,POST1974,S1_C,2,1
1984,9.73936184291155,POST1974,S1_C,2,1
1985,8.887241111761593,POST1974,S1_C,2,1
1986,8.996029693287092,POST1974,S1_C,2,1
1987,8.863862311043592,POST1974,S1_C,2,1
1988,8.699097925182055,POST1974,S1_C,2,1
1989,8.921858451839762,POST1974,S1_C,2,1
1990,9.342758000490132,POST1974,S1_C,2,1
1991,9.117625157400706,POST1974,S1_C,2,1
1992,9.129841680628486,POST1974,S1_C,2,1
1993,9.112170824810198,POST1974,S1_C,2,1
1994,9.111685632977622,POST1974,S1_C,2,1
1995,9.062552358118642,POST1974,S1_C,2,1
1996,9.290662970648023,POST1974,S1_C,2,1
1997,9.26401396404314,POST1974,S1_C,2,1
1998,9.322982082260125,POST1974,S1_C,2,1
1999,9.287778808535384,POST1974,S1_C,2,1
2000,9.370329459601791,POST1974,S1_C,2,1
2001,9.267083847581961,POST1974,S1_C,2,1
2002,9.303343722662252,POST1974,S1_C,2,1
2003,9.340065045020765,POST1974,S1_C,2,1
2004,9.252185607991066,POST1974,S1_C,2,1
2005,9.254856396162937,POST1974,S1_C,2,1
2006,9.0861119575262,POST1974,S1_C,2,1
2007,9.089590445005557,POST1974,S1_C,2,1
2008,9.343369669341646,POST1974,S1_C,2,1
2009,9.209858929517312,POST1974,S1_C,2,1
2010,9.282792886968377,POST1974,S1_C,2,1
1974,3.7950432826997282,POST1974,S1_D,1,1
1975,4.026590561793581,POST1974,S1_D,1,1
1976,3.978376311151021,POST1974,S1_D,1,1
1977,4.260030260986859,POST1974,S1_D,1,1
1978,4.145418912909512,POST1974,S1_D,1,1
1979,4.16047974820532,POST1974,S1_D,1,1
1980,4.438837095895421,POST1974,S1_D,1,1
1981,5.024123629355591,POST1974,S1_D,1,1
