"p","q_tag","r","best_BIC","best_AIC"
1,"E_only",0,-883.722963831174,-908.239579045189
1,"E_only",1,-823.772072765944,-860.546995586966
1,"E_only",2,-824.082833490508,-869.029961382868
1,"E_short",0,-859.464656224167,-896.239579045189
1,"E_short",1,-845.222788880543,-894.256019308572
1,"E_short",2,-839.847909942632,-897.053345442
1,"K_only",0,-883.722963831174,-908.239579045189
1,"K_only",1,-833.538347292405,-870.313270113427
1,"K_only",2,-828.968291471562,-873.915419363922
1,"K_short",0,-859.464656224167,-896.239579045189
1,"K_short",1,-845.222788880543,-894.256019308572
1,"K_short",2,-839.847909942632,-897.053345442
1,"Y_only",0,-883.722963831174,-908.239579045189
1,"Y_only",1,-839.484575794949,-876.259498615971
1,"Y_only",2,-834.234449564477,-879.181577456837
1,"Y_short",0,-859.464656224167,-896.239579045189
1,"Y_short",1,-845.222788880543,-894.256019308572
1,"Y_short",2,-839.847909942632,-897.053345442
1,"sym",0,-859.464656224167,-896.239579045189
1,"sym",1,-845.222788880543,-894.256019308572
1,"sym",2,-839.847909942632,-897.053345442
2,"E_only",0,-881.426858695914,-912.072627713432
2,"E_only",1,-808.835114486133,-851.739191110659
2,"E_only",2,-816.411310408687,-867.487592104551
2,"E_short",0,-845.039397285403,-894.072627713432
2,"E_short",1,-832.710460117701,-894.001998152737
2,"E_short",2,-829.498265424257,-898.962008530632
2,"K_only",0,-881.426858695914,-912.072627713432
2,"K_only",1,-815.68465618902,-858.588732813545
2,"K_only",2,-809.634271782462,-860.710553478326
2,"K_short",0,-845.039397285403,-894.072627713432
2,"K_short",1,-822.943084761487,-884.234622796523
2,"K_short",2,-823.954248818243,-893.417991924618
2,"Y_only",0,-881.426858695914,-912.072627713432
2,"Y_only",1,-830.1644830446,-873.068559669125
2,"Y_only",2,-819.237214212161,-870.313495908025
2,"Y_short",0,-845.039397285403,-894.072627713432
2,"Y_short",1,-829.211630893461,-890.503168928498
2,"Y_short",2,-834.595858879093,-904.059601985467
2,"sym",0,-832.910243481899,-888.072627713432
2,"sym",1,-822.294312508637,-889.715004347177
2,"sym",2,-823.119943024823,-898.712839934701
3,"E_only",0,-891.451938449432,-928.226861270454
3,"E_only",1,-802.209963295995,-851.243193724024
3,"E_only",2,-806.259895246885,-863.465330746253
3,"E_short",0,-842.935323235418,-904.226861270454
3,"E_short",1,-820.219141100084,-893.768986742128
3,"E_short",2,-820.813707730011,-902.535758443393
3,"K_only",0,-891.451938449432,-928.226861270454
3,"K_only",1,-802.899100641595,-851.932331069625
3,"K_only",2,-794.415961029655,-851.621396529022
3,"K_short",0,-842.935323235418,-904.226861270454
3,"K_short",1,-809.953036603959,-883.502882246003
3,"K_short",2,-804.572361436245,-886.294412149627
3,"Y_only",0,-891.451938449432,-928.226861270454
3,"Y_only",1,-819.505396665875,-868.538627093905
3,"Y_only",2,-809.195692152166,-866.401127651533
3,"Y_short",0,-842.935323235418,-904.226861270454
3,"Y_short",1,-815.000742273634,-888.550587915678
3,"Y_short",2,-816.581381080321,-898.303431793703
3,"sym",0,-818.67701562841,-892.226861270454
3,"sym",1,-806.136352141498,-891.944505390549
3,"sym",2,-802.009407334053,-895.989765654442
4,"E_only",0,-873.094716784241,-915.998793408767
4,"E_only",1,-782.695930770604,-837.858315002137
4,"E_only",2,-777.048291361944,-840.382880664816
4,"E_short",0,-812.448947766723,-885.998793408767
4,"E_short",1,-790.317479197332,-876.125632446383
4,"E_short",2,-786.268220684551,-880.24857900494
4,"K_only",0,-873.094716784241,-915.998793408767
4,"K_only",1,-786.467420095098,-841.629804326631
4,"K_only",2,-773.862864230588,-837.197453533459
4,"K_short",0,-812.448947766723,-885.998793408767
4,"K_short",1,-778.911105110806,-864.719258359857
4,"K_short",2,-771.319115722358,-865.299474042747
4,"Y_only",0,-873.094716784241,-915.998793408767
4,"Y_only",1,-793.229975159853,-848.392359391386
4,"Y_only",2,-781.749782742433,-845.084372045304
4,"Y_short",0,-812.448947766723,-885.998793408767
4,"Y_short",1,-788.567868261119,-874.37602151017
4,"Y_short",2,-784.068692874583,-878.049051194972
4,"sym",0,-776.061486356212,-867.998793408767
4,"sym",1,-764.254745245685,-868.450359905248
4,"sym",2,-758.510658672294,-870.878478403194
5,"E_only",0,-848.280410846793,-897.313641274822
5,"E_only",1,-746.195038333565,-807.486576368602
5,"E_only",2,-760.154752364672,-829.618495471047
5,"E_short",0,-775.505488025771,-861.313641274822
5,"E_short",1,-746.741550301931,-844.808011157989
5,"E_short",2,-744.879637177605,-851.118303105001
5,"K_only",0,-848.280410846793,-897.313641274822
5,"K_only",1,-760.40906605216,-821.700604087196
5,"K_only",2,-750.218405955236,-819.682149061611
5,"K_short",0,-775.505488025771,-861.313641274822
5,"K_short",1,-739.055485227913,-837.121946083972
5,"K_short",2,-740.112505045848,-846.351170973244
5,"Y_only",0,-848.280410846793,-897.313641274822
5,"Y_only",1,-766.333740998913,-827.625279033949
5,"Y_only",2,-756.817809410471,-826.281552516845
5,"Y_short",0,-775.505488025771,-861.313641274822
5,"Y_short",1,-740.400308835455,-838.466769691514
5,"Y_short",2,-750.507115208418,-856.745781135815
5,"sym",0,-726.988872811756,-837.313641274822
5,"sym",1,-709.327813978143,-831.910890048216
5,"sym",2,-711.299813714508,-842.055094855919
6,"E_only",0,-826.783552660906,-881.945936892438
6,"E_only",1,-727.710354793915,-795.131046632455
6,"E_only",2,-733.353937821502,-808.94683473138
6,"E_short",0,-741.87947603638,-839.945936892438
6,"E_short",1,-717.770625810586,-828.095394273652
6,"E_short",2,-715.010808538249,-833.507782072653
6,"K_only",0,-826.783552660906,-881.945936892438
6,"K_only",1,-737.645051179927,-805.065743018467
6,"K_only",2,-728.070345421009,-803.663242330888
6,"K_short",0,-741.87947603638,-839.945936892438
6,"K_short",1,-704.759396434294,-815.08416489736
6,"K_short",2,-702.963658735734,-821.460632270138
6,"Y_only",0,-826.783552660906,-881.945936892438
6,"Y_only",1,-742.074064422558,-809.494756261098
6,"Y_only",2,-730.54345470405,-806.136351613928
6,"Y_short",0,-741.87947603638,-839.945936892438
6,"Y_short",1,-711.96542234938,-822.290190812446
6,"Y_short",2,-721.964962434174,-840.461935968577
6,"sym",0,-681.233707018862,-809.945936892438
6,"sym",1,-670.225163200808,-811.195700681392
6,"sym",2,-674.045623115279,-823.188365667201
7,"E_only",0,-821.739959063412,-883.031497098449
7,"E_only",1,-711.511304990176,-785.06115063222
7,"E_only",2,-712.318450475422,-794.040501188804
7,"E_short",0,-724.706728635383,-835.031497098449
7,"E_short",1,-699.674356219063,-822.257432289136
7,"E_short",2,-693.972760286459,-824.72804142787
7,"K_only",0,-821.739959063412,-883.031497098449
7,"K_only",1,-709.947352548495,-783.497198190539
7,"K_only",2,-705.811384850405,-787.533435563788
7,"K_short",0,-724.706728635383,-835.031497098449
7,"K_short",1,-674.734038644942,-797.317114715015
7,"K_short",2,-676.796007771043,-807.551288912454
7,"Y_only",0,-821.739959063412,-883.031497098449
7,"Y_only",1,-720.066168751139,-793.616014393183
7,"Y_only",2,-710.246887910308,-791.96893862369
7,"Y_short",0,-724.706728635383,-835.031497098449
7,"Y_short",1,-710.799479851841,-833.382555921914
7,"Y_short",2,-707.598677915731,-838.353959057142
7,"sym",0,-651.931805814361,-799.031497098449
7,"sym",1,-661.460239370289,-820.818238261384
7,"sym",2,-659.187694633316,-826.717898595749
