"scenario_id","input_id","engine_id","initialization","year","investment","stock","retirement","index_1947"
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1970,1815754.13790128,33184863.9801784,1741592.47022019,81.1452362357476
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1971,1704432.31498443,33101484.5829594,1787811.7122034,80.9413528963864
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1972,1790098.8882297,33073101.6928454,1818481.77834375,80.8719496791626
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1973,1895896.86498827,33362366.6908302,1606631.86700346,81.5792744586233
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1974,1763511.18158344,33562535.6582078,1563342.21420589,82.0687373099587
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1975,1585687.98937596,33492432.2406733,1655791.4069104,81.8973170389531
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1976,1563883.11173408,33329466.0175955,1726849.33481187,81.4988241393591
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1977,1646565.48948887,33097314.6430272,1878716.86405715,80.9311563573532
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1978,1803086.64189652,33045743.3298365,1854657.95508723,80.8050516852247
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1979,1882974.2863846,32992478.6888798,1936238.92734139,80.6748064060507
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1980,1811837.55876175,32879117.999724,1925198.24791755,80.397611359933
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1981,1840026.44490376,32798010.6469478,1921133.79767989,80.1992837336572
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1982,1737933.57827129,32579850.432987,1956093.79223216,79.665827815029
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1983,1555633.69521199,32196061.8743313,1939422.2538676,78.7273694481275
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1984,1716795.13610415,31953645.2486914,1959211.76174414,78.1346005771513
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1985,1744674.43722419,31823137.5321117,1875182.15380382,77.8154767893073
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1986,1523072.35113551,31521995.1940385,1824214.68920874,77.0791089627544
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1987,1409752.00688364,31034577.6635962,1897169.53732592,75.8872520162619
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1988,1376725.54030589,30517213.6693761,1894089.53452602,74.6221685265138
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1989,1378538.0986811,30133881.0350752,1761870.73298196,73.6848250079207
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1990,1441230.49731903,29894187.0329963,1680924.49939793,73.0987136279071
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1991,1304991.45728219,29510485.3749063,1688693.11537227,72.1604677544763
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1992,1234884.03992531,29062853.3650008,1682516.04983077,71.0658962892396
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1993,1256118.05003702,28629670.8363636,1689300.57867423,70.0066573952529
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1994,1277889.16386455,28238286.3082049,1669273.69202321,69.049624995921
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1995,1383510.21083371,27971743.3549037,1650053.16413491,68.3978612603361
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1996,1429524.35413822,27709719.8066603,1691547.90238166,67.7571485928307
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1997,1471364.25198043,27499093.687652,1681990.37098869,67.2421154079862
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1998,1519042.1276998,27370149.5890351,1647986.2263167,66.926815054496
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1999,1540376.23376638,27249645.8985711,1660879.92423041,66.632153595711
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2000,1622616.14289573,27213393.3730928,1658868.66837401,66.543507165042
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2001,1512385.30119835,27103723.8515713,1622054.82271984,66.2753379407524
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2002,1237250.56014515,26768303.627907,1572670.78380944,65.455152168596
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2003,1211885.78314743,26393071.5101989,1587117.90085557,64.5376164254073
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2004,1202681.55661761,26001048.3218391,1594704.74497735,63.5790223432275
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2005,1279366.86963607,25721714.0676172,1558701.12385805,62.8959806992684
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2006,1353575.12093851,25561385.7534797,1513903.43507596,62.5039381423445
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2007,1415761.19204913,25468261.3389005,1508885.6066283,62.2762258146743
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2008,1372420.1762314,25313159.6636956,1527521.85143631,61.8969636883453
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2009,1070047.47876566,24796841.8217936,1586365.32066768,60.6344383009007
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2010,1067780.07980769,24236707.7221194,1627914.17948188,59.2647712783416
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2011,1138231.35194297,23740208.4347794,1634730.63928298,58.0507071801386
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2012,1236947.70379725,23322950.0031979,1654206.13537876,57.030406659327
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2013,1207938.12819373,22891290.1034008,1639598.02799088,55.9748909711066
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2014,1297798.58914309,22614591.3826692,1574497.30987463,55.2982938612525
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2015,1264091.46320772,22263145.5464752,1615537.29940173,54.4389214853685
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2016,1179855.11282214,21862821.0522157,1580179.60708161,53.4600286480483
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2017,1188774,21597572.8334373,1454022.21877843,52.8114308600102
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2018,1221537.25776901,21396808.2298813,1422301.86132503,52.3205115302501
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2019,1166406.42412687,21152932.5245726,1410282.12943551,51.7241748470186
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2020,1009463.44913627,20731781.5349533,1430614.43875557,50.6943560548129
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2021,974740.538419145,20233341.3618141,1473180.71155838,49.4755460086747
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2022,995397.322573427,19808110.3079466,1420628.37644088,48.4357504458103
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2023,1063877.78003454,19524365.171703,1347622.9162782,47.7419230995542
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",2024,1059177.7122413,19322142.6372907,1261400.24665357,47.2474387666705
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1925,6289055.23878259,6289055.23878259,0,14.5366534247638
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1926,6612472.23517242,12901527.473955,0,29.8208596392066
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1927,6253408.47516589,19080331.0965941,74604.8525268124,44.1026751793363
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1928,6223365.25816532,25131469.3634595,172226.991299905,58.0894023539216
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1929,6899195.56654921,31739803.9933721,290860.936636569,73.3640448212853
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1930,5744849.4743636,37054209.063302,430444.404433798,85.647871521356
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1931,2652074.68483077,39124027.2037442,582256.54438855,90.4320923331487
