"input_id","repository","commit","path","role"
"frozen_long","Capacity-Utilization-US_Chile","8f51482888e3cb41d00b122bbe9d94998237d376","C:/ReposGitHub/CUUSChile_GPIM_Shaikh_Comparison/data/releases/chapter2_us_source_of_truth_v1/CH2_US_SOURCE_OF_TRUTH_LONG.csv","frozen Chapter 2 baseline"
"current_investment","Capacity-Utilization-US_Chile","8f51482888e3cb41d00b122bbe9d94998237d376","C:/ReposGitHub/CUUSChile_GPIM_Shaikh_Comparison/output/US/S29C_FIXED_ASSETS_DEFLATOR_AND_REAL_INVESTMENT_CONSTRUCTION/csv/S29C_fixed_assets_price_real_investment_long.csv","Chapter 2 real investment inputs"
"current_components","Capacity-Utilization-US_Chile","8f51482888e3cb41d00b122bbe9d94998237d376","C:/ReposGitHub/CUUSChile_GPIM_Shaikh_Comparison/output/US/S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION/csv/S29D_asset_specific_gpim_stocks_flows_long.csv","Chapter 2 component stock and flow validation"
"current_schedule","Capacity-Utilization-US_Chile","8f51482888e3cb41d00b122bbe9d94998237d376","C:/ReposGitHub/CUUSChile_GPIM_Shaikh_Comparison/output/US/S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION/csv/S29D_gpim_parameter_schedule_audit.csv","locked Chapter 2 schedule"
"current_core","Capacity-Utilization-US_Chile","8f51482888e3cb41d00b122bbe9d94998237d376","C:/ReposGitHub/CUUSChile_GPIM_Shaikh_Comparison/output/US/S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION/csv/S29E_core_capital_stocks_flows_long.csv","Chapter 2 aggregate stock validation"
"shaikh_canonical","Critical-Replication-Shaikh","e66ca30cae8db9c552e785efa571646344a439d1","C:/ReposGitHub/Critical-Replication-Shaikh/data/raw/shaikh_data/Shaikh_canonical_series_v1.csv","locked Shaikh canonical benchmark"
"shaikh_asset","Critical-Replication-Shaikh","e66ca30cae8db9c552e785efa571646344a439d1","C:/ReposGitHub/Critical-Replication-Shaikh/data/processed/kstock_private_gpim_real.csv","Shaikh asset-level benchmark and investment inputs"
"shaikh_aggregate","Critical-Replication-Shaikh","e66ca30cae8db9c552e785efa571646344a439d1","C:/ReposGitHub/Critical-Replication-Shaikh/data/processed/kstock_master.csv","Shaikh aggregate-Weibull benchmark"
"shaikh_weibull_doc","Critical-Replication-Shaikh","e66ca30cae8db9c552e785efa571646344a439d1","C:/ReposGitHub/Critical-Replication-Shaikh/docs/Weibull_Retirement_Distributions.md","Shaikh parameter documentation"
"shaikh_helpers","Critical-Replication-Shaikh","e66ca30cae8db9c552e785efa571646344a439d1","C:/ReposGitHub/Critical-Replication-Shaikh/codes/59_gpim_helpers.R","Shaikh mean-age hazard implementation reference"
