"year","stock_reproduced","stock_frozen","absolute_difference","relative_difference"
1901,1723395.05606458,1723395.05606458,0.00000000186264514923096,0.00000000000000108079986807224
1902,3854821.04896235,3854821.04896234,0.00000000838190317153931,0.00000000000000217439488502212
1903,6228524.7016034,6228524.7016034,0.00000000186264514923096,0.000000000000000299050776623148
1904,8359013.02277446,8359013.02277446,0,0
1905,10538642.875429,10538642.875429,-0.0000000316649675369263,-0.00000000000000300465324721778
1906,13079634.7187179,13079634.7187179,0,0
1907,15872002.5081499,15872002.5081499,0.0000000223517417907715,0.00000000000000140824963827308
1908,17972072.932577,17972072.932577,0,0
1909,20395941.2939214,20395941.2939213,0.0000000596046447753906,0.0000000000000029223777376313
1910,23264146.1983352,23264146.1983352,-0.0000000223517417907715,-0.000000000000000960780662235135
1911,25813047.1275128,25813047.1275128,0.0000000186264514923096,0.000000000000000721590573956555
1912,28560396.8780332,28560396.8780332,0.0000000186264514923096,0.000000000000000652177614052549
1913,31403652.3971646,31403652.3971646,-0.0000000260770320892334,-0.000000000000000830382140250281
1914,33397595.2902495,33397595.2902495,-0.0000000335276126861572,-0.00000000000000100389301669111
1915,34990141.0386579,34990141.0386579,-0.0000000521540641784668,-0.00000000000000149053598043077
1916,37361114.1547218,37361114.1547218,0.0000000149011611938477,0.000000000000000398841456711869
1917,40577394.2171122,40577394.2171122,0,0
1918,44282943.5286081,44282943.5286081,0,0
1919,48291948.4497102,48291948.4497102,-0.00000000745058059692383,-0.000000000000000154282045684751
1920,53904220.1556968,53904220.1556968,0.0000000223517417907715,0.000000000000000414656621062521
1921,57234320.0372052,57234320.0372052,0.0000000521540641784668,0.000000000000000911237595634298
1922,60695179.5935332,60695179.5935332,-0.0000000149011611938477,-0.00000000000000024550814897721
1923,65935465.0611433,65935465.0611433,0.0000000298023223876953,0.000000000000000451992298227654
1924,70221423.7389749,70221423.7389749,0.0000000298023223876953,0.000000000000000424404986410923
1925,74295234.7263141,74295234.7263141,-0.0000000149011611938477,-0.000000000000000200566849929743
1926,78560027.3013736,78560027.3013736,-0.0000000149011611938477,-0.000000000000000189678666183293
1927,82198906.7475525,82198906.7475526,-0.0000000596046447753906,-0.00000000000000072512697715612
1928,85603934.9946834,85603934.9946833,0.0000000596046447753906,0.000000000000000696283935768754
1929,89665227.5393463,89665227.5393463,0,0
1930,92415645.8562277,92415645.8562277,0.0000000149011611938477,0.000000000000000161240675816188
1931,91738095.9726875,91738095.9726875,-0.0000000149011611938477,-0.000000000000000162431550773455
1932,89063321.5803213,89063321.5803212,0.0000000745058059692383,0.000000000000000836548700937969
1933,85752025.7340326,85752025.7340326,-0.0000000149011611938477,-0.000000000000000173770369461182
1934,82557538.618332,82557538.618332,-0.0000000149011611938477,-0.000000000000000180494252169224
1935,79518544.8359145,79518544.8359145,0.0000000149011611938477,0.000000000000000187392277167496
1936,77079691.2841339,77079691.2841339,-0.0000000298023223876953,-0.000000000000000386642991055023
1937,75035923.7255536,75035923.7255536,-0.000000044703483581543,-0.000000000000000595761088316144
1938,72021899.459383,72021899.459383,0.0000000298023223876953,0.000000000000000413795284648143
1939,69593556.9076122,69593556.9076122,0,0
1940,67267611.8466105,67267611.8466106,-0.0000000596046447753906,-0.00000000000000088608236771221
1941,65089608.6220251,65089608.622025,0.0000000521540641784668,0.000000000000000801265598036165
1942,62603345.6521287,62603345.6521287,-0.0000000149011611938477,-0.00000000000000023802499752409
1943,59904889.1437624,59904889.1437624,-0.00000000745058059692383,-0.000000000000000124373497779849
1944,57472688.2442169,57472688.244217,-0.0000000670552253723145,-0.00000000000000116673201516829
1945,55737754.9162886,55737754.9162886,0.00000000745058059692383,0.000000000000000133672061390232
1946,54803605.1976679,54803605.1976679,0.0000000372529029846191,0.000000000000000679752779954053
1947,53963272.1874296,53963272.1874296,0.0000000149011611938477,0.000000000000000276135241430352
1948,53166991.3418593,53166991.3418593,-0.0000000372529029846191,-0.00000000000000070067728198284
1949,52106274.9406622,52106274.9406622,-0.000000044703483581543,-0.000000000000000857928985183658
1950,50798116.5832868,50798116.5832868,0.00000000745058059692383,0.000000000000000146670410205231
1951,49086697.9365726,49086697.9365726,-0.0000000223517417907715,-0.000000000000000455352320085847
1952,47922294.7090411,47922294.709041,0.0000000521540641784668,0.00000000000000108830481710275
1953,46864652.4639558,46864652.4639558,0.0000000372529029846191,0.000000000000000794904070040225
1954,45303206.7318444,45303206.7318444,0,0
1955,43632178.9241445,43632178.9241444,0.0000000596046447753906,0.00000000000000136607078181942
1956,42213293.2915927,42213293.2915927,-0.00000000745058059692383,-0.000000000000000176498444351597
1957,40606921.565159,40606921.565159,-0.0000000223517417907715,-0.000000000000000550441671745672
1958,38776433.5337094,38776433.5337094,-0.0000000223517417907715,-0.000000000000000576425930748389
1959,36940245.1743644,36940245.1743644,-0.0000000298023223876953,-0.000000000000000806771104171701
1960,34953558.2796876,34953558.2796876,0,0
1961,33251957.1160606,33251957.1160606,0.0000000186264514923096,0.000000000000000560161058409192
1962,32639028.2910053,32639028.2910053,-0.0000000223517417907715,-0.000000000000000684816398070625
1963,32363050.3692104,32363050.3692103,0.0000000670552253723145,0.00000000000000207196863729847
1964,32332790.5644253,32332790.5644253,0.0000000186264514923096,0.000000000000000576085489905212
1965,32521679.6197655,32521679.6197655,0.0000000335276126861572,0.00000000000000103093115356134
1966,32805727.8437424,32805727.8437424,0.0000000149011611938477,0.000000000000000454224374012479
1967,32945222.6963058,32945222.6963059,-0.0000000745058059692383,-0.00000000000000226150561057195
1968,32926058.9508753,32926058.9508753,0.0000000186264514923096,0.000000000000000565705465087689
1969,33110702.3124973,33110702.3124973,0.00000000372529029846191,0.000000000000000112510156483629
1970,33184863.9801784,33184863.9801785,-0.000000100582838058472,-0.0000000000000030309853949846
1971,33101484.5829594,33101484.5829595,-0.0000000707805156707764,-0.00000000000000213828825391154
1972,33073101.6928454,33073101.6928454,-0.0000000186264514923096,-0.000000000000000563190343176642
1973,33362366.6908302,33362366.6908302,-0.00000000745058059692383,-0.000000000000000223322903496881
1974,33562535.6582078,33562535.6582078,-0.000000044703483581543,-0.00000000000000133194595416722
1975,33492432.2406733,33492432.2406733,0.0000000111758708953857,0.000000000000000333683466613504
1976,33329466.0175955,33329466.0175955,0.0000000149011611938477,0.000000000000000447086706579126
1977,33097314.6430272,33097314.6430273,-0.0000000558793544769287,-0.00000000000000168833499272126
1978,33045743.3298365,33045743.3298366,-0.0000000596046447753906,-0.00000000000000180370113573975
1979,32992478.6888798,32992478.6888798,-0.000000044703483581543,-0.00000000000000135495983806183
1980,32879117.999724,32879117.9997239,0.0000000558793544769287,0.00000000000000169953933914523
1981,32798010.6469478,32798010.6469479,-0.0000000782310962677002,-0.00000000000000238523906555839
1982,32579850.432987,32579850.4329869,0.0000000521540641784668,0.00000000000000160080735440274
1983,32196061.8743313,32196061.8743313,0.0000000409781932830811,0.00000000000000127277036064313
1984,31953645.2486914,31953645.2486913,0.0000000484287738800049,0.0000000000000015155946529133
1985,31823137.5321117,31823137.5321118,-0.000000085681676864624,-0.00000000000000269243335224772
1986,31521995.1940385,31521995.1940385,-0.0000000186264514923096,-0.000000000000000590903316165477
1987,31034577.6635962,31034577.6635962,0.00000000372529029846191,0.000000000000000120036764760995
1988,30517213.6693761,30517213.6693761,-0.0000000223517417907715,-0.000000000000000732430622039435
1989,30133881.0350752,30133881.0350752,0.0000000186264514923096,0.0000000000000006181232172062
1990,29894187.0329963,29894187.0329963,0.0000000298023223876953,0.000000000000000996927006404302
1991,29510485.3749063,29510485.3749062,0.0000000521540641784668,0.00000000000000176730621390644
1992,29062853.3650008,29062853.3650008,-0.0000000111758708953857,-0.00000000000000038454141976453
1993,28629670.8363636,28629670.8363636,-0.0000000260770320892334,-0.000000000000000910839395893857
1994,28238286.3082049,28238286.308205,-0.000000085681676864624,-0.00000000000000303423784040776
1995,27971743.3549037,27971743.3549037,0.0000000111758708953857,0.000000000000000399541449869141
1996,27709719.8066603,27709719.8066602,0.0000000745058059692383,0.00000000000000268879680087311
1997,27499093.687652,27499093.687652,0.0000000186264514923096,0.00000000000000067734783203686
1998,27370149.5890351,27370149.5890351,0.0000000223517417907715,0.000000000000000816646679918985
1999,27249645.8985711,27249645.8985711,-0.0000000111758708953857,-0.000000000000000410129032024294
2000,27213393.3730928,27213393.3730928,0.0000000149011611938477,0.000000000000000547567184641558
2001,27103723.8515713,27103723.8515713,0.0000000298023223876953,0.0000000000000010995656003176
2002,26768303.627907,26768303.6279071,-0.0000000707805156707764,-0.00000000000000264419130381444
2003,26393071.5101989,26393071.5101989,-0.0000000111758708953857,-0.000000000000000423439571671949
2004,26001048.3218391,26001048.3218391,0.000000044703483581543,0.00000000000000171929543102288
2005,25721714.0676172,25721714.0676171,0.0000000707805156707764,0.00000000000000275178067389712
2006,25561385.7534797,25561385.7534797,0.0000000111758708953857,0.000000000000000437216941333643
2007,25468261.3389005,25468261.3389006,-0.0000000633299350738525,-0.00000000000000248662184792024
2008,25313159.6636956,25313159.6636956,0.0000000260770320892334,0.00000000000000103017688963711
2009,24796841.8217936,24796841.8217936,0.00000000745058059692383,0.000000000000000300464899944461
2010,24236707.7221194,24236707.7221194,0.0000000223517417907715,0.000000000000000922226815912476
2011,23740208.4347794,23740208.4347794,0.0000000186264514923096,0.000000000000000784595111853434
2012,23322950.0031979,23322950.0031979,0.0000000111758708953857,0.000000000000000479179130163782
2013,22891290.1034008,22891290.1034007,0.0000000596046447753906,0.00000000000000260381326286786
2014,22614591.3826692,22614591.3826692,0.0000000186264514923096,0.000000000000000823647492768056
2015,22263145.5464752,22263145.5464752,0.00000000372529029846191,0.000000000000000167329917090342
2016,21862821.0522157,21862821.0522158,-0.0000000707805156707764,-0.00000000000000323748319129213
2017,21597572.8334373,21597572.8334372,0.0000000931322574615479,0.00000000000000431216313887648
2018,21396808.2298813,21396808.2298813,-0.0000000260770320892334,-0.00000000000000121873467337133
2019,21152932.5245726,21152932.5245726,0.0000000409781932830811,0.0000000000000019372346238744
2020,20731781.5349533,20731781.5349533,0.0000000335276126861572,0.00000000000000161720846950034
2021,20233341.3618141,20233341.3618141,0,0
2022,19808110.3079466,19808110.3079466,0.000000044703483581543,0.00000000000000225682727360463
2023,19524365.171703,19524365.171703,-0.0000000111758708953857,-0.000000000000000572406364924127
2024,19322142.6372907,19322142.6372907,0.0000000186264514923096,0.000000000000000963995134595556
