"scenario_id","input_id","engine_id","start_year","end_year","start_value","end_value","peak_year","peak_value","peak_to_end_change_percent","cagr_percent","index_1947_at_end"
"current_constant_retirement","chapter2_current","constant_1_14_1_30",1901,2024,1723395.05606458,30759632.4890402,1930,80946329.6529694,-61.999966371654,2.37067801099404,51.5606764523376
"current_truncated_weibull","chapter2_current","truncated_cohort_weibull",1901,2024,1723395.05606458,19322142.6372907,1930,92415645.8562277,-79.092130495576,1.98443777241408,35.8060989522272
"current_untruncated_weibull_5L","chapter2_current","untruncated_cohort_weibull_5L",1901,2024,1723395.05606458,28603711.7050328,1930,94527294.2661258,-69.7402618713449,2.31021668461899,41.8088703944087
"pooled_untruncated_weibull_L22","chapter2_current","pooled_cohort_weibull_L22_alpha1.65",1901,2024,1723395.05606458,28021001.3031487,1930,94092302.6862724,-70.2196667493857,2.29309802956459,43.6799348060174
"shaikh_constant_retirement_on_current_input","chapter2_current","constant_1_15_1_38",1901,2024,1723395.05606458,39531750.3041036,1930,85993254.168234,-54.0292425417869,2.57971147072418,57.7317887589731
"shaikh_mean_age_hazard_on_current_input","chapter2_current","mean_age_hazard",1901,2024,1723395.05606458,21962094.6514736,1930,92332787.7725739,-76.2141973817916,2.09067816630424,34.5517728012181
