"scenario_id","endpoint_log_gap","endpoint_gap_reduction_percent","log_index_rmse","rmse_reduction_percent","candidate_log_index_trend_per_year","benchmark_log_index_trend_per_year","trend_gap_per_year"
"current_truncated_weibull",-2.7376349190656,0.0000000000000333066907387547,1.76391498827841,0,-0.0104262531631647,0.0231483810806053,-0.0335746342437699
"current_untruncated_weibull_5L",-2.58264463234656,5.66146660534045,1.63938693354283,7.05975376155318,-0.0106513531505477,0.0231483810806053,-0.033799734231153
"current_constant_retirement",-2.37299386205972,13.3195647990325,1.4959413479289,15.1919815937985,-0.00817204684075361,0.0231483810806053,-0.0313204279213589
"shaikh_constant_retirement_on_current_input",-2.25994520625151,17.4489925405077,1.42332032798351,19.3090178698083,-0.00680983869772216,0.0231483810806053,-0.0299582197783274
"shaikh_mean_age_hazard_on_current_input",-2.77329429968055,-1.30256157848554,1.75910802419647,0.272516766050701,-0.0131918438130273,0.0231483810806053,-0.0363402248936325
"pooled_untruncated_weibull_L22",-2.53886432085708,7.26066857287026,1.66502146450293,5.60647902153141,-0.00953294732953545,0.0231483810806053,-0.0326813284101407
