"p","q","case","s","neg2logL","k_total","T_eff","logLik","AIC","BIC","HQ","AICc","ICOMP","ICOMP_Misspec","admissible","converged","rank_ok","stable","boundsJo_stat","boundsJo_cval","max_eig_mod","theta_hat","alpha_y","alpha_k","s_K","m","r","d","h","failed","error_msg","spec_idx","spec_id"
1,"d0","d0","h0",-574.004411206832,2,64,287.002205603416,-570.004411206832,-565.686645040113,-568.303425012247,-569.807689895357,-573.654488065582,NA,TRUE,TRUE,TRUE,TRUE,18.371313282519,17.95,1,0.8843796899819,0.0873137050791557,0.117640787297171,NA,2,1,"d0","h0",FALSE,"",1,"p1_d0_h0"
1,"d0","d0","h1",-579.402000005033,4,64,289.701000002517,-571.402000005033,-562.766467671595,-568.000027615862,-570.724033903339,-575.347233099751,NA,TRUE,TRUE,TRUE,TRUE,19.0208184143217,17.95,0.999999999999999,0.911650270348537,0.144727537088442,0.198001898238711,NA,2,1,"d0","h1",FALSE,"",2,"p1_d0_h1"
1,"d0","d0","h2",-588.474422894631,8,64,294.237211447315,-572.474422894631,-555.203358227753,-565.670478116288,-569.856241076449,-579.17607964677,NA,FALSE,TRUE,FALSE,TRUE,16.4562884097962,17.95,1,0.895581829002756,0.101470984842056,0.149251703014399,NA,2,1,"d0","h2",FALSE,"",3,"p1_d0_h2"
1,"d1","d1","h0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,"d1","h0",TRUE,"argumentos no compatibles",4,"p1_d1_h0"
1,"d1","d1","h1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,"d1","h1",TRUE,"argumentos no compatibles",5,"p1_d1_h1"
1,"d1","d1","h2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,"d1","h2",TRUE,"argumentos no compatibles",6,"p1_d1_h2"
1,"d2","d2","h0",-574.793217747981,4,64,287.396608873991,-566.793217747981,-558.157685414543,-563.39124535881,-566.115251646286,-565.817337165533,NA,TRUE,TRUE,TRUE,TRUE,18.371313282519,17.95,1,0.854822682574281,0.0715324377045514,0.147055973515171,NA,2,1,"d2","h0",FALSE,"",7,"p1_d2_h0"
1,"d2","d2","h1",-584.61823190349,6,64,292.309115951745,-572.61823190349,-559.664933403332,-567.515273319733,-571.144547692964,-568.909600281287,NA,TRUE,TRUE,TRUE,TRUE,19.0208184143217,17.95,1,0.899904979885273,0.00511653188888848,0.204934526157517,NA,2,1,"d2","h1",FALSE,"",8,"p1_d2_h1"
1,"d2","d2","h2",-596.552023326894,10,64,298.276011663447,-576.552023326894,-554.963192493297,-568.047092353966,-572.401079930667,-567.635164431498,NA,FALSE,TRUE,FALSE,TRUE,16.4562884097962,17.95,1,0.812453012489114,-0.049859603611535,0.173991410259281,NA,2,1,"d2","h2",FALSE,"",9,"p1_d2_h2"
1,"d3","d3","h0",-580.359921262907,6,64,290.179960631453,-568.359921262907,-555.406622762749,-563.25696267915,-566.88623705238,-537.426425318909,NA,TRUE,TRUE,TRUE,TRUE,18.371313282519,17.95,1,0.574466364797351,-0.06047330344481,0.163047198657765,NA,2,1,"d3","h0",FALSE,"",10,"p1_d3_h0"
1,"d3","d3","h1",-585.853435266831,8,64,292.926717633416,-569.853435266831,-552.582370599954,-563.049490488489,-567.235253448649,-546.596408519705,NA,TRUE,TRUE,TRUE,TRUE,19.0208184143217,17.95,1,0.801574670699442,-0.0385857398807083,0.202274246139086,NA,2,1,"d3","h1",FALSE,"",11,"p1_d3_h1"
1,"d3","d3","h2",-597.144567130755,12,64,298.572283565377,-573.144567130755,-547.237970130438,-562.938649963241,-567.026920071931,-538.368919387003,NA,FALSE,TRUE,FALSE,TRUE,16.4562884097962,17.95,1,0.647967279770833,-0.0683386120483992,0.177260330464582,NA,2,1,"d3","h2",FALSE,"",12,"p1_d3_h2"
2,"d0","d0","h0",-575.162565279515,6,63,287.581282639757,-563.162565279515,-550.303756921166,-558.105133100211,-561.662565279515,-564.905912325872,NA,TRUE,TRUE,TRUE,TRUE,18.371313282519,17.95,1,0.883360668044536,0.129695181875968,0.0994795364206614,NA,2,1,"d0","h0",FALSE,"",13,"p2_d0_h0"
2,"d0","d0","h1",-578.254154510328,8,63,289.127077255164,-562.254154510328,-545.109076699195,-555.510911604589,-559.587487843661,-559.325236882561,NA,TRUE,TRUE,TRUE,TRUE,19.0208184143217,17.95,0.999999999999996,0.909670316039021,0.208609398040025,0.183355662846059,NA,2,1,"d0","h1",FALSE,"",14,"p2_d0_h1"
2,"d0","d0","h2",-587.204601130978,12,63,293.602300565489,-563.204601130978,-537.486984414279,-553.08973677237,-556.964601130978,-552.659748810561,NA,FALSE,TRUE,FALSE,TRUE,16.4562884097962,17.95,0.999999999999999,0.893349743445032,0.154760732255396,0.151884405240643,NA,2,1,"d0","h2",FALSE,"",15,"p2_d0_h2"
