"variable_id","display_name","construction_family","s24b_construction_status","constructed_observation_rows","expected_observation_rows","coverage_start","expected_coverage_start","coverage_end","expected_coverage_end","source_dataset","source_table","source_line","source_line_description","unit","frequency","provider_release_commit","provider_v1_commit","s21_intake_commit","s22_model_input_preparation_commit","s23_construction_plan_commit","s24a_income_distribution_construction_commit","s22_authorization","s23_authorization_scope","s24b_decision_effect","can_enter_modeling","can_construct_adjusted_shaikh","blocked_or_parked_status","notes"
"GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","GOV_TRANS_highways_streets_cfc_current_cost","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt703","14","Highways and streets","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","GOV_TRANS_highways_streets_gross_investment_current_cost","fixed_assets_source_inputs","constructed",124,124,1901,1901,2024,2024,"FixedAssets","FAAt705","14","Highways and streets","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","GOV_TRANS_highways_streets_net_stock_current_cost","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt701","14","Highways and streets","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","GOV_TRANS_highways_streets_net_stock_quantity_index","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt702","14","Highways and streets","Chain-type quantity index","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","GOV_TRANS_transportation_structures_cfc_current_cost","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt703","12","Transportation","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","GOV_TRANS_transportation_structures_gross_investment_current_cost","fixed_assets_source_inputs","constructed",124,124,1901,1901,2024,2024,"FixedAssets","FAAt705","12","Transportation","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","GOV_TRANS_transportation_structures_net_stock_current_cost","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt701","12","Transportation","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","GOV_TRANS_transportation_structures_net_stock_quantity_index","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt702","12","Transportation","Chain-type quantity index","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"CORP__ME__cfc_current_cost","CORP_machinery_equipment_cfc_current_cost","fixed_assets_source_inputs","constructed",100,100,1925,1925,2024,2024,"FixedAssets","FAAt404","18","Equipment","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"CORP__ME__gross_investment_current_cost","CORP_machinery_equipment_gross_investment_current_cost","fixed_assets_source_inputs","constructed",124,124,1901,1901,2024,2024,"FixedAssets","FAAt407","18","Equipment","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_fixed_assets_source_input_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
