period_label,years,n,mean_r,mean_mu,mean_B,mean_pi,mean_theta
Pre-Fordist/WWII,1940-1944,5,0.21434199161483966,0.8749456829812403,0.6262899394229032,0.3888227413258908,1.0696221665048906
Early Fordist,1945-1966,22,0.18656683561904416,0.7372060234604717,0.6857589295043602,0.3688992567614944,0.8135874587162883
Late Fordist,1967-1973,7,0.18883189798025105,0.7231648048815464,0.7236722435351899,0.3602389463041203,0.7022946750596201
Post-Fordist onset,1974-1978,5,0.16939236282396217,0.6855935003190867,0.6801473095739872,0.363025895443479,0.7381094797546044
Post-Fordist full,1974-2024,51,0.1833555115248061,0.6813795444582866,0.7072024791496101,0.3853318242109541,1.0247607397525502
