swing_id,t0,t1,type,delta_lnr,sum_phi_mu,sum_phi_B,sum_phi_pi,s_mu,s_B,s_pi,dir_mu,dir_B,dir_pi,basu_cell
1,1951,1954,contraction,-0.13332720328062875,-0.05557489297033463,-0.013117828367411544,-0.06463448194288257,0.41683086124112206,0.09838823619363692,0.48478090256524103,drag,drag,drag,reinforcing_squeeze
2,1954,1955,expansion,0.09984945807913947,0.01717342735530042,0.030479665457453786,0.05219636526638527,0.17199319541312852,0.3052561931111932,0.5227506114756784,drag,drag,drag,broad_expansion
3,1955,1958,contraction,-0.191366565874992,-0.11517996312932977,-0.027716651122657976,-0.04846995162300427,0.6018813297019174,0.14483538958818729,0.2532832807098953,drag,drag,drag,reinforcing_squeeze
4,1958,1966,expansion,0.335727648148441,0.16006287868530317,0.11965146671170618,0.05601330275143168,0.47676406625447726,0.3563944386814476,0.16684149506407514,drag,drag,drag,broad_expansion
5,1966,1970,contraction,-0.268895839930164,-0.08008208358422675,-0.09602282426347247,-0.0927909320824648,0.29781823179200234,0.3571004456164548,0.34508132259154284,drag,drag,drag,reinforcing_squeeze
6,1970,1972,expansion,0.06638764705265288,0.02265322779668516,0.008721213346994106,0.03501320590897361,0.34122655045627087,0.13136801399328404,0.5274054355504451,drag,drag,drag,broad_expansion
7,1972,1974,contraction,-0.16422028283119683,-0.05431261311840413,-0.07365887004446442,-0.03624879966832828,0.3307302373497459,0.44853698200105335,0.22073278064920077,drag,drag,drag,reinforcing_squeeze
