year,swing_id,swing_start,swing_end,swing_direction,gross_reinforcing_pct_t,gross_offsetting_pct_t,net_imbalance_idx_t,compensation_intensity_t,reinforcing_concentration_t,reversal_risk_raw_t,gross_reinforcing_pct_swing,gross_offsetting_pct_swing,net_imbalance_idx_swing,compensation_intensity_swing,reinforcing_concentration_swing,reversal_risk_raw_swing,dist_share_t,util_share_t,price_share_t,capacity_share_t,wedge_share_t,share_sum_t,stagnation_transmission_t,small_den_flag
1940,1,1940,1944,trough_to_peak,NA,NA,NA,NA,NA,NA,66.69,33.31,0.334,0.998,0.564,18.771,NA,NA,NA,NA,NA,NA,NA,NA
1941,1,1940,1944,trough_to_peak,62.241,37.759,0.245,1.542,0.511,19.287,66.69,33.31,0.334,0.998,0.564,18.771,35.849,171.974,-35.54,-118.692,46.409,100,0.033,FALSE
1942,1,1940,1944,trough_to_peak,64.266,35.734,0.285,1.252,0.593,21.178,66.69,33.31,0.334,0.998,0.564,18.771,-32.538,167.095,13.963,-92.708,44.187,100,0.027,FALSE
1943,1,1940,1944,trough_to_peak,72.388,27.612,0.448,0.617,0.487,13.45,66.69,33.31,0.334,0.998,0.564,18.771,-44.007,105.645,28.532,-17.658,27.488,100,0.028,FALSE
1944,2,1944,1958,peak_to_trough,51.98,48.02,0.04,12.123,0.334,16.022,82.313,17.687,0.646,0.274,0.431,7.621,449.46,444.649,-362.493,418.212,-849.827,100,0.002,TRUE
1945,2,1944,1958,peak_to_trough,90.502,9.498,0.81,0.117,0.323,3.063,82.313,17.687,0.646,0.274,0.431,7.621,11.028,50.838,18.743,31.115,-11.725,100,0.025,FALSE
1946,2,1944,1958,peak_to_trough,93.001,6.999,0.86,0.081,0.311,2.177,82.313,17.687,0.646,0.274,0.431,7.621,19.013,34.36,10.131,44.634,-8.138,100,0.026,FALSE
1947,2,1944,1958,peak_to_trough,60.891,39.109,0.218,1.796,0.712,27.853,82.313,17.687,0.646,0.274,0.431,7.621,-87.798,-52.121,48.719,230.832,-39.632,100,0.024,FALSE
1948,2,1944,1958,peak_to_trough,63.864,36.136,0.277,1.303,0.366,13.227,82.313,17.687,0.646,0.274,0.431,7.621,115.017,53.035,4.334,-130.326,57.939,100,0.017,FALSE
1949,2,1944,1958,peak_to_trough,69.702,30.298,0.394,0.769,0.882,26.734,82.313,17.687,0.646,0.274,0.431,7.621,-10.35,165.789,-1.846,11.102,-64.694,100,0.013,FALSE
