profit_swing_id,class_swing_id,profit_interval,class_interval,overlap_start,overlap_end,overlap_years
1,1,1940-1944,1940-1944,1940,1944,5
1,2,1940-1944,1944-1960,1944,1944,1
2,1,1944-1958,1940-1944,1944,1944,1
2,2,1944-1958,1944-1960,1944,1958,15
3,2,1958-1966,1944-1960,1958,1960,3
3,3,1958-1966,1960-1966,1960,1966,7
3,4,1958-1966,1966-1976,1966,1966,1
4,3,1966-1976,1960-1966,1966,1966,1
4,4,1966-1976,1966-1976,1966,1976,11
4,5,1966-1976,1976-1978,1976,1976,1
5,4,1976-1978,1966-1976,1976,1976,1
5,5,1976-1978,1976-1978,1976,1978,3
