year,r,mu,B,pi,dlnr,phi_mu,phi_B,phi_pi,regime,tendency_label
1940,0.14959173321929048,0.7092666868069173,0.5368189315557095,0.392889306550765,NA,NA,NA,NA,Pre-Fordist,NA
1941,0.18753829350808493,0.7738237817414216,0.5976802631921833,0.405488902219556,0.22607325181687288,0.08711257468974376,0.10739508155953903,0.03156559556758998,Pre-Fordist,broad_expansion
1942,0.2244417255528644,0.8809279162333216,0.644040064493002,0.395594587840491,0.17963304251122048,0.12963162669542433,0.07470500209112724,-0.02470358627533087,Pre-Fordist,profit_squeeze
1943,0.25650176795214963,1.007704934646171,0.6732097426129405,0.378099919743178,0.1335194580757626,0.13445488001889896,0.04429599818990554,-0.045231420133042155,Pre-Fordist,profit_squeeze
1944,0.25363643784180884,1.00300509547837,0.6797006952606807,0.372040990275464,-0.011233662604774208,-0.00467481402741366,0.009595612940691778,-0.016154461518052332,Pre-Fordist,tech_offset_crisis
1945,0.20014477287821913,0.854461507204451,0.6478457327437965,0.361559807819748,-0.23686092550760396,-0.16028441380257047,-0.04799994598903695,-0.028576565715996427,Fordist,reinforcing_crisis
1946,0.15083943975512476,0.7597127382927515,0.589889729459207,0.336584930188249,-0.2828250108589092,-0.11753106848523817,-0.09371698104624032,-0.07157696132743063,Fordist,reinforcing_crisis
1947,0.1673654061682786,0.7806311689675995,0.6030597120836114,0.355516279222001,0.10396352476881088,0.027162397550345052,0.022080596628567206,0.054720530589898564,Fordist,broad_expansion
1948,0.19046626231993935,0.8000000000000003,0.6341795811985635,0.375418627401975,0.1292955952142778,0.024508944218702977,0.0503159485922281,0.054470702403346505,Fordist,broad_expansion
1949,0.17820744656187695,0.7445183692626993,0.6348153820142833,0.377053510503261,-0.0665267763713624,-0.07187420256053556,0.0010020542040787839,0.004345371985094659,Fordist,demand_drag
1950,0.19062263612802421,0.7304727151966259,0.6682238188204361,0.390524711686232,0.06734744481643196,-0.019045645474395856,0.05128895589651605,0.03510413439431159,Fordist,demand_drag
1951,0.20017778320368385,0.756288105308658,0.6931430532050881,0.381861373653901,0.04891014106967351,0.034730515627665715,0.03661322833672376,-0.022433602894715965,Fordist,profit_squeeze
1952,0.1847314669152984,0.741120052469365,0.6802397067183588,0.36642942065708,-0.08030264731432224,-0.020259768958748925,-0.018791157935278524,-0.04125172042029468,Fordist,reinforcing_crisis
1953,0.18105982905982906,0.7541143840459854,0.6745631075266888,0.355928116035229,-0.02007571646128703,0.017381433179070316,-0.008380012724645669,-0.0290771369157119,Fordist,profit_squeeze
1954,0.17519132885381516,0.7154040602394761,0.6841098988166432,0.357960685956649,-0.0329488395050197,-0.052696557190656024,0.01405334229251265,0.005694375393124007,Fordist,demand_drag
1955,0.19358721656309716,0.7277961022539334,0.7052823654241945,0.377141153512576,0.09984945807913981,0.01717342735530042,0.030479665457453786,0.05219636526638527,Fordist,broad_expansion
1956,0.17801081186594153,0.7067323954377549,0.6910925042688295,0.364464471637588,-0.08388385324576642,-0.029368842561148134,-0.020324556007516426,-0.03419045467710169,Fordist,reinforcing_crisis
1957,0.1701738542570581,0.6870523234868979,0.6860326422884372,0.361042428838219,-0.045023702689591216,-0.028241635481546457,-0.007348474846218533,-0.00943359236182606,Fordist,reinforcing_crisis
1958,0.15987009458892099,0.6486160677353212,0.6860027180127478,0.359297083980053,-0.06245900993963449,-0.057569485086635175,-4.362026892301696e-5,-0.004845904584076521,Fordist,reinforcing_crisis
1959,0.18117027124362645,0.6909156950870354,0.7062465013233564,0.371283429349727,0.12507573752607493,0.063176845592674,0.029082738734202584,0.032816153199198395,Fordist,broad_expansion
1960,0.1748393493358537,0.696532722546301,0.6946597300188125,0.361347899350052,-0.03556976565932768,0.008096961409021386,-0.016542199992180318,-0.027124527076168636,Fordist,profit_squeeze
1961,0.17661962044164492,0.6922567675834174,0.6996455531719402,0.364664644329134,0.010130834522310339,-0.00615783530175501,0.007151725614349069,0.009136944209716225,Fordist,demand_drag
1962,0.1914852263545238,0.7248352413687374,0.7119706475261878,0.371051236079897,0.08081227564378946,0.045987437527995945,0.017462830985502942,0.017362007130290458,Fordist,broad_expansion
1963,0.2029079187236083,0.7392249664928647,0.7260226784311062,0.378069970310423,0.05794161511541107,0.01965791903028069,0.01954456666770754,0.01873912941742295,Fordist,broad_expansion
1964,0.21015673479192104,0.748048477407035,0.7374669786061792,0.380952642220107,0.035101334697863695,0.011865490467619755,0.015640060594946326,0.00759578363529767,Fordist,broad_expansion
1965,0.22319137155726482,0.758592787036606,0.7590080343452471,0.38763440726055,0.06017596337813247,0.01399733571094286,0.028791050334440405,0.017387577332749093,Fordist,broad_expansion
1966,0.22365154205142118,0.7612058687068598,0.7731963730922105,0.379996818760225,0.00205965292418675,0.003438724248523539,0.01852069377273763,-0.019899765097074473,Fordist,profit_squeeze
1967,0.20990579083700914,0.7377328409406015,0.765660805217961,0.371611279148343,-0.06343040978878278,-0.03132209028597316,-0.009793797908884405,-0.022314521593925107,Fordist,reinforcing_crisis
1968,0.20765212594171834,0.7399532141237846,0.7543630804081174,0.372007499843427,-0.010794606872191359,0.0030052051268083524,-0.014865467530501053,0.0010656555315012861,Fordist,tech_drag
1969,0.19343131350264767,0.7364261103668454,0.7336739396069711,0.358009465855308,-0.07094172765070295,-0.004778054540165277,-0.027809085158950808,-0.03835458795158697,Fordist,reinforcing_crisis
1970,0.17091961954627266,0.7026239041132241,0.7024050502482166,0.346323028853707,-0.12372909561848688,-0.046987143884896665,-0.043554473665136206,-0.03318747806845401,Fordist,reinforcing_crisis
1971,0.17621641095423654,0.6974403428362662,0.7037605526318198,0.35901646505322,0.030519462527877295,-0.007404781563599028,0.0019279419162141487,0.03599630217526251,Fordist,demand_drag
1972,0.18265169475652618,0.7187222548466937,0.7085576646819494,0.358663690740857,0.03586818452477547,0.030058009360284188,0.006793271430779957,-9.830962662888965e-4,Fordist,profit_squeeze
1973,0.18104633032334685,0.7292549669434095,0.6972846119512937,0.35604119463398,-0.008828064760317833,0.014548430340277418,-0.01603777969384057,-0.00733871540675457,Fordist,profit_squeeze
1974,0.15499002330567455,0.6807277022231578,0.6582419543977109,0.345895378535974,-0.15539221807087888,-0.06886104345868155,-0.05762109035062385,-0.02891008426157371,Post-Fordist,reinforcing_crisis
1975,0.1639874769967178,0.6623807865130263,0.6754248470651089,0.3665438393374,0.05642931605469159,-0.02732177951329956,0.025769320354410208,0.057981775213580944,Post-Fordist,demand_drag
1976,0.17282622980726473,0.6821514837306076,0.6861392899600561,0.369246628939966,0.05249657258416773,0.02941115330384758,0.015738757762801814,0.007346661517518505,Post-Fordist,broad_expansion
1977,0.17798201616859247,0.6963178652002847,0.691577949356448,0.369596156879766,0.0293958747105163,0.020554508865172738,0.007895216075506084,9.461497698375343e-4,Post-Fordist,broad_expansion
1978,0.17717606784156129,0.7063896639283571,0.6893525070906119,0.363847473524289,-0.004538540704829286,0.014360758193325218,-0.0032231082774897835,-0.01567619062066472,Post-Fordist,profit_squeeze
1979,0.16534385452587322,0.699694807199155,0.6747526444578066,0.350215055097957,-0.06911669944506738,-0.009522766887939904,-0.02140659044448956,-0.03818734211263797,Post-Fordist,reinforcing_crisis
1980,0.1526529670923926,0.6779426394922791,0.6519190334871596,0.345397062101825,-0.07986011606035626,-0.031581568414123296,-0.03442579860994771,-0.013852749036285417,Post-Fordist,reinforcing_crisis
