"year","y_t","yp_spec_B","yp_spec_A","ln_mu_spec_B_norm","ln_mu_spec_A_norm","mu_spec_B","mu_spec_A"
1945,13.4288799616208,13.3800830968344,13.2995844029432,0.0413739288394517,0.00261799902980009,1.04224175694059,1.00262142898181
1946,13.3978306520318,13.4092405727748,13.3585453038904,-0.0188328566900164,-0.0873922115064207,0.98134337351541,0.916317634825513
1947,13.4643972622055,13.4718081950861,13.4476193551031,-0.0148338688276635,-0.109899652545481,0.985275610999556,0.895924034482178
1948,13.5391719049729,13.5366197707664,13.5251527674361,-0.0048708017404735,-0.112658422110973,0.995141041378028,0.893455792743393
1949,13.5300154257478,13.5893539373549,13.5803665530295,-0.0667614475540113,-0.177028686929448,0.935418321051351,0.83775575153814
1950,13.6517390796488,13.6562066517036,13.6248441265605,-0.0118905080018461,-0.0997826065595895,0.988179904731055,0.905034145138095
1951,13.7060338044335,13.6944834833318,13.6841260453071,0.00412738515464106,-0.104769800521458,1.0041359145394,0.900531800678622
1952,13.7433225875808,13.7159739503285,13.7377086575357,0.0199257013052652,-0.121063629602771,1.02012554321466,0.885977583397601
1953,13.8147452652025,13.7528242932761,13.8106269324782,0.054498035979373,-0.122559226923505,1.05601040238548,0.884653508086195
1954,13.8047427931029,13.8025757153995,13.8789265228033,-0.00525585824351715,-0.200861289348131,0.994757929613171,0.818025892589357
1955,13.9178902353347,13.8863918517445,13.9335968609369,0.0240754476431935,-0.142384185250021,1.02436760109643,0.867287993218082
1956,13.9518352955655,13.9114258424546,14.0258320855976,0.0329865171639518,-0.200674349679884,1.03353660414278,0.818178828372772
1957,13.9652589906766,13.9495509769131,14.0894777838761,0.00828507781651133,-0.25089635284734,1.00831949405514,0.778103015541663
1958,13.9266314507471,13.9852412572786,14.1403193961173,-0.0660327424784963,-0.340365505017987,0.936100213548718,0.711510214676287
1959,14.0333014091051,14.0521008745457,14.1540530135641,-0.0262224013875976,-0.247429164106752,0.974118420227514,0.780805527909061
1960,14.0666411915782,14.0752744170524,14.2207089640935,-0.0160561614212291,-0.28074533216312,0.984072051618312,0.755220641399215
1961,14.0902889853204,14.1192445574644,14.252051486613,-0.0363785080909835,-0.288440060940445,0.964275238419657,0.749431724034031
1962,14.1716341499364,14.1783100135477,14.2711894532183,-0.014098799558246,-0.226232862929702,0.986000123073766,0.797532364317955
1963,14.2314176252315,14.2341236942347,14.2828275953513,-0.0101290049501497,-0.178087529767534,0.989922120657707,0.836869169319007
1964,14.2991982567992,14.300113297656,14.3079237522455,-0.00833797680383341,-0.135403055094102,0.99169668771387,0.873363826998561
1965,14.3798460477069,14.3890657590226,14.3160812408816,-0.0166426472626497,-0.0629127528224451,0.983495076503506,0.939025397430852
1966,14.4511229009046,14.4344260320578,14.3652459877845,0.00927393289978085,-0.0408006465277211,1.00931706905966,0.960020494291588
1967,14.479343751313,14.4723539262346,14.4161259036127,-0.000433110868582887,-0.0634597119474947,0.99956698291039,0.938511929356899
1968,14.542228385457,14.5409772798959,14.4478177926019,-0.00617183038596103,-0.0322669667927453,0.993847176237208,0.968248057493502
1969,14.581441548648,14.5513643952255,14.5258962591768,0.0226542174754805,-0.0711322701766068,1.02291277302658,0.931338695646408
1970,14.572686442227,14.5543205894822,14.5919483308377,0.0109429167977844,-0.145939448258501,1.01100300950828,0.864210031022755
1971,14.6113505991523,14.6511245714606,14.5649462613254,-0.0471969082552768,-0.0802732218209279,0.953899548400665,0.922864165309803
1972,14.6842986963939,14.6940610779573,14.5838501316869,-0.0171853175104015,-0.0262289949407357,0.982961507775708,0.974111997347122
1973,14.7434701431856,14.7360472072386,14.6167925835378,0,0,1,1
