"year","variable_id","value","unit","source_boundary","source_stage","source_file","copied_from_source_variable","price_object_used","allowed_use","prohibited_use","status"
1929,"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT",579004.329004329,"Millions of 2017-price-equivalent dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","P_Y_PROXY_GDP_IMPLICIT","robustness_level_realized_NFC_GVA_with_named_proxy_deflator","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","source_copy_complete"
1930,"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT",535166.134563084,"Millions of 2017-price-equivalent dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","P_Y_PROXY_GDP_IMPLICIT","robustness_level_realized_NFC_GVA_with_named_proxy_deflator","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","source_copy_complete"
1931,"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT",466996.177672334,"Millions of 2017-price-equivalent dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","P_Y_PROXY_GDP_IMPLICIT","robustness_level_realized_NFC_GVA_with_named_proxy_deflator","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","source_copy_complete"
1932,"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT",383895.52238806,"Millions of 2017-price-equivalent dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","P_Y_PROXY_GDP_IMPLICIT","robustness_level_realized_NFC_GVA_with_named_proxy_deflator","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","source_copy_complete"
1933,"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT",383420.325452871,"Millions of 2017-price-equivalent dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","P_Y_PROXY_GDP_IMPLICIT","robustness_level_realized_NFC_GVA_with_named_proxy_deflator","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","source_copy_complete"
1934,"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT",458215.68912822,"Millions of 2017-price-equivalent dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","P_Y_PROXY_GDP_IMPLICIT","robustness_level_realized_NFC_GVA_with_named_proxy_deflator","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","source_copy_complete"
1935,"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT",498160.296634341,"Millions of 2017-price-equivalent dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","P_Y_PROXY_GDP_IMPLICIT","robustness_level_realized_NFC_GVA_with_named_proxy_deflator","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","source_copy_complete"
1936,"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT",566211.075102156,"Millions of 2017-price-equivalent dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","P_Y_PROXY_GDP_IMPLICIT","robustness_level_realized_NFC_GVA_with_named_proxy_deflator","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","source_copy_complete"
1937,"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT",618089.705485004,"Millions of 2017-price-equivalent dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","P_Y_PROXY_GDP_IMPLICIT","robustness_level_realized_NFC_GVA_with_named_proxy_deflator","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","source_copy_complete"
1938,"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT",559694.019471488,"Millions of 2017-price-equivalent dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","P_Y_PROXY_GDP_IMPLICIT","robustness_level_realized_NFC_GVA_with_named_proxy_deflator","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","source_copy_complete"
