"year","variable_id","source_level_variable","value","unit","source_boundary","source_stage","source_file","construction_rule","allowed_use","prohibited_use","status"
1947,"y_real_nfc_gva_proxy_business_output","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT",13.6608130379795,"natural_log_of_millions_2017_price_equivalent_dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","natural_log(real_output_value)","log_level_representation","not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","construction_complete"
1948,"y_real_nfc_gva_proxy_business_output","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT",13.7373193505566,"natural_log_of_millions_2017_price_equivalent_dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","natural_log(real_output_value)","log_level_representation","not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","construction_complete"
1949,"y_real_nfc_gva_proxy_business_output","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT",13.7195484037533,"natural_log_of_millions_2017_price_equivalent_dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","natural_log(real_output_value)","log_level_representation","not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","construction_complete"
1950,"y_real_nfc_gva_proxy_business_output","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT",13.8368387754948,"natural_log_of_millions_2017_price_equivalent_dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","natural_log(real_output_value)","log_level_representation","not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","construction_complete"
1951,"y_real_nfc_gva_proxy_business_output","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT",13.8994000570255,"natural_log_of_millions_2017_price_equivalent_dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","natural_log(real_output_value)","log_level_representation","not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","construction_complete"
1952,"y_real_nfc_gva_proxy_business_output","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT",13.9325110606896,"natural_log_of_millions_2017_price_equivalent_dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","natural_log(real_output_value)","log_level_representation","not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","construction_complete"
1953,"y_real_nfc_gva_proxy_business_output","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT",13.9930981352295,"natural_log_of_millions_2017_price_equivalent_dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","natural_log(real_output_value)","log_level_representation","not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","construction_complete"
1954,"y_real_nfc_gva_proxy_business_output","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT",13.9735003790284,"natural_log_of_millions_2017_price_equivalent_dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","natural_log(real_output_value)","log_level_representation","not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","construction_complete"
1955,"y_real_nfc_gva_proxy_business_output","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT",14.0819369105455,"natural_log_of_millions_2017_price_equivalent_dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","natural_log(real_output_value)","log_level_representation","not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","construction_complete"
1956,"y_real_nfc_gva_proxy_business_output","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT",14.1187153628792,"natural_log_of_millions_2017_price_equivalent_dollars","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","natural_log(real_output_value)","log_level_representation","not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","construction_complete"
