"year","variable_id","value","unit","family_id","contract_status","analytical_role","source_stage","source_commit","source_file","coverage_start","coverage_end","first_fully_supported_year","support_status","baseline_window_eligible","warmup_observation","authoritative_variable_id","provenance_id","reference_year","transformation","canonical_inclusion_status","baseline_or_robustness"
1901,"G_TOT_GPIM_2017",1723395.05606458,"millions_2017_dollars","capital","BASELINE_AUTHORIZED","baseline_representation","S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","0749ee63c33cc3716eb2b7119d8c45c09ac6d5ce","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_primary_level_interface.csv",1901,2024,1931,"partial_vintage_warmup","no","yes","G_TOT_GPIM_2017","S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY::G_TOT_GPIM_2017",2017,"level","CANONICAL_BASELINE","BASELINE_AUTHORIZED"
1901,"I_TOT_REAL_2017",1723395.05606458,"millions_2017_dollars","capital","CONDITIONAL_SECONDARY","conditional_secondary","S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","0749ee63c33cc3716eb2b7119d8c45c09ac6d5ce","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv",1901,2024,1931,"partial_vintage_warmup","no","yes","I_TOT_REAL_2017","S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS::I_TOT_REAL_2017",2017,"level_change","CANONICAL_CONDITIONAL","CONDITIONAL_SECONDARY"
1901,"LOG_G_TOT_GPIM_2017",14.3598067730733,"natural_log_of_millions_2017_dollars","capital","BASELINE_AUTHORIZED","baseline_representation","S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","0749ee63c33cc3716eb2b7119d8c45c09ac6d5ce","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_primary_log_interface.csv",1901,2024,1931,"partial_vintage_warmup","no","yes","LOG_G_TOT_GPIM_2017","S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY::LOG_G_TOT_GPIM_2017",2017,"log_level","CANONICAL_BASELINE","BASELINE_AUTHORIZED"
1901,"LOG_I_TOT_REAL_2017",14.3598067730733,"natural_log_of_millions_2017_dollars","capital","CONDITIONAL_SECONDARY","conditional_secondary","S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","0749ee63c33cc3716eb2b7119d8c45c09ac6d5ce","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv",1901,2024,1931,"partial_vintage_warmup","no","yes","LOG_I_TOT_REAL_2017","S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS::LOG_I_TOT_REAL_2017",2017,"growth_or_log_difference","CANONICAL_CONDITIONAL","CONDITIONAL_SECONDARY"
1901,"LOG_N_TOT_GPIM_2017",14.3598067730733,"natural_log_of_millions_2017_dollars","capital","ROBUSTNESS_AUTHORIZED","robustness_representation","S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","0749ee63c33cc3716eb2b7119d8c45c09ac6d5ce","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_net_robustness_log_interface.csv",1901,2024,1931,"partial_vintage_warmup","no","yes","LOG_N_TOT_GPIM_2017","S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY::LOG_N_TOT_GPIM_2017",2017,"log_level","CANONICAL_ROBUSTNESS","ROBUSTNESS_AUTHORIZED"
1901,"N_TOT_GPIM_2017",1723395.05606458,"millions_2017_dollars","capital","ROBUSTNESS_AUTHORIZED","robustness_representation","S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","0749ee63c33cc3716eb2b7119d8c45c09ac6d5ce","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_net_robustness_level_interface.csv",1901,2024,1931,"partial_vintage_warmup","no","yes","N_TOT_GPIM_2017","S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY::N_TOT_GPIM_2017",2017,"level","CANONICAL_ROBUSTNESS","ROBUSTNESS_AUTHORIZED"
1902,"DELTA_G_TOT",2131425.99289776,"millions_2017_dollars","capital","CONDITIONAL_SECONDARY","conditional_secondary","S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","0749ee63c33cc3716eb2b7119d8c45c09ac6d5ce","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv",1902,2024,1932,"partial_vintage_warmup","no","yes","DELTA_G_TOT","S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS::DELTA_G_TOT",2017,"level_change","CANONICAL_CONDITIONAL","CONDITIONAL_SECONDARY"
1902,"DLOG_G_TOT",0.805028370326129,"log_difference","capital","CONDITIONAL_SECONDARY","conditional_secondary","S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","0749ee63c33cc3716eb2b7119d8c45c09ac6d5ce","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv",1902,2024,1932,"partial_vintage_warmup","no","yes","DLOG_G_TOT","S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS::DLOG_G_TOT",,"growth_or_log_difference","CANONICAL_CONDITIONAL","CONDITIONAL_SECONDARY"
1902,"DLOG_N_TOT",0.785140674244252,"log_difference","capital","CONDITIONAL_SECONDARY","conditional_secondary","S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","0749ee63c33cc3716eb2b7119d8c45c09ac6d5ce","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv",1902,2024,1932,"partial_vintage_warmup","no","yes","DLOG_N_TOT","S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS::DLOG_N_TOT",,"growth_or_log_difference","CANONICAL_CONDITIONAL","CONDITIONAL_SECONDARY"
1902,"G_TOT_GPIM_2017",3854821.04896234,"millions_2017_dollars","capital","BASELINE_AUTHORIZED","baseline_representation","S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","0749ee63c33cc3716eb2b7119d8c45c09ac6d5ce","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_primary_level_interface.csv",1901,2024,1931,"partial_vintage_warmup","no","yes","G_TOT_GPIM_2017","S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY::G_TOT_GPIM_2017",2017,"level","CANONICAL_BASELINE","BASELINE_AUTHORIZED"
