year,GVA,EC,GOS,omega,pi,e,KNC,KNR,KGC,KGR,IGC,Py,pK,GVA_real,EC_real,GOS_real,theta,mu,mu_ect
1929,50825,32147,15725,0.632503689129365,0.367496310870635,0.581018446511338,102600,2408448.64541875,37550.5906607121,881468.510833001,7769,6.998437350511848,4.26000364156245,726233.5497835497,459345.3994076099,224693.0166324903,0.7955583413674425,1.0546148073065502,1.5764193034464873
1930,45259,28791,13477,0.636138668552111,0.363861331447889,0.571984300649508,97578,2450604.02445983,40798.7522910525,1024632.46384834,6446,6.742513633319515,3.9817938363791097,671248.1792597848,427006.9230223483,199880.94548894404,0.7488455843036768,0.8908486628477243,1.0997981960637206
1931,35431,23522,9113,0.663881911320595,0.336118088679405,0.506291981974322,87862,2442861.199738,40223.4511504233,1118348.18391257,4175,6.048888605415058,3.59668408542504,585743.9657308555,388864.8235139054,150655.77487808093,0.39231994581016494,0.7491208341847838,0.22421728700434393
1932,25721,17432,5395,0.677734147194899,0.322265852805101,0.475504818724185,82123,2407158.17463178,39819.2302004044,1167166.14693141,2552,5.341709985011321,3.41161627289251,481512.4758208955,326337.4471641791,100997.62089552238,0.21430624781307372,0.6009247870624917,0.09015009357977942
1933,24976,16597,4974,0.664517937219731,0.335482062780269,0.50485027414593,82685,2368228.97255812,42105.4840902302,1205967.55549456,2380,5.193417737666231,3.49142760088291,480916.4458090267,319577.6045440589,95775.08013509364,0.38414644058295977,0.5811273108906049,0.16526837151698975
1934,31484,19585,7882,0.622061999745903,0.377938000254097,0.607556803676283,83912,2344140.18453465,44958.4354985846,1255945.21982602,2956,5.478043180151163,3.57964939783062,574730.7745597438,357518.1749381458,143883.49526997525,0.9297434474653752,0.6866543285572082,1.4557174027750146
1935,34931,21537,9318,0.616558357905585,0.383441642094415,0.621906486511585,83436,2330160.08434244,47115.4706402907,1315817.98073989,3428,5.5904582708805055,3.58069819153842,624832.4968625214,385245.69823160296,166676.8545350827,1.0004701983911175,0.7269449296928732,1.997832288682596
1936,40184,24641,11261,0.61320426040215,0.38679573959785,0.630777971673227,91866,2340268.77217373,54534.9422243367,1389267.21833882,4422,5.658226233376918,3.9254465594851897,710187.227279132,435489.83345075377,199019.96731013103,1.0435733699980103,0.7182786323919516,2.309658831931484
1937,45751,28781,12441,0.629079145811021,0.370920854188979,0.58962509989229,95067,2371024.99259656,59714.1396997445,1489304.57087629,5723,5.901393628216986,4.00953175512039,775257.5557957309,487698.36098351795,210814.6106457714,0.8395668050971512,0.7527100083329595,1.1830273521138357
1938,40242,25513,10245,0.633989364345709,0.366010635654291,0.577313526437502,93989,2373175.77724151,61606.9520450536,1555545.07764739,4467,5.732372357049463,3.9604735941325497,702013.0147426982,445068.78497913765,178721.81641168287,0.7764660777297294,0.6504360547505367,0.8217600466817038
1939,44443,28023,11768,0.630537992484756,0.369462007515244,0.585947257609821,94830,2379843.20964087,64808.8873985036,1626436.68248137,4824,5.6765634467582995,3.9847162878562297,782920.8713483146,493661.35449438205,207308.52584269663,0.8208193123776493,0.690283889524402,1.0140528270309324
1940,51078,31010,15041,0.607110693449235,0.392889306550765,0.647146081909062,100547,2405652.62538031,71706.4121389663,1715622.72985476,5979,5.744331409254712,4.17961425266479,889189.6438584316,539836.5412907703,261840.74226231783,1.1218811895532266,0.7092666868069173,2.8476680643731216
1941,66680,39642,21120,0.594511097780444,0.405488902219556,0.682054386761516,112617,2446087.37670543,83664.1480143753,1817219.57023165,7339,6.132601970851804,4.60396472638197,1087303.5673426937,646414.0374414977,344388.8923556942,1.2837973335332933,0.7738237817414216,5.258726218561236
1942,84033,50790,26966,0.604405412159509,0.395594587840491,0.654518606024808,120147,2443076.2782025,92303.4839863076,1876904.55960109,5984,6.620531300825973,4.91785709156812,1269278.7962427745,767158.9739884392,407308.7003853564,1.1566464888793655,0.8809279162333216,4.004971193903828
1943,99680,61991,31048,0.621900080256822,0.378099919743178,0.607975351260667,121044,2423934.29486241,95657.4030573604,1915561.77776852,5216,6.92269668654527,4.99369971605896,1439901.3060002301,895474.7377634457,448495.74386732694,0.9318242586276072,1.007704934646171,2.261670369341853
1944,103244,64833,31073,0.627959009724536,0.372040990275464,0.592460629617633,122510,2427590.62875883,99818.751722149,1977953.3609917,6646,7.087731606977708,5.04656751219362,1456657.8663667042,914721.4312710911,438405.4267716535,0.8539615619309604,1.00300509547837,1.7616709157983488
1945,96576,61658,26820,0.638440192180252,0.361559807819748,0.566317428395342,134003,2465659.51697451,112551.061780498,2070943.16265062,9022,7.2711037407915295,5.43477309326264,1328216.5052631581,847986.8008771931,368857.3421052632,0.719268934310799,0.854461507204451,0.9845547570261988
1946,100771,66853,24393,0.663415069811751,0.336584930188249,0.507351951296127,161715,2537065.56718696,140052.308933832,2197210.46656807,12964,8.208693433683068,6.374096203564269,1227613.1495726495,814417.0633255633,297160.56759906764,0.3983192793561692,0.7597127382927515,0.330472299660624
1947,122211,78763,32256,0.644483720777999,0.355516279222001,0.551629572261087,192728,2643099.25018316,171085.155595539,2346286.19853907,16831,9.109608699811844,7.29174282754023,1341561.4657798004,864614.5251181516,354087.6569228076,0.641604152654013,0.7806311689675995,0.6939625650437201
1948,140041,87467,40196,0.624581372598025,0.375418627401975,0.601072404449678,211040,2746121.83467642,192552.448364779,2505555.73718217,18915,9.620658864049494,7.68501955503613,1455627.9562443027,909158.1069031243,417809.2225076655,0.8973672388800402,0.8000000000000003,1.471096178090569
1949,136291,84902,38434,0.622946489496739,0.377053510503261,0.605274316270524,215670,2813441.39406346,202194.530665119,2637652.25681124,17205,9.603916190962146,7.6657008194689,1419119.006143118,884035.2030549559,400190.91416237754,0.9183769581263572,0.7445183692626993,1.4513628630402151
1950,154866,94387,46116,0.609475288313768,0.390524711686232,0.640755612531387,241923,2890009.3274238,231543.492069792,2766015.84713308,18927,9.722709442867622,8.3710110449939,1592827.605412054,970789.0640426404,474312.23025830253,1.0914940174086,0.7304727151966259,2.283370182018134
1951,177643,109808,52470,0.618138626346099,0.381861373653901,0.617760090339502,262117,2983783.53794378,256708.234506678,2922213.37866539,22791,10.412348120036993,8.78471902089229,1706080.1075038286,1054594.014088821,503920.9157733538,0.9801623266889176,0.756288105308658,1.7690364233884897
1952,185883,117770,51316,0.63357057934292,0.36642942065708,0.578356117856839,277787,3083579.94546959,277843.643963093,3084208.72287323,24435,10.592531173262747,9.00858758042339,1754849.685684179,1111821.1320186662,484454.5572783381,0.7818478419220689,0.741120052469365,1.041396942015684
1953,199043,128198,52960,0.644071883964771,0.355928116035229,0.552621725767953,292500,3195420.74700718,298674.907638712,3262878.62044169,26931,10.720891666932424,9.15372413081921,1856589.9757566743,1195777.4034357106,493988.7618056072,0.6468966263571243,0.7541143840459854,0.7554208635177111
1954,196164,125945,52902,0.642039314043351,0.357960685956649,0.557537020127834,301967,3289625.11445612,314665.674722667,3427964.33459605,26377,10.8205504353095,9.17937422939223,1812883.7453580904,1163942.6363100503,488903.0397877985,0.6730169791603,0.7154040602394761,0.7639544272981158
