"sample_name","economic_start_year","economic_end_year","regression_start_year","regression_end_year","N","spec_id","intercept_flag","centered_flag","interaction_label","omega_mean","omega_min","omega_max","omega_range","corr_longrun_regressors","VIF_regressor_1","VIF_regressor_2","condition_number_longrun_X","smallest_eigenvalue_XtX","rank_longrun_X","near_singularity_flag"
"Full sample",1929,2024,1932,2022,91,"S1",TRUE,FALSE,"omega_t k_t",0.62328703741286,0.56475673366441,0.677734147194899,0.112977413530489,0.800792060644387,2.78759572391899,2.78759572391899,313.556465999317,0.330178839911294,3,FALSE
"Full sample",1929,2024,1932,2022,91,"S2",TRUE,TRUE,"(omega_t-omega_bar)k_t",0.62328703741286,0.56475673366441,0.677734147194899,0.112977413530489,-0.440418866075565,1.24064672956043,1.24064672956043,266.882278206388,0.328994329954082,3,FALSE
"Full sample",1929,2024,1932,2022,91,"S3",FALSE,FALSE,"omega_t k_t",0.62328703741286,0.56475673366441,0.677734147194899,0.112977413530489,0.800792060644387,2.78759572391899,2.78759572391899,54.4007770466354,10.9384616471198,2,FALSE
"Full sample",1929,2024,1932,2022,91,"S4",FALSE,TRUE,"(omega_t-omega_bar)k_t",0.62328703741286,0.56475673366441,0.677734147194899,0.112977413530489,-0.440418866075565,1.24064672956043,1.24064672956043,39.2269304183649,15.1697011963879,2,FALSE
"Pre-1974",1929,1973,1932,1971,40,"S1",TRUE,FALSE,"omega_t k_t",0.630520452774335,0.594511097780444,0.677734147194899,0.083223049414455,0.841841566845823,3.43285434006715,3.43285434006715,461.181153476225,0.058729474473385,3,FALSE
"Pre-1974",1929,1973,1932,1971,40,"S2",TRUE,TRUE,"(omega_t-omega_bar)k_t",0.630520452774335,0.594511097780444,0.677734147194899,0.083223049414455,0.0387682499148604,1.00150523954218,1.00150523954218,390.221437384926,0.0587652580852893,3,FALSE
"Pre-1974",1929,1973,1932,1971,40,"S3",FALSE,FALSE,"omega_t k_t",0.630520452774335,0.594511097780444,0.677734147194899,0.083223049414455,0.841841566845823,3.43285434006715,3.43285434006715,87.6328221683104,1.62134265777559,2,FALSE
"Pre-1974",1929,1973,1932,1971,40,"S4",FALSE,TRUE,"(omega_t-omega_bar)k_t",0.630520452774335,0.594511097780444,0.677734147194899,0.083223049414455,0.0387682499148604,1.00150523954218,1.00150523954218,62.6986900524473,2.26612123289657,2,FALSE
"Post-1973",1974,2024,1977,2022,46,"S1",TRUE,FALSE,"omega_t k_t",0.615102022299673,0.56475673366441,0.654881386402621,0.0901246527382109,-0.402971577473439,1.19386747372415,1.19386747372415,1342.32018468451,0.010076747831899,3,TRUE
"Post-1973",1974,2024,1977,2022,46,"S2",TRUE,TRUE,"(omega_t-omega_bar)k_t",0.615102022299673,0.56475673366441,0.654881386402621,0.0901246527382109,-0.782782807150714,2.58230398786196,2.58230398786196,1145.61526804249,0.0100543463829158,3,TRUE
"Post-1973",1974,2024,1977,2022,46,"S3",FALSE,FALSE,"omega_t k_t",0.615102022299673,0.56475673366441,0.654881386402621,0.0901246527382109,-0.402971577473439,1.19386747372415,1.19386747372415,47.8824098448996,7.89912923976226,2,FALSE
"Post-1973",1974,2024,1977,2022,46,"S4",FALSE,TRUE,"(omega_t-omega_bar)k_t",0.615102022299673,0.56475673366441,0.654881386402621,0.0901246527382109,-0.782782807150714,2.58230398786196,2.58230398786196,34.7664604293971,10.8791444111548,2,FALSE
"Fordist core",1945,1973,1948,1971,24,"S1",TRUE,FALSE,"omega_t k_t",0.63045456790513,0.609475288313768,0.653676971146293,0.044201682832525,0.85545250902242,3.72854680659639,3.72854680659639,839.297010345639,0.0112042405316859,3,FALSE
"Fordist core",1945,1973,1948,1971,24,"S2",TRUE,TRUE,"(omega_t-omega_bar)k_t",0.63045456790513,0.609475288313768,0.653676971146293,0.044201682832525,0.274935123104828,1.08177028209301,1.08177028209301,709.030415194919,0.0112461093532047,3,FALSE
"Fordist core",1945,1973,1948,1971,24,"S3",FALSE,FALSE,"omega_t k_t",0.63045456790513,0.609475288313768,0.653676971146293,0.044201682832525,0.85545250902242,3.72854680659639,3.72854680659639,128.959459855379,0.473135468381997,2,FALSE
"Fordist core",1945,1973,1948,1971,24,"S4",FALSE,TRUE,"(omega_t-omega_bar)k_t",0.63045456790513,0.609475288313768,0.653676971146293,0.044201682832525,0.274935123104828,1.08177028209301,1.08177028209301,92.2670745148064,0.661290007966977,2,FALSE
"Deep comparison",1940,1978,1943,1976,34,"S1",TRUE,FALSE,"omega_t k_t",0.633256381479009,0.609475288313768,0.663415069811751,0.0539397814979831,0.886733668896387,4.67938272350879,4.67938272350881,571.992708307896,0.0342515079183635,3,FALSE
"Deep comparison",1940,1978,1943,1976,34,"S2",TRUE,TRUE,"(omega_t-omega_bar)k_t",0.633256381479009,0.609475288313768,0.663415069811751,0.0539397814979831,0.165438171290111,1.0281399736475,1.0281399736475,482.794610323947,0.0343526514564294,3,FALSE
"Deep comparison",1940,1978,1943,1976,34,"S3",FALSE,FALSE,"omega_t k_t",0.633256381479009,0.609475288313768,0.663415069811751,0.0539397814979831,0.886733668896387,4.67938272350879,4.67938272350881,118.220809373344,0.799382529851755,2,FALSE
"Deep comparison",1940,1978,1943,1976,34,"S4",FALSE,TRUE,"(omega_t-omega_bar)k_t",0.633256381479009,0.609475288313768,0.663415069811751,0.0539397814979831,0.165438171290111,1.0281399736475,1.0281399736475,84.3704633993845,1.12010348017937,2,FALSE
