"sample_name","economic_start_year","economic_end_year","regression_start_year","regression_end_year","N","spec_id","intercept_flag","centered_flag","interaction_label","omega_mean","omega_min","omega_max","omega_range","const_hat","se_const","t_const","p_const","stars_const","beta1_hat","se_beta1","t_beta1","p_beta1","stars_beta1","beta2_hat","se_beta2","t_beta2","p_beta2","stars_beta2","omega_H","threshold_status","corr_longrun_regressors","VIF_regressor_1","VIF_regressor_2","condition_number_longrun_X","smallest_eigenvalue_XtX","rank_longrun_X","near_singularity_flag"
"Full sample",1929,2024,1932,2022,91,"S1",TRUE,FALSE,"omega_t k_t",0.62328703741286,0.56475673366441,0.677734147194899,0.112977413530489,1.56554961761097,0.365057171917145,4.28850530285237,4.59539838283065e-05,"***",0.822291132613174,0.0337356661243766,24.374533752544,6.68603304184304e-41,"***",0.0428228588773475,0.0403169176488392,1.06215607180924,0.291071066623054,"",NA,"wrong-sign slope",0.800792060644387,2.78759572391899,2.78759572391899,313.556465999317,0.330178839911294,3,FALSE
"Full sample",1929,2024,1932,2022,91,"S2",TRUE,TRUE,"(omega_t-omega_bar)k_t",0.62328703741286,0.56475673366441,0.677734147194899,0.112977413530489,1.56554961761097,0.36505717191715,4.28850530285231,4.59539838283168e-05,"***",0.848982065456385,0.0187985057547789,45.1622100464321,1.16756559489164e-62,"***",0.0428228588773464,0.0403169176488469,1.06215607180901,0.291071066623158,"",NA,"wrong-sign slope",-0.440418866075565,1.24064672956043,1.24064672956043,266.882278206388,0.328994329954082,3,FALSE
"Full sample",1929,2024,1932,2022,91,"S3",FALSE,FALSE,"omega_t k_t",0.62328703741286,0.56475673366441,0.677734147194899,0.112977413530489,NA,NA,NA,NA,"",0.928391396524498,0.0282592179650333,32.8526924443999,1.5294455898227e-51,"***",0.000693830700042421,0.0481797913704334,0.0144008655975253,0.988542402106738,"",NA,"wrong-sign slope",0.800792060644387,2.78759572391899,2.78759572391899,54.4007770466354,10.9384616471198,2,FALSE
"Full sample",1929,2024,1932,2022,91,"S4",FALSE,TRUE,"(omega_t-omega_bar)k_t",0.62328703741286,0.56475673366441,0.677734147194899,0.112977413530489,NA,NA,NA,NA,"",0.928823852205994,0.00320548092871695,289.761153742934,3.40452095469799e-134,"***",0.000693830700043684,0.0481797913704513,0.0144008655975462,0.988542402106722,"",NA,"wrong-sign slope",-0.440418866075565,1.24064672956043,1.24064672956043,39.2269304183649,15.1697011963879,2,FALSE
"Pre-1974",1929,1973,1932,1971,40,"S1",TRUE,FALSE,"omega_t k_t",0.630520452774335,0.594511097780444,0.677734147194899,0.083223049414455,0.668809807733488,0.631199522777539,1.05958541411826,0.296201580794697,"",0.97705381682013,0.158643702594489,6.15879357857394,3.82804028093355e-07,"***",-0.0804631745532969,0.224045657384413,-0.359137398567114,0.721533777198084,"",-0.285176210201234,"no admissible positive threshold",0.841841566845823,3.43285434006715,3.43285434006715,461.181153476225,0.058729474473385,3,FALSE
"Pre-1974",1929,1973,1932,1971,40,"S2",TRUE,TRUE,"(omega_t-omega_bar)k_t",0.630520452774335,0.594511097780444,0.677734147194899,0.083223049414455,0.668809807733468,0.631199522778087,1.05958541411731,0.296201580795124,"",0.926320139569126,0.0435603492351511,21.2652137972675,2.43868459275796e-22,"***",-0.080463174553308,0.224045657385544,-0.359137398565351,0.721533777199392,"",-0.285176210201096,"no admissible positive threshold",0.0387682499148604,1.00150523954218,1.00150523954218,390.221437384926,0.0587652580852893,3,FALSE
"Pre-1974",1929,1973,1932,1971,40,"S3",FALSE,FALSE,"omega_t k_t",0.630520452774335,0.594511097780444,0.677734147194899,0.083223049414455,NA,NA,NA,NA,"",1.06576455642724,0.142895187013426,7.458365664388,5.94782249638778e-09,"***",-0.151260992208458,0.22677155729396,-0.667019241801919,0.508790145155832,"",0.434775387011907,"positive threshold outside observed sample range",0.841841566845823,3.43285434006715,3.43285434006715,87.6328221683104,1.62134265777559,2,FALSE
"Pre-1974",1929,1973,1932,1971,40,"S4",FALSE,TRUE,"(omega_t-omega_bar)k_t",0.630520452774335,0.594511097780444,0.677734147194899,0.083223049414455,NA,NA,NA,NA,"",0.970391407132865,0.0137254635405427,70.7000826796483,6.11210908608665e-42,"***",-0.151260992208458,0.226771557294843,-0.667019241799322,0.508790145157472,"",0.434775387011907,"positive threshold outside observed sample range",0.0387682499148604,1.00150523954218,1.00150523954218,62.6986900524473,2.26612123289657,2,FALSE
"Post-1973",1974,2024,1977,2022,46,"S1",TRUE,FALSE,"omega_t k_t",0.615102022299673,0.56475673366441,0.654881386402621,0.0901246527382109,1.15611311171485,0.294845155362071,3.9210856637449,0.000312082716391629,"***",0.839131837224927,0.0144873897146469,57.9215340895094,1.9224529551884e-42,"***",0.053148475200826,0.01786029357966,2.97578956156429,0.0047810430545968,"***",NA,"wrong-sign slope",-0.402971577473439,1.19386747372415,1.19386747372415,1342.32018468451,0.010076747831899,3,TRUE
"Post-1973",1974,2024,1977,2022,46,"S2",TRUE,TRUE,"(omega_t-omega_bar)k_t",0.615102022299673,0.56475673366441,0.654881386402621,0.0901246527382109,1.15611311171487,0.294845155362376,3.92108566374089,0.000312082716395447,"***",0.871823571803098,0.0170939448888272,51.0018943826672,4.23009586635135e-40,"***",0.0531484752008255,0.0178602935796734,2.97578956156203,0.00478104305462601,"***",NA,"wrong-sign slope",-0.782782807150714,2.58230398786196,2.58230398786196,1145.61526804249,0.0100543463829158,3,TRUE
