"year","plot_window","omega_t","theta_t_hat","gK","gYp","Y_real","Yp_hat","mu_t","mu_plot"
1940,"1940_1978",0.607110693449235,0.862497491047627,NA,NA,889189.643858432,1013418.98394192,0.877415617773147,87.7415617773147
1941,"1940_1978",0.594511097780444,0.86424885269763,0.0575315017907734,0.0497215344166476,1087303.56734269,1065081.45650911,1.02086423596785,102.086423596785
1942,"1940_1978",0.604405412159509,0.862873528979942,0.0323162847146179,0.0278848666352229,1269278.79624277,1095199.07221788,1.15894801999089,115.894801999089
1943,"1940_1978",0.621900080256822,0.860441745326672,0.0203870271464304,0.0175418492198968,1439901.30600023,1114580.3842419,1.29187748713127,129.187748713127
1944,"1940_1978",0.627959009724536,0.859599545545919,0.0320517179017177,0.0275516421422825,1456657.8663667,1145715.8512147,1.27139540298962,127.139540298962
1945,"1940_1978",0.638440192180252,0.858142646334058,0.0459414835875034,0.0394243463022928,1328216.50526316,1191787.14792525,1.11447460024671,111.447460024671
1946,"1940_1978",0.663415069811751,0.854671102957021,0.0591844484303792,0.0505832378178951,1227613.14957265,1253622.3284189,0.979252779520086,97.9252779520086
1947,"1940_1978",0.644483720777999,0.857302587296051,0.0656451509840892,0.0562777577820996,1341561.4657798,1326196.38102887,1.01158582919598,101.158582919598
1948,"1940_1978",0.624581372598025,0.860069041892191,0.0656768240492536,0.0564866031345635,1455627.9562443,1403264.88774159,1.03731517047148,103.731517047148
1949,"1940_1978",0.622946489496739,0.860296292959693,0.0513786637349281,0.0442008739483812,1419119.00614312,1466681.63546703,0.967571265519548,96.7571265519548
1950,"1940_1978",0.609475288313768,0.862168809011123,0.0475187376491775,0.0409691734447034,1592827.60541205,1528018.24581124,1.04241399589205,104.241399589205
1951,"1940_1978",0.618138626346099,0.860964592749769,0.0549333730445714,0.0472956891516905,1706080.10750383,1602023.18455928,1.06495344383744,106.495344383744
1952,"1940_1978",0.63357057934292,0.858819529418076,0.0539537971517241,0.046336574680162,1754849.68568418,1678002.16031869,1.04579703601269,104.579703601269
1953,"1940_1978",0.644071883964771,0.857359833196611,0.0563146854755132,0.0482819493458056,1856589.97575667,1761007.07097962,1.05427741112015,105.427741112015
1954,"1940_1978",0.642039314043351,0.857642363295584,0.0493567783799662,0.0423304640544506,1812883.74535809,1837151.56361667,0.98679051922597,98.679051922597
1955,"1940_1978",0.622858846487424,0.860308475462167,0.0475336644779176,0.0408936144201275,2011937.46308239,1913836.60931205,1.05125874031932,105.125874031932
1956,"1940_1978",0.635535528362412,0.858546398720281,0.0548006389367597,0.0470488912067254,2085043.84584122,2006032.34694699,1.03938695156859,103.938695156859
1957,"1940_1978",0.638957571161781,0.858070729922565,0.0540398291841058,0.0463699956728963,2109077.26451438,2101242.44484344,1.00372866048379,100.372866048379
1958,"1940_1978",0.640702916019947,0.857828124514345,0.0397428957098231,0.0340925736895268,2014899.3464191,2174114.34490947,0.926767881890317,92.6767881890317
1959,"1940_1978",0.628716570650273,0.859494243503873,0.0413177865583716,0.0355123997012421,2228896.66644862,2252709.65684953,0.989429179065083,98.9429179065083
1960,"1940_1978",0.638652100649948,0.858113190756522,0.0448716292646356,0.0385049369627202,2286634.60161342,2341141.70976075,0.976717723698623,97.6717723698623
1961,"1940_1978",0.635335355670866,0.858574223008025,0.0414720286508867,0.0356068147755016,2326128.73844189,2426004.18433921,0.958831296935901,95.8831296935901
1962,"1940_1978",0.628948763920103,0.859461968310378,0.0440295068801113,0.0378416866469158,2507040.61981073,2519567.40462714,0.995028200161102,99.5028200161102
1963,"1940_1978",0.621930029689577,0.860437582313085,0.0450151612699479,0.0387327365305475,2643039.90843313,2619071.74314935,1.00915139699647,100.915139699647
1964,"1940_1978",0.619047357779893,0.860838277792914,0.0492491540742801,0.0423955569760612,2809129.44482674,2732496.10453654,1.0280451782394,102.80451782394
1965,"1940_1978",0.61236559273945,0.861767052600756,0.0587192851397695,0.0506023452857226,3032710.39869675,2874324.99044058,1.05510351431481,105.510351431481
1966,"1940_1978",0.620003181239775,0.860705416977709,0.0648399116433946,0.0558080631878258,3239530.15083045,3039296.04341537,1.06588173858512,106.588173858512
1967,"1940_1978",0.628388720851657,0.859539815090403,0.0581353365428612,0.0499696364222692,3313586.99298466,3195027.06984696,1.03710764276666,103.710764276666
1968,"1940_1978",0.627992500156573,0.859594890328414,0.0561689758344119,0.0482825646222407,3505836.10678337,3353075.97144915,1.04555820883122,104.555820883122
1969,"1940_1978",0.641990534144692,0.857649143770613,0.0564316486097294,0.0483985551116985,3627738.03191489,3519351.29028403,1.03079736368748,103.079736368748
1970,"1940_1978",0.653676971146293,0.85602471246918,0.0489751841324857,0.0419239679151362,3559188.01921839,3670032.97855443,0.969797285205948,96.9797285205948
1971,"1940_1978",0.64098353494678,0.857789118085914,0.04285557815796,0.0367610485931785,3654849.63775222,3807457.70201016,0.959918644880186,95.9918644880186
1972,"1940_1978",0.641336309259143,0.857740081956659,0.0462009392090685,0.0396283973836611,3887808.90971532,3961370.66928521,0.981430225618558,98.1430225618558
1973,"1940_1978",0.64395880536602,0.857375551282056,0.0490012653785694,0.0420124869174693,4131343.18670208,4131343.18670208,1,100
1974,"1940_1978",0.654104621464026,0.855965268469088,0.0417096916439679,0.0357020474057918,4091901.78516684,4281505.19271009,0.95571571234666,95.571571234666
1975,"1940_1978",0.6334561606626,0.858835433776757,0.0339724996976365,0.0291767865143004,4052858.41151079,4408265.99984622,0.919377009384682,91.9377009384682
1976,"1940_1978",0.630753371060034,0.859211125361027,0.0343807733795707,0.0295403429862433,4339158.7810433,4540430.16610842,0.955671295956165,95.5671295956165
1977,"1940_1978",0.630403843120234,0.859259710239896,0.0392400239273307,0.0337173715896048,4619806.51733436,4696131.70996118,0.983747220618852,98.3747220618852
1978,"1940_1978",0.636152526475711,0.858460635108324,0.0440944278174236,0.0378533305088836,4905061.25627568,4877303.27679546,1.00569125557811,100.569125557811
