"stage_id","derived_variable_id","asset_family","variable_role","price_source_id","price_source_type","original_price_reference_year","target_reference_year","rebasing_factor","construction_method","observation_count","year_start","year_end","construction_status","authorization_source"
"S29C_FIXED_ASSETS_DEFLATOR_AND_REAL_INVESTMENT_CONSTRUCTION","P_ME_2017","ME","asset_specific_deflator","P_K_SFC_ME_2017_100","locked_s12d_s13_sfc_implicit_baseline_price","2017","2017",1,"consumed_not_reconstructed",124,1901,2024,"constructed_downstream_harmonized_price_object","S29B_deflator_price_concept_readiness_ledger"
"S29C_FIXED_ASSETS_DEFLATOR_AND_REAL_INVESTMENT_CONSTRUCTION","P_NRC_2017","NRC","asset_specific_deflator","P_K_SFC_NRC_2017_100","locked_s12d_s13_sfc_implicit_baseline_price","2017","2017",1,"consumed_not_reconstructed",124,1901,2024,"constructed_downstream_harmonized_price_object","S29B_deflator_price_concept_readiness_ledger"
