run_id,stage_tag,det_tag,source_file,r,best_BIC,best_AIC,n_cells
stage4_20260303_183218,S4_VECM_S2_m3_rank,SR_const__LR_none,output/CriticalReplication/Exercise_d_VECM_S2_m3_rank/SR_const__LR_none/csv/TAB_summary_by_rank.csv,0,-891.451938449432,-928.226861270454,49
stage4_20260303_183218,S4_VECM_S2_m3_rank,SR_const__LR_none,output/CriticalReplication/Exercise_d_VECM_S2_m3_rank/SR_const__LR_none/csv/TAB_summary_by_rank.csv,1,-856.769038971802,-907.223715002589,49
stage4_20260303_183218,S4_VECM_S2_m3_rank,SR_const__LR_none,output/CriticalReplication/Exercise_d_VECM_S2_m3_rank/SR_const__LR_none/csv/TAB_summary_by_rank.csv,2,-850.031631722892,-908.107801416977,49
stage4_20260303_183218,S4_VECM_S2_m3_rank,SR_const__LR_trend,output/CriticalReplication/Exercise_d_VECM_S2_m3_rank/SR_const__LR_trend/csv/TAB_summary_by_rank.csv,0,-891.451938449432,-928.226861270454,49
stage4_20260303_183218,S4_VECM_S2_m3_rank,SR_const__LR_trend,output/CriticalReplication/Exercise_d_VECM_S2_m3_rank/SR_const__LR_trend/csv/TAB_summary_by_rank.csv,1,-845.222788880543,-894.256019308572,49
stage4_20260303_183218,S4_VECM_S2_m3_rank,SR_const__LR_trend,output/CriticalReplication/Exercise_d_VECM_S2_m3_rank/SR_const__LR_trend/csv/TAB_summary_by_rank.csv,2,-839.847909942632,-904.059601985467,49
stage4_20260303_183218,S4_VECM_S2_m3_rank,SR_none__LR_both,output/CriticalReplication/Exercise_d_VECM_S2_m3_rank/SR_none__LR_both/csv/TAB_summary_by_rank.csv,0,-889.082033737249,-919.727802754767,49
stage4_20260303_183218,S4_VECM_S2_m3_rank,SR_none__LR_both,output/CriticalReplication/Exercise_d_VECM_S2_m3_rank/SR_none__LR_both/csv/TAB_summary_by_rank.csv,1,-839.905101878902,-884.852229771262,49
stage4_20260303_183218,S4_VECM_S2_m3_rank,SR_none__LR_both,output/CriticalReplication/Exercise_d_VECM_S2_m3_rank/SR_none__LR_both/csv/TAB_summary_by_rank.csv,2,-839.450520372832,-897.043123584933,49
stage4_20260303_183218,S4_VECM_S2_m3_rank,SR_none__LR_const,output/CriticalReplication/Exercise_d_VECM_S2_m3_rank/SR_none__LR_const/csv/TAB_summary_by_rank.csv,0,-889.082033737249,-919.727802754767,49
stage4_20260303_183218,S4_VECM_S2_m3_rank,SR_none__LR_const,output/CriticalReplication/Exercise_d_VECM_S2_m3_rank/SR_none__LR_const/csv/TAB_summary_by_rank.csv,1,-858.891724996932,-901.795801621457,49
stage4_20260303_183218,S4_VECM_S2_m3_rank,SR_none__LR_const,output/CriticalReplication/Exercise_d_VECM_S2_m3_rank/SR_none__LR_const/csv/TAB_summary_by_rank.csv,2,-847.463213512792,-901.072424305356,49
stage4_20260303_183218,S4_VECM_S2_m3_rank,SR_none__LR_none,output/CriticalReplication/Exercise_d_VECM_S2_m3_rank/SR_none__LR_none/csv/TAB_summary_by_rank.csv,0,-889.082033737249,-919.727802754767,49
stage4_20260303_183218,S4_VECM_S2_m3_rank,SR_none__LR_none,output/CriticalReplication/Exercise_d_VECM_S2_m3_rank/SR_none__LR_none/csv/TAB_summary_by_rank.csv,1,-866.948547217487,-908.050703066557,49
stage4_20260303_183218,S4_VECM_S2_m3_rank,SR_none__LR_none,output/CriticalReplication/Exercise_d_VECM_S2_m3_rank/SR_none__LR_none/csv/TAB_summary_by_rank.csv,2,-860.817636292171,-907.904948934139,49
stage4_20260303_183218,S4_VECM_S2_m3_rank,SR_none__LR_trend,output/CriticalReplication/Exercise_d_VECM_S2_m3_rank/SR_none__LR_trend/csv/TAB_summary_by_rank.csv,0,-889.082033737249,-919.727802754767,49
stage4_20260303_183218,S4_VECM_S2_m3_rank,SR_none__LR_trend,output/CriticalReplication/Exercise_d_VECM_S2_m3_rank/SR_none__LR_trend/csv/TAB_summary_by_rank.csv,1,-862.038199206516,-904.942275831041,49
stage4_20260303_183218,S4_VECM_S2_m3_rank,SR_none__LR_trend,output/CriticalReplication/Exercise_d_VECM_S2_m3_rank/SR_none__LR_trend/csv/TAB_summary_by_rank.csv,2,-850.562308022617,-901.638589718481,49
