"m","IC","p","d","h","IC_value","theta_hat","neg2logL","k_total"
2,"AIC",1,"d2","h1",-572.62,0.8999,-584.62,6
2,"BIC",1,"d0","h0",-565.69,0.8844,-574,2
2,"HQ",1,"d0","h0",-568.3,0.8844,-574,2
2,"ICOMP",1,"d0","h1",-575.35,0.9117,-579.4,4
3,"AIC",3,"d3","h0",-762.17,-0.7032,-816.17,27
3,"BIC",3,"d0","h0",-710.25,0.9513,-796.92,21
3,"HQ",3,"d3","h0",-739.62,-0.7032,-816.17,27
3,"ICOMP",3,"d0","h0",-755.8,0.9513,-796.92,21
