"window_tag","case_id","order_p","order_q","exact_test","Term","Estimate","Std..Error","t.value","Pr...t.."
"shaikh_window",2,2,4,FALSE,"(Intercept)",2.10839672722503,1.62211597655728,1.29978174045225,0.199636381229121
"shaikh_window",2,2,4,FALSE,"lnK",0.748901281994584,0.160767365371128,4.65829168914824,2.39113720910251e-05
"shaikh_window",2,2,4,FALSE,"d1956",-0.0874670377965107,0.162909798077424,-0.536904709408217,0.593714673823837
"shaikh_window",2,2,4,FALSE,"d1974",-0.0851564039253603,0.158504561222385,-0.537248917435785,0.593478688967966
"shaikh_window",2,2,4,FALSE,"d1980",-0.0675179615334052,0.185344910072328,-0.364282793129077,0.717182931133664
"shaikh_window",3,2,4,FALSE,"(Intercept)",2.10839672722503,1.62211597655728,1.29978174045225,0.199636381229121
"shaikh_window",3,2,4,FALSE,"lnK",0.748901281994584,0.160767365371128,4.65829168914824,2.39113720910251e-05
"shaikh_window",3,2,4,FALSE,"d1956",-0.0874670377965107,0.162909798077424,-0.536904709408217,0.593714673823837
"shaikh_window",3,2,4,FALSE,"d1974",-0.0851564039253603,0.158504561222385,-0.537248917435785,0.593478688967966
"shaikh_window",3,2,4,FALSE,"d1980",-0.0675179615334052,0.185344910072328,-0.364282793129077,0.717182931133664
"shaikh_window",4,2,4,FALSE,"(Intercept)",3.41423344739937,5.11334215134513,0.667710735238247,0.507451070674918
"shaikh_window",4,2,4,FALSE,"trend(lnY)",0.00706884337612188,0.0249724193745771,0.283066020560195,0.778318682175214
"shaikh_window",4,2,4,FALSE,"lnK",0.562228622690565,0.696598103867383,0.807106162892457,0.423505836550319
"shaikh_window",4,2,4,FALSE,"d1956",-0.0496978096032941,0.196000511215617,-0.253559591733015,0.800896715342863
"shaikh_window",4,2,4,FALSE,"d1974",-0.0441622687736953,0.215169066857143,-0.205244505721707,0.838231369783444
"shaikh_window",4,2,4,FALSE,"d1980",-0.0553549908335312,0.176780521961397,-0.313128336874235,0.755512127133632
"shaikh_window",5,2,4,FALSE,"(Intercept)",3.41423344739937,5.11334215134513,0.667710735238247,0.507451070674918
"shaikh_window",5,2,4,FALSE,"trend(lnY)",0.00706884337612188,0.0249724193745771,0.283066020560195,0.778318682175214
"shaikh_window",5,2,4,FALSE,"lnK",0.562228622690565,0.696598103867383,0.807106162892457,0.423505836550319
"shaikh_window",5,2,4,FALSE,"d1956",-0.0496978096032941,0.196000511215617,-0.253559591733015,0.800896715342863
"shaikh_window",5,2,4,FALSE,"d1974",-0.0441622687736953,0.215169066857143,-0.205244505721707,0.838231369783444
"shaikh_window",5,2,4,FALSE,"d1980",-0.0553549908335312,0.176780521961397,-0.313128336874235,0.755512127133632
