regime,eigenvalue_index,eigenvalue
pre_1973,1,0.405558
pre_1973,2,0.281165
pre_1973,3,0.128589
pre_1973,4,0.076448
pre_1973,5,0
post_1973,1,0.532281
post_1973,2,0.325722
post_1973,3,0.162724
post_1973,4,0.079997
post_1973,5,0
