regime,equation,term,estimate,std_error,t_value,p_value
pre_1973,m.d,ect1,-0.177937,0.053309,-3.3379,0.0017
pre_1973,m.d,m.dl1,0.226927,0.129985,1.7458,0.0875
pre_1973,m.d,k_ME.dl1,-0.706366,0.686761,-1.0285,0.3091
pre_1973,m.d,nrs.dl1,0.368553,0.189861,1.9412,0.0584
pre_1973,m.d,omega.dl1,0.880867,0.946927,0.9302,0.3571
pre_1973,k_ME.d,ect1,-0.006221,0.004094,-1.5196,0.1355
pre_1973,k_ME.d,m.dl1,0.021346,0.009982,2.1385,0.0378
pre_1973,k_ME.d,k_ME.dl1,0.864684,0.052737,16.3963,0
pre_1973,k_ME.d,nrs.dl1,0.01668,0.01458,1.1441,0.2585
pre_1973,k_ME.d,omega.dl1,0.051257,0.072715,0.7049,0.4844
pre_1973,nrs.d,ect1,0.213142,0.091193,2.3373,0.0238
pre_1973,nrs.d,m.dl1,-0.104749,0.222359,-0.4711,0.6398
pre_1973,nrs.d,k_ME.dl1,1.665333,1.17481,1.4175,0.1631
pre_1973,nrs.d,nrs.dl1,0.173756,0.324787,0.535,0.5952
pre_1973,nrs.d,omega.dl1,2.633958,1.619864,1.626,0.1108
pre_1973,omega.d,ect1,-0.06558,0.017771,-3.6903,6e-4
pre_1973,omega.d,m.dl1,0.023045,0.043331,0.5318,0.5974
pre_1973,omega.d,k_ME.dl1,-0.30147,0.228937,-1.3168,0.1944
pre_1973,omega.d,nrs.dl1,-0.108032,0.063292,-1.7069,0.0946
pre_1973,omega.d,omega.dl1,-0.859615,0.315666,-2.7232,0.0091
post_1973,m.d,ect1,-0.179647,0.055716,-3.2243,0.0024
post_1973,m.d,D1975,-0.627474,0.159067,-3.9447,3e-4
post_1973,m.d,m.dl1,-0.253307,0.138801,-1.825,0.0748
post_1973,m.d,k_ME.dl1,0.429982,0.247029,1.7406,0.0887
post_1973,m.d,nrs.dl1,1.095575,0.396061,2.7662,0.0083
post_1973,m.d,omega.dl1,0.683327,1.419286,0.4815,0.6326
post_1973,k_ME.d,ect1,-0.016227,0.009204,-1.763,0.0848
post_1973,k_ME.d,D1975,-0.028547,0.026278,-1.0864,0.2832
post_1973,k_ME.d,m.dl1,0.01212,0.02293,0.5286,0.5998
post_1973,k_ME.d,k_ME.dl1,0.919044,0.040809,22.5207,0
post_1973,k_ME.d,nrs.dl1,0.124757,0.065429,1.9068,0.0631
post_1973,k_ME.d,omega.dl1,0.078902,0.234464,0.3365,0.7381
post_1973,nrs.d,ect1,-0.018639,0.045114,-0.4131,0.6815
post_1973,nrs.d,D1975,-0.362796,0.128799,-2.8168,0.0072
post_1973,nrs.d,m.dl1,-0.092644,0.11239,-0.8243,0.4142
post_1973,nrs.d,k_ME.dl1,0.265548,0.200023,1.3276,0.1912
post_1973,nrs.d,nrs.dl1,0.3466,0.320697,1.0808,0.2857
post_1973,nrs.d,omega.dl1,0.607243,1.149219,0.5284,0.5999
post_1973,omega.d,ect1,-0.019341,0.01361,-1.421,0.1624
post_1973,omega.d,D1975,0.086617,0.038856,2.2292,0.031
post_1973,omega.d,m.dl1,-0.017654,0.033906,-0.5207,0.6052
post_1973,omega.d,k_ME.dl1,0.0608,0.060343,1.0076,0.3192
post_1973,omega.d,nrs.dl1,-0.151781,0.096748,-1.5688,0.1239
post_1973,omega.d,omega.dl1,-0.42235,0.346698,-1.2182,0.2296
