year,y,k_NR,k_ME,phi,s_ME,omega,omega_kME,k_CL,c_t,ECT_m,ECT_m_lag1,ECT_theta,theta_CL,g_Y,g_K_CL,g_Yp,g_mu,mu_CL,p_Y,P_K,p_rel,pi_t,y_p_log,ln_p_rel,ln_B,B_t,r_t,ln_r,ln_mu,ln_pi,g_r,g_B,g_pi,decomp_check
1940,15.403585026344988,17.131855963208245,16.236604532361245,0.4085048750007193,0.29002730643762237,0.6074707800874707,9.863262821245248,17.474384732665918,-0.8952514308470008,0.1209394269664461,-0.15147941115817076,0.05286169452348588,0.8935898062916159,0.05074168542210877,0.01157289435666797,0.01034142042640826,NA,0.7256513227143871,4.12723683574689e-7,4.1625758640271597e-7,0.9915102980859356,0.3925292199125293,15.724270677613012,-0.008525944706143058,-1.7586399997590492,0.1722790040586038,0.04907183912701447,-3.0144699499206675,-0.320685651268023,-0.9351442988935955,NA,NA,NA,NA
1941,15.40519050826264,17.15308073089666,16.220565022028868,0.3935623755812888,0.2824146105531333,0.6162600974278495,9.996086980810276,17.484944059644068,-0.9325157088677932,0.17469041087843973,0.1209394269664461,0.02672227555203399,0.905162019040482,0.00160548191765208,0.01055932697815009,0.00955790172725097,-0.00795241980959882,0.7199035235082456,4.309575664330651e-7,4.066205510866737e-7,1.0598519068486625,0.3837399025721505,15.733828579340262,0.05812918784342223,-1.6929862924603838,0.1839693166785658,0.050822573824236224,-2.979414656480485,-0.32863807107762183,-0.9577902929424792,0.035055293440182655,0.06565370729866538,-0.022645994048883678,2.220446049250313e-16
1942,15.43758890881989,17.162406546480355,16.19393165258882,0.3796616210484708,0.2751845925524464,0.5675648436860874,9.191106287064756,17.48424481344372,-0.9684748938915356,-0.2036082066002134,0.17469041087843973,0.02104715985791916,0.9165637043892958,0.03239840055725018,-6.992462003481137e-4,-6.409036876712068e-4,0.03303930424492141,0.7440859200841754,5.662248515998676e-7,5.483809148987689e-7,1.0325393102062874,0.4324351563139126,15.73318767565259,0.03202111796731792,-1.719036019823811,0.17923884735435258,0.05767348875124625,-2.8529576781048704,-0.2955987668327004,-0.8383228914483588,0.12645697837561443,-0.026049727363427255,0.11946740149412038,1.1102230246251565e-16
1943,15.46580754720138,17.16817019932847,16.169988688518572,0.36854903459815425,0.2692991082386546,0.6030991976573497,9.75210720417397,17.48192127909356,-0.9981815108098964,-0.12362847597380532,-0.2036082066002134,0.05192936912365198,0.9253054137412652,0.02821863838148886,-0.00232353435016108,-0.00214997891321784,0.03036861729470669,0.767029398198357,7.014720372603225e-7,6.86048862843749e-7,1.0224811602378332,0.39690080234265035,15.731037696739373,0.02223218356980061,-1.7286513987843857,0.17752365722898447,0.05404434066149995,-2.9179504459941072,-0.26523014953799373,-0.9240688976717282,-0.0649927678892368,-0.009615378960574628,-0.08574600622336936,-4.996003610813204e-16
1944,15.484557595714834,17.179459854181655,16.140084338748856,0.35367547788751724,0.26127050660579837,0.6254367210587357,10.094601426438537,17.482283323347605,-1.0393755154327984,0.06679736601977737,-0.12362847597380532,0.05922770104121433,0.9374252983539896,0.01875004851345529,3.620442540466229e-4,3.3938944286700305e-4,0.018410659070588253,0.7812817095998458,7.290678576445457e-7,8.279905830206795e-7,0.8805267506603235,0.3745632789412643,15.73137708618224,-0.12723497029178998,-1.8781412074571553,0.15287400287876188,0.04473696242859166,-3.1069552190875482,-0.24681949046740548,-0.9819945211629872,-0.189004773093441,-0.14948980867276962,-0.05792562349125907,5.551115123125783e-16
1945,15.567324070535784,17.20219235643141,16.12072301022605,0.3390969086581734,0.25322805725685765,0.6044555633395453,9.74426070858696,17.494187794426118,-1.0814693462053595,-0.01128471534838659,0.06679736601977737,0.09909195349459664,0.9498607819280456,0.08276647482095001,0.01190447107851255,0.01130759020707574,0.07145888461387434,0.8391543622272308,8.290812509467699e-7,8.272707217824021e-7,1.0021885570426896,0.3955444366604547,15.742684676389315,0.0021861656402365685,-1.7493169523965664,0.1738926798727561,0.057718952067862005,-2.852169700683725,-0.17536060585353114,-0.9274921424336278,0.254785518403823,0.12882425506058892,0.05450237872935948,-2.7755575615628914e-16
1946,15.649521142658346,17.221746418301567,16.131826352509357,0.3362433699799561,0.2516333308243092,0.5719435501825137,9.226494034982034,17.511608639984978,-1.08992006579221,-0.14324879569574378,-0.01128471534838659,0.1436429779168149,0.9525109721658724,0.08219707212256111,0.01742084555885981,0.01659354653922107,0.06560352558333994,0.8960517775163523,9.738731882834543e-7,9.587539743652107e-7,1.0157696492765562,0.42805644981748625,15.759278222928536,0.01564660029771481,-1.7366838167587266,0.17610342460091064,0.0675463603383309,-2.6949410970293255,-0.1097570802701912,-0.8485002000004077,0.15722860365439972,0.012633135637839743,0.07899194243322005,0
1947,15.535723871028182,17.25390866935282,16.182697771039777,0.3425934203544924,0.25517287300874425,0.6818860563830722,11.034755964733446,17.548511801188884,-1.0712108983130442,0.698925468909203,-0.14324879569574378,0.04279093282950264,0.9463745894730616,-0.11379727163016362,0.03690316120390591,0.03492421403460467,-0.14872148566476834,0.7722255828051663,1.2425054014417376e-6,1.0938113169628806e-6,1.1359412562047053,0.3181139436169278,15.794202436963142,0.12746160787448793,-1.6268477563512542,0.1965481663470236,0.048283182401251415,-3.030671969406261,-0.25847856593495955,-1.1453456471200472,-0.33573087237693544,0.1098360604074724,-0.29684544711963945,5.551115123125783e-17
1948,15.689274583530272,17.276063671404287,16.22382051587987,0.34915366405717035,0.2587945860868041,0.5947289826246759,9.648776269694578,17.575541151747718,-1.052243155524419,-0.06555591629071955,0.698925468909203,0.13793356873610652,0.9414176736591966,0.1535507125020903,0.02702935055883415,0.02544590832361655,0.1281048041784738,0.8777672937563198,1.4112576125052055e-6,1.3717173163136756e-6,1.0288253969832426,0.4052710173753241,15.819648345286758,0.028417760222225343,-1.7274750462387343,0.17773261051234665,0.06322546922352192,-2.761048064966547,-0.13037376175648574,-0.9031992569713272,0.26962390443971396,-0.10062728988748004,0.24214639014871997,-2.220446049250313e-16
1949,15.667443486609544,17.308681083601435,16.28336274489037,0.35868226477982357,0.2639927480307167,0.5904415851407467,9.61437451051485,17.615196390684105,-1.0253183387110667,-0.01876963641118223,-0.06555591629071955,0.08207381705857131,0.9335029293964264,-0.02183109692072804,0.03965523893638689,0.0370182817130324,-0.05884937863376047,0.8276018146974777,1.6870213544282428e-6,1.5021605127884442e-6,1.1230633078595864,0.40955841485925326,15.85666662699979,0.11606004804054375,-1.6424697156437713,0.19350155784933143,0.06558760213961058,-2.7243685926675183,-0.1892231403902462,-0.892675736633501,0.03667947229902868,0.08500533059496296,0.01052352033782622,2.7755575615628914e-17
