regime,variable,alpha
pre_1973,m,-0.177937
pre_1973,k_ME,-0.006221
pre_1973,nrs,0.213142
pre_1973,omega,-0.06558
post_1973,m,-0.179647
post_1973,k_ME,-0.016227
post_1973,nrs,-0.018639
post_1973,omega,-0.019341
