gamma,ssr
-0.7038030284009977,93.41266266790872
-0.70270001835625,93.41266266790872
-0.7015970083115021,93.41266266790872
-0.6997605308919527,93.38976856168574
-0.6879698533858105,93.38976856168574
-0.6761791758796685,93.38976856168574
-0.6643884983735266,93.38976856168574
-0.656921071319075,93.57852838851818
-0.6558206131116583,93.57852838851818
-0.6547201549042416,93.57852838851818
-0.6536196966968251,93.57852838851818
-0.6470280863150503,93.44635810280813
-0.6385091178853222,93.44635810280813
-0.6299901494555941,93.44635810280813
-0.6214502749859755,93.6752972967857
-0.6126561560957544,93.6752972967857
-0.6038620372055333,93.6752972967857
-0.5950679183153121,93.6752972967857
-0.5897349874547841,93.64505590628426
-0.589346610922389,93.64505590628426
-0.588958234389994,93.64505590628426
-0.5885698578575989,93.64505590628426
-0.5866004281054817,93.63202937703363
-0.584097068905393,93.63202937703363
-0.5815937097053042,93.63202937703363
-0.5790270547339703,92.46799550349559
-0.5757641462789393,92.46799550349559
-0.5725012378239085,92.46799550349559
-0.5692383293688775,92.46799550349559
-0.5673292313118387,92.15601063881309
-0.5672964669642975,92.15601063881309
-0.5672637026167562,92.15601063881309
-0.567230938269215,92.15601063881309
-0.5582424050190764,92.15645611241088
-0.5463461545927701,92.15645611241088
-0.5344499041664637,92.15645611241088
-0.5228593506001873,90.31049113834786
-0.5143340277115078,90.31049113834786
-0.5058087048228286,90.31049113834786
-0.49728338193414917,90.31049113834786
-0.4918678282997004,92.2484332734906
-0.4906343781450788,92.2484332734906
-0.4894009279904573,92.2484332734906
-0.4881674778358357,92.2484332734906
-0.48667436622062166,92.2479667565416
-0.48510026694728065,92.2479667565416
-0.48352616767393963,92.2479667565416
-0.48178614610592385,91.76081049024263
-0.4785196394269,91.76081049024263
-0.4752531327478762,91.76081049024263
-0.47198662606885233,91.76081049024263
-0.4700737423051241,91.94469948175963
-0.46992745115966283,91.94469948175963
-0.46978116001420167,91.94469948175963
-0.4696348688687404,91.94469948175963
-0.46531176017593434,91.64007686234986
-0.45973826661226713,91.64007686234986
-0.4541647730485998,91.64007686234986
-0.44911985986102054,91.53156424156593
-0.44856173358674484,91.53156424156593
-0.448003607312469,91.53156424156593
-0.44744548103819337,91.53156424156593
-0.4434764966029823,92.1380028252806
-0.4351870918305869,92.1380028252806
-0.42689768705819153,92.1380028252806
-0.418608282285796,92.1380028252806
-0.41111006540692124,88.21173492453048
-0.40383897186656503,88.21173492453048
-0.39656787832620893,88.21173492453048
-0.3898891443775007,88.17232070464223
-0.3878720228674135,88.17232070464223
-0.3858549013573262,88.17232070464223
-0.38383777984723894,88.17232070464223
-0.38181770745008176,86.99416315365605
-0.37979400691308424,86.99416315365605
-0.3777703063760868,86.99416315365605
-0.3757466058390893,86.99416315365605
-0.3726290766787471,86.59385611406341
-0.3692107446469851,86.59385611406341
-0.365792412615223,86.59385611406341
-0.3611173822214204,86.66015238874756
-0.3472351128077705,86.66015238874756
-0.3333528433941205,86.66015238874756
-0.3194705739804706,86.66015238874756
-0.31053837219248914,87.13230300952601
-0.30751431563514386,87.13230300952601
-0.30449025907779864,87.13230300952601
-0.3014662025204533,87.13230300952601
-0.2927624940068712,87.02602388532605
-0.2825641402416479,87.02602388532605
-0.2723657864764246,87.02602388532605
-0.26305996536476794,87.06947475632788
-0.2598645601121426,87.06947475632788
-0.25666915485951725,87.06947475632788
-0.25347374960689184,87.06947475632788
-0.2515898637529633,86.8807305861246
-0.2512256749800643,86.8807305861246
-0.2508614862071653,86.8807305861246
-0.25049729743426624,86.8807305861246
-0.24821261810289716,86.90239312623322
-0.24544487059424427,86.90239312623322
-0.24267712308559133,86.90239312623322
-0.24021340758433568,86.03857948685932
-0.2397010247851026,86.03857948685932
-0.23918864198586956,86.03857948685932
-0.2386762591866365,86.03857948685932
-0.23815148709418066,86.11889772218291
-0.23761277704684922,86.11889772218291
-0.23707406699951777,86.11889772218291
-0.23653535695218633,86.11889772218291
-0.23180385126616446,85.98688103333616
-0.22606556486446905,85.98688103333616
-0.22032727846277378,85.98688103333616
-0.21494707113395198,87.11599131366096
-0.21172768579660656,87.11599131366096
-0.20850830045926122,87.11599131366096
-0.20528891512191572,87.11599131366096
-0.19680879849907704,87.02807628613084
-0.1825823446259313,87.02807628613084
-0.16835589075278515,87.02807628613084
-0.15412943687963943,87.02807628613084
-0.14965160892838755,86.96020550027158
-0.14740539413997944,86.96020550027158
-0.14515917935157127,86.96020550027158
-0.1431716094881068,85.26938906925875
-0.14265534764030535,85.26938906925875
-0.14213908579250392,85.26938906925875
-0.1416228239447025,85.26938906925875
-0.13936038270041237,80.91628597756375
-0.1352459330053011,80.91628597756375
-0.1311314833101895,80.91628597756375
-0.12701703361507824,80.91628597756375
-0.125686520698508,81.17510349733178
-0.12496265669188844,81.17510349733178
-0.12423879268526886,81.17510349733178
-0.12355555288328114,81.0465852604684
-0.12309066818118965,81.0465852604684
-0.12262578347909814,81.0465852604684
-0.12216089877700664,81.0465852604684
-0.12101619471794528,81.26398861046205
-0.11917137818678089,81.26398861046205
-0.11732656165561647,81.26398861046205
-0.11548174512445207,81.26398861046205
-0.11467651531571288,81.19024078921746
-0.11408658453232803,81.19024078921746
-0.1134966537489432,81.19024078921746
-0.11291960664951159,82.68177602977407
-0.11240813173258835,82.68177602977407
-0.11189665681566505,82.68177602977407
-0.11138518189874178,82.68177602977407
-0.11070372463073924,82.84264785520973
-0.10985228501165747,82.84264785520973
-0.10900084539257568,82.84264785520973
-0.10814940577349388,82.84264785520973
-0.1062015111368357,82.88107034788787
-0.1040381839893927,82.88107034788787
-0.10187485684194976,82.88107034788787
-0.09985490574039889,87.2277592597419
-0.09852725611758449,87.2277592597419
-0.09719960649477008,87.2277592597419
-0.09587195687195571,87.2277592597419
-0.09443656281912952,87.03583271175127
-0.09289654736324837,87.03583271175127
-0.09135653190736731,87.03583271175127
-0.08981651645148622,87.03583271175127
-0.08404815876851368,87.15591694747482
-0.07749313276422157,87.15591694747482
-0.07093810675992962,87.15591694747482
-0.06459735159008498,87.27012236688171
-0.05923989408516961,87.27012236688171
-0.0538824365802541,87.27012236688171
-0.048524979075338454,87.27012236688171
-0.04364918526754118,87.3958489469443
-0.0392275315170265,87.3958489469443
-0.034805877766511936,87.3958489469443
-0.030384224015997153,87.3958489469443
-0.029693086434993722,88.42194119247465
-0.029657745644595862,88.42194119247465
-0.029622404854198,88.42194119247465
-0.02904339643895139,87.75994218952398
-0.02608941892568151,87.75994218952398
-0.02313544141241178,87.75994218952398
-0.02018146389914198,87.75994218952398
-0.01770322290858993,87.8931502907364
-0.015660515354328643,87.8931502907364
-0.013617807800067296,87.8931502907364
-0.011575100245806057,87.8931502907364
-0.008664076801650234,88.16282319739113
-0.00560916101002627,88.16282319739113
-0.002554245218402227,88.16282319739113
4.4424764277649993e-4,88.34574072052509
0.003207763996150944,88.34574072052509
0.005971280349525316,88.34574072052509
0.00873479670289976,88.34574072052509
0.01286420662681698,88.24740393916052
0.018207744168995187,88.24740393916052
0.023551281711173117,88.24740393916052
0.028894819253351047,88.24740393916052
0.031316395983539275,88.14943285396602
0.03328270969769542,88.14943285396602
0.035249023411851474,88.14943285396602
0.036839256674238825,88.24491101143859
0.036934340823497336,88.24491101143859
0.03702942497275585,88.24491101143859
0.03712450912201437,88.24491101143859
0.03938014145602078,88.40002640787087
0.04350035647001513,88.40002640787087
0.04762057148400948,88.40002640787087
0.051740786498004045,88.40002640787087
0.05572624481859441,88.18700197537221
0.05969201957722714,88.18700197537221
0.06365779433585987,88.18700197537221
0.06769241058008647,88.26509919022473
0.0719886244695697,88.26509919022473
0.07628483835905295,88.26509919022473
0.08058105224853618,88.26509919022473
0.08323499891094331,87.73311491152636
0.08451299195066533,87.73311491152636
0.08579098499038745,87.73311491152636
0.08706897803010948,87.73311491152636
0.08807422687842073,87.25043143710656
0.0890422488036704,87.25043143710656
0.09001027072892012,87.25043143710656
0.09105316932594743,87.70807292211316
0.09236834672943905,87.70807292211316
0.09368352413293067,87.70807292211316
0.0949987015364223,87.70807292211316
0.09622776361879161,87.63261783346294
0.09738678523998143,87.63261783346294
0.09854580686117126,87.63261783346294
0.09970482848236109,87.63261783346294
0.10019065170010193,87.66943957107355
0.10059093036933822,87.66943957107355
0.10099120903857452,87.66943957107355
0.10249751873426868,87.83279308919109
0.10785670574190999,87.83279308919109
0.11321589274955157,87.83279308919109
0.11857507975719286,87.83279308919109
0.12202956790318092,87.8150263987363
0.12398034642154851,87.8150263987363
0.1259311249399161,87.8150263987363
0.12788190345828365,87.8150263987363
0.1288260993755207,87.66172940491678
0.12965171158906294,87.66172940491678
0.13047732380260518,87.66172940491678
0.13215946275714133,87.6941468768501
0.13670276550606106,87.6941468768501
0.14124606825498082,87.6941468768501
0.14578937100390055,87.6941468768501
0.15000820581336644,88.05609771881082
0.15397842233156311,88.05609771881082
0.1579486388497596,88.05609771881082
0.16191885536795586,88.05609771881082
0.16243626020766,88.06971738158668
0.16257835943013674,88.06971738158668
0.16272045865261342,88.06971738158668
0.16359839236144563,88.40168459020245
0.16683554798013922,88.40168459020245
0.17007270359883278,88.40168459020245
0.17330985921752634,88.40168459020245
0.1749298218145669,88.49511679798871
0.17534725626730147,88.49511679798871
0.17576469072003598,88.49511679798871
0.17618212517277052,88.49511679798871
0.17639833330467142,89.19015361535442
0.17659447304338946,89.19015361535442
0.1767906127821075,89.19015361535442
0.177136226035185,91.47267420380689
0.17794221771248975,91.47267420380689
0.17874820938979447,91.47267420380689
0.17955420106709913,91.47267420380689
0.18269611783745454,91.47267420380689
0.1875234489154544,91.47267420380689
0.19235077999345374,91.47267420380689
0.1971781110714533,91.47267420380689
0.20394986914084806,91.21096440010452
0.21089839330036964,91.21096440010452
0.21784691745989118,91.21096440010452
0.22684760205304236,91.28651643855764
0.24192507239626102,91.28651643855764
0.25700254273947964,91.28651643855764
0.27208001308269747,91.28651643855764
0.2886677515171263,91.45207428480292
0.3063126776154007,91.45207428480292
0.3239576037136741,91.45207428480292
0.34160252981194855,91.45207428480292
0.343134614865411,91.53545980428478
0.34334177134489685,91.53545980428478
0.34354892782438273,91.53545980428478
0.3439082127625975,93.45346631635891
0.34470092029077554,93.45346631635891
0.3454936278189536,93.45346631635891
0.34628633534713166,93.45346631635891
0.34717313296106445,93.43052832335506
0.34812381890483063,93.43052832335506
