regime,test,statistic,df,p_value,decision
pre_1973,Portmanteau,114.17237526086332,132,0.8663673596772472,OK
pre_1973,ARCH-LM,460,500,0.8995658014329261,OK
pre_1973,Jarque-Bera,52.939880775141404,8,1.1077397998882077e-8,FAIL
pre_1973,CUSUM (m eq.),0.8718118906938376,NA,0.43280279234339525,OK
post_1973,Portmanteau,129.98039177546204,132,0.5334082193928092,OK
post_1973,ARCH-LM,450,500,0.9469403127719419,OK
post_1973,Jarque-Bera,16.79101777003284,8,0.03236027239115624,FAIL
post_1973,CUSUM (m eq.),0.7120086777716146,NA,0.6911625469629114,OK
