year,y,k_NR,k_ME,m,nrs,omega,omega_kME,phi,p_Y,p_M,tot,pcu,rer,ner,D1973,D1975,D7375,D1982,Y_real,M_real,K_NR_gross,K_ME_gross,GOS,I_total,NRS,pi,in_sample,current_account_gdp,k_CL,c_t,omega_mean_est,omega_t_centered,omega_c,q_bop_lag1,regime_idx,alpha_est,A_est,B_est,C_est,phi_est,theta1_est,theta2_est,theta3_est,theta_t,g_k_CL,g_Yp,y_p_un,y_p_anchored,log_mu,mu_CL
1920,14.919018608891568,16.301515393849833,16.312234155005797,13.150145780431751,13.823291103253414,0.516925820551757,8.432215025608768,1.010776412877209,NA,NA,4.89953807441524,-0.09666085681619488,4.321003430857112,-12.069795027237626,0,0,0,0,3014723.29825359,514085.9664892925,12013185.471896503,12142644.518512148,1456334.9835673536,448524.0911811186,1007810.892386235,0.483074179448243,FALSE,0.04029187183490979,17.0000363163991,0.010718761155963819,0.5646080114850325,-0.047682190933275526,-5.110940160068439e-4,NA,1,-11.03431548097729,1.513793865770041,0.3105406750650733,4.190111546131496,2.392849207889218,1.2032531907049675,1.8243345408351144,8.380223092262993,1.427134053569208,NA,NA,14.919018608891568,14.811889360624535,0.1071292482670323,1.1130781085992856
1921,14.839404778330278,16.325163400466735,16.358109752286552,13.153796371710314,13.123399343829355,0.6558033235305708,10.727702742227365,1.0334950926230655,NA,NA,4.946751655342364,0.0382756433259472,4.2981352631761895,-11.63622368131472,0,0,0,0,2784015.250498198,515966.1139719593,12300659.053182209,12712670.767493296,958248.7964616852,457730.5448498864,500518.2516117987,0.3441966764694292,FALSE,-0.03547970886637969,17.03491943356271,0.032946351819816755,0.5646080114850325,0.09119531204553832,0.0030045528349702784,0.04029187183490979,2,-4.354628329303741,1.1272916576736338,-0.11367431859622405,-0.01054620649600645,-0.20466316514216137,1.240965976269858,1.0136173390774097,-0.0210924129920129,1.0040143174441198,0.034883117163609256,0.03502314906934441,14.954041757960912,14.84691250969388,-0.007507731363601167,0.9925203812535258
1922,14.843507335284436,16.34639217079428,16.39613178552932,13.118141197312973,13.06731798123307,0.6898369608309547,11.310657720313362,1.0509973965083028,NA,NA,4.996151279881536,0.11670245203613906,4.215632678828896,-11.686089083979418,0,0,0,0,2795460.292540422,497893.3603897853,12564578.348724836,13205339.132734394,867048.4602107258,393827.3691472939,473221.0910634319,0.3101630391690453,FALSE,-0.06349588031656438,17.064718380506978,0.04973961473503863,0.5646080114850325,0.1252289493459222,0.006228839694139838,-0.03547970886637969,2,-4.354628329303741,1.1272916576736338,-0.11367431859622405,-0.01054620649600645,-0.20466316514216137,1.240965976269858,1.0136173390774097,-0.0210924129920129,0.9992470662229106,0.029798946944268323,0.029776510310592287,14.983818268271504,14.876689020004472,-0.03318168472003613,0.9673627885846453
1923,14.976602494521469,16.38998782623646,16.414169494034898,13.463132693635474,13.518294364326714,0.6010173223079679,9.865200197213989,1.0244764153610786,NA,NA,5.137829440580456,0.16063946267688656,4.209454834473255,-11.710157634499938,0,0,0,0,3193418.3832870666,703014.4277064471,13124454.79612683,13445694.40310453,1274118.617554834,531235.2292172217,742883.3883376122,0.3989826776920321,FALSE,-0.02372403925701392,17.095298933046966,0.024181667798437445,0.5646080114850325,0.036409310822935415,8.804378590902773e-4,-0.06349588031656438,1,-11.03431548097729,1.513793865770041,0.3105406750650733,4.190111546131496,2.392849207889218,1.2032531907049675,1.8243345408351144,8.380223092262993,2.152122731773958,0.030580552539987593,0.06581310227151516,15.049631370543018,14.942502122275986,0.0341003722454829,1.0346884555199183
1924,15.070641955375889,16.42743408252184,16.44023660626331,13.568689755919696,14.000318975647382,0.5216991909156851,8.576858135949996,1.0128848269029,NA,NA,5.116266615638314,0.08390874270690375,4.277707328244302,-11.586572005138526,0,0,0,0,3508299.325508568,781280.6848892624,13625234.134124191,13800792.917453868,1678022.4059007042,475034.45906957175,1202987.9468311323,0.4783008090843149,FALSE,-0.00482108650278966,17.12700301288937,0.012802523741466842,0.5646080114850325,-0.04290882056934742,-5.49341194057411e-4,-0.02372403925701392,2,-4.354628329303741,1.1272916576736338,-0.11367431859622405,-0.01054620649600645,-0.20466316514216137,1.240965976269858,1.0136173390774097,-0.0210924129920129,1.011604703224885,0.031704079842405974,0.03207199627999515,15.081703366823014,14.974574118555982,0.09606783681990727,1.100833738521177
1925,15.11185025319953,16.491493957518355,16.44614028141648,13.77889967844991,14.113164386550649,0.4717264513305704,7.758079393037344,0.9556594281545984,NA,NA,5.315182647674671,0.1045182406691085,4.1642263183987716,-11.669579275015606,0,0,0,0,3655890.473888711,964051.1944416926,14526628.297515728,13882509.291818287,1931310.234187952,584614.7144998771,1346695.5196880747,0.5282735486694295,FALSE,-0.03859489306682914,17.162221397485567,-0.04535367610187535,0.5646080114850325,-0.09288156015446208,0.004212520195082325,-0.00482108650278966,2,-4.354628329303741,1.1272916576736338,-0.11367431859622405,-0.01054620649600645,-0.20466316514216137,1.240965976269858,1.0136173390774097,-0.0210924129920129,1.0255703364379498,0.03521838459619531,0.03611893053912113,15.117822297362135,15.010693049095103,0.10115720410442641,1.1064505666626356
1926,15.10441865062548,16.550444975055118,16.45051797695162,14.076567161151198,13.557120026966023,0.5617975851274443,9.24186127354703,0.9049034752946246,NA,NA,5.47862008663077,0.11779913858631208,4.092504105419436,-11.717492630711504,0,0,0,0,3628822.054280333,1298301.151336656,15408732.85326429,13943415.908805313,1590158.5873284305,817865.0187004358,772293.5686279945,0.4382024148725557,FALSE,-0.07736350557972602,17.194876313213378,-0.09992699810349848,0.5646080114850325,-0.002810426357588214,2.808374693047396e-4,-0.03859489306682914,2,-4.354628329303741,1.1272916576736338,-0.11367431859622405,-0.01054620649600645,-0.20466316514216137,1.240965976269858,1.0136173390774097,-0.0210924129920129,1.0352910458485014,0.032654915727810874,0.03380734185594,15.151629639218076,15.044500390951043,0.059918259674436314,1.0617497552275732
1927,15.126200655904482,16.607324948776046,16.45265654397456,13.713753931386996,13.815283314198457,0.5875910751460215,9.667434147682238,0.8566992077333336,NA,NA,5.22118738612752,0.09195825681205914,4.0669919897800755,-11.702876048928674,0,0,0,0,3708732.217763216,903249.351807356,16310586.74941087,13973266.745886102,1529514.266499039,529741.4844469493,999772.7820520896,0.4124089248539785,FALSE,-0.04020914796012549,17.226125240500362,-0.15466840480148747,0.5646080114850325,0.02298306366098901,-0.003554753793896205,-0.07736350557972602,1,-11.03431548097729,1.513793865770041,0.3105406750650733,4.190111546131496,2.392849207889218,1.2032531907049675,1.8243345408351144,8.380223092262993,1.9003361008511852,0.031248927286984696,0.0593834646363307,15.211013103854405,15.103883855587373,0.022316800317108587,1.022567682928379
1928,15.24250149063399,16.657359614217214,16.4491733785811,13.782158418012544,14.418829053537602,0.436008684898591,7.171982452464059,0.8120557889021027,NA,NA,5.14559622487506,0.20438092276194592,4.067672374393523,-11.708940348896183,0,0,0,0,4166144.103727921,967197.9105889422,17147442.827957127,13924680.213310428,2349669.091963491,521493.5543302168,1828175.5376332744,0.563991315101409,FALSE,-0.04382133851819116,17.251821609941363,-0.20818623563611283,0.5646080114850325,-0.12859932658644146,0.026772609707370332,-0.04020914796012549,2,-4.354628329303741,1.1272916576736338,-0.11367431859622405,-0.01054620649600645,-0.20466316514216137,1.240965976269858,1.0136173390774097,-0.0210924129920129,1.0585488763912227,0.0256963694410004,0.027200862999104725,15.23821396685351,15.131084718586477,0.11141677204751232,1.1178607028763063
1929,15.287810164196271,16.7310992794604,16.465747337820602,14.033152381513403,13.86571602737092,0.5614619056398236,9.244889878076608,0.766935985764371,NA,NA,5.223439651533227,0.4338138964138312,3.975692972659999,-11.705297357617685,0,0,0,0,4359248.177905941,1243141.7237774336,18459676.8129285,14157390.433415024,1911696.388781943,860209.2661648899,1051487.1226170529,0.4385380943601764,FALSE,-0.05712751147951719,17.300346244504127,-0.26535194163979625,0.5646080114850325,-0.003146105845208913,8.348252946304974e-4,-0.04382133851819116,2,-4.354628329303741,1.1272916576736338,-0.11367431859622405,-0.01054620649600645,-0.20466316514216137,1.240965976269858,1.0136173390774097,-0.0210924129920129,1.0666550181698002,0.04852463456276368,0.05175904496122761,15.289973011814737,15.182843763547705,0.104966400648566,1.1106732918265092
