year,y,k_NR,k_ME,m,nrs,omega,omega_kME,phi,p_Y,p_M,tot,pcu,rer,ner,D1973,D1975,D7375,D1982,Y_real,M_real,K_NR_gross,K_ME_gross,GOS,I_total,NRS,pi,in_sample,current_account_gdp,k_CL,c_t,s_t,omega_mean_est,omega_t_centered,i_NR,i_ME,g_k_ME,g_k_NR,g_K_consistent,w_g,mu_spec3,mu_spec4,theta_NRC_spec3,theta_ME_spec3,theta_overall_spec3,theta_NRC_spec4,theta_ME_spec4,theta_overall_spec4
1920,14.919018608891568,16.301515393849833,16.312234155005797,13.150145780431751,13.823291103253414,0.516925820551757,8.432215025608768,1.010776412877209,NA,NA,4.89953807441524,-0.09666085681619488,4.321003430857112,-12.069795027237626,0,0,0,0,3014723.29825359,514085.9664892925,12013185.471896503,12142644.518512148,1456334.9835673536,448524.0911811186,1007810.892386235,0.483074179448243,FALSE,0.04029187183490979,17.0000363163991,0.010718761155963819,0.5026796646330731,0.5646080114850325,-0.047682190933275526,-1.9501563051116833,-1.2920974518269013,NA,NA,NA,0.5026796646330731,0.002018157900778461,0.001681458365293406,0.8739390331311979,0.2170918407799575,0.5437553067649007,0.826736974808246,0.27471368595114765,0.5492460930959138
1921,14.839404778330278,16.325163400466735,16.358109752286552,13.153796371710314,13.123399343829355,0.6558033235305708,10.727702742227365,1.0334950926230655,NA,NA,4.946751655342364,0.0382756433259472,4.2981352631761895,-11.63622368131472,0,0,0,0,2784015.250498198,515966.1139719593,12300659.053182209,12712670.767493296,958248.7964616852,457730.5448498864,500518.2516117987,0.3441966764694292,FALSE,-0.03547970886637969,17.03491943356271,0.032946351819816755,0.5082358429938131,0.5646080114850325,0.09119531204553832,-1.926508298494781,-1.246221854546146,0.04587559728075519,0.02364800661690225,0.034944864895666956,0.6672117041070704,0.0018504601628344301,0.0015469558322323432,0.8750205611355987,0.2160103127755567,0.4353212103032713,0.8360726438718847,0.26537801688750895,0.4552985092768905
1922,14.843507335284436,16.34639217079428,16.39613178552932,13.118141197312973,13.06731798123307,0.6898369608309547,11.310657720313362,1.0509973965083028,NA,NA,4.996151279881536,0.11670245203613906,4.215632678828896,-11.686089083979418,0,0,0,0,2795460.292540422,497893.3603897853,12564578.348724836,13205339.132734394,867048.4602107258,393827.3691472939,473221.0910634319,0.3101630391690453,FALSE,-0.06349588031656438,17.064718380506978,0.04973961473503863,0.5124323406248883,0.5646080114850325,0.1252289493459222,-1.9052795281672346,-1.2081998213033778,0.038022033242768316,0.021228770327546442,0.02983418134992272,0.6530670059749955,0.0018194038529114735,0.0015212764470025316,0.8752856028525253,0.21574527105863012,0.44456157304813104,0.8384354377103159,0.26301522304907776,0.462647480944012
1923,14.976602494521469,16.38998782623646,16.414169494034898,13.463132693635474,13.518294364326714,0.6010173223079679,9.865200197213989,1.0244764153610786,NA,NA,5.137829440580456,0.16063946267688656,4.209454834473255,-11.710157634499938,0,0,0,0,3193418.3832870666,703014.4277064471,13124454.79612683,13445694.40310453,1274118.617554834,531235.2292172217,742883.3883376122,0.3989826776920321,FALSE,-0.02372403925701392,17.095298933046966,0.024181667798437445,0.506045122377164,0.5646080114850325,0.036409310822935415,-1.861683872725056,-1.1901621127978004,0.0180377085055774,0.04359565544217858,0.03066218105693717,0.2976922741131419,0.0019631245142089117,0.0016376180269959296,0.8745939074782355,0.21643696643291993,0.6786656709751064,0.8323824157614539,0.26906824499793985,0.6646881392267047
1924,15.070641955375889,16.42743408252184,16.44023660626331,13.568689755919696,14.000318975647382,0.5216991909156851,8.576858135949996,1.0128848269029,NA,NA,5.116266615638314,0.08390874270690375,4.277707328244302,-11.586572005138526,0,0,0,0,3508299.325508568,781280.6848892624,13625234.134124191,13800792.917453868,1678022.4059007042,475034.45906957175,1202987.9468311323,0.4783008090843149,FALSE,-0.00482108650278966,17.12700301288937,0.012802523741466842,0.5032005872195683,0.5646080114850325,-0.04290882056934742,-1.8242376164396745,-1.1640950005693895,0.02606711222841085,0.03744625628538145,0.031720264313857785,0.4135207087389952,0.002047831780291536,0.0017040174983219477,0.8739762064214229,0.21705466748973243,0.6023255460564789,0.827059000651582,0.2743916601078117,0.5985196102930265
1925,15.11185025319953,16.491493957518355,16.44614028141648,13.77889967844991,14.113164386550649,0.4717264513305704,7.758079393037344,0.9556594281545984,NA,NA,5.315182647674671,0.1045182406691085,4.1642263183987716,-11.669579275015606,0,0,0,0,3655890.473888711,964051.1944416926,14526628.297515728,13882509.291818287,1931310.234187952,584614.7144998771,1346695.5196880747,0.5282735486694295,FALSE,-0.03859489306682914,17.162221397485567,-0.04535367610187535,0.48866352412719416,0.5646080114850325,-0.09288156015446208,-1.7601777414431616,-1.1581913254162188,0.0059036751531706955,0.06405987499651289,0.035641061431219916,0.08094345650221003,0.0019983062241503108,0.0016646889822739906,0.8735870367131645,0.2174438371979909,0.8204765381839871,0.8238543246284373,0.2775963361309563,0.7796383148975068
1926,15.10441865062548,16.550444975055118,16.45051797695162,14.076567161151198,13.557120026966023,0.5617975851274443,9.24186127354703,0.9049034752946246,NA,NA,5.47862008663077,0.11779913858631208,4.092504105419436,-11.717492630711504,0,0,0,0,3628822.054280333,1298301.151336656,15408732.85326429,13943415.908805313,1590158.5873284305,817865.0187004358,772293.5686279945,0.4382024148725557,FALSE,-0.07736350557972602,17.194876313213378,-0.09992699810349848,0.47503901747812527,0.5646080114850325,-0.002810426357588214,-1.701226723906398,-1.1538136298810784,0.004377695535140447,0.05895101753676357,0.033026560272595165,0.06296678093834336,0.0019108699801611687,0.0016000393810359993,0.874288478282173,0.21674239562898234,0.8328849181388837,0.8304019439431116,0.271048716816282,0.7951812718234611
1927,15.126200655904482,16.607324948776046,16.45265654397456,13.713753931386996,13.815283314198457,0.5875910751460215,9.667434147682238,0.8566992077333336,NA,NA,5.22118738612752,0.09195825681205914,4.0669919897800755,-11.702876048928674,0,0,0,0,3708732.217763216,903249.351807356,16310586.74941087,13973266.745886102,1529514.266499039,529741.4844469493,999772.7820520896,0.4124089248539785,FALSE,-0.04020914796012549,17.226125240500362,-0.15466840480148747,0.46140979872512283,0.5646080114850325,0.02298306366098901,-1.6443467501854698,-1.1516750628581391,0.0021385670229392417,0.056879973720928234,0.03162175227447904,0.031204968372703416,0.0018653944287128005,0.0015666263109081861,0.8744893486981006,0.21654152521305486,0.8539581076753607,0.8330550988589545,0.2683955619004392,0.8154349158668187
1928,15.24250149063399,16.657359614217214,16.4491733785811,13.782158418012544,14.418829053537602,0.436008684898591,7.171982452464059,0.8120557889021027,NA,NA,5.14559622487506,0.20438092276194592,4.067672374393523,-11.708940348896183,0,0,0,0,4166144.103727921,967197.9105889422,17147442.827957127,13924680.213310428,2349669.091963491,521493.5543302168,1828175.5376332744,0.563991315101409,FALSE,-0.04382133851819116,17.251821609941363,-0.20818623563611283,0.4481406112745106,0.5646080114850325,-0.12859932658644146,-1.5943120847443026,-1.1551582282515973,-0.0034831653934581652,0.05003466544116719,0.026051152016852333,-0.05991857356576,0.001957013288466246,0.001641953107096438,0.8733088796047613,0.21772199430639402,0.912590710620259,0.8243404654038109,0.27711019535558273,0.8571297225971063
1929,15.287810164196271,16.7310992794604,16.465747337820602,14.033152381513403,13.86571602737092,0.5614619056398236,9.244889878076608,0.766935985764371,NA,NA,5.223439651533227,0.4338138964138312,3.975692972659999,-11.705297357617685,0,0,0,0,4359248.177905941,1243141.7237774336,18459676.8129285,14157390.433415024,1911696.388781943,860209.2661648899,1051487.1226170529,0.4385380943601764,FALSE,-0.05712751147951719,17.300346244504127,-0.26535194163979625,0.43404854049231234,0.5646080114850325,-0.003146105845208913,-1.5205724195011179,-1.138584269012096,0.016573959239501335,0.07373966524318476,0.048926973986073354,0.14703347115095064,0.00195355212548087,0.0016469558935170562,0.874285864131151,0.2167450097800045,0.7776053498923402,0.8344303183702961,0.26702034238909755,0.7510020600361029
1930,15.244406279298486,16.8089601329723,16.481970181468522,13.9345933410563,13.112486999725906,0.6686490552422352,11.020653790369618,0.7210909888702796,NA,NA,5.146905982757124,0.2063542940528816,3.911616985167083,-11.704085970431388,0,0,0,0,4174087.290435733,1126463.166532588,19954398.09658154,14388936.655775208,1383087.7671872585,888001.6504004517,495086.1167868067,0.3313509447577648,FALSE,-0.088735572245574,17.351918518571885,-0.3269899515037764,0.4189731940573361,0.5646080114850325,0.10404104375720269,-1.4427115659892173,-1.1223614253641756,0.01622284364792037,0.07786085351190053,0.05203617964385118,0.13061943952038607,0.0017726671769025552,0.0015000696580112231,0.8751205990703627,0.2159102748407927,0.7890149159934442,0.8438067721015534,0.2576438886578402,0.7672425047984821
