Variable,Pre1973_R1_Est,Pre1973_R1_t,Post1974_R1_Est,Post1974_R1_t
Const,-2.832105674703618,-1.7419789435513586,-0.40017518043328565,-0.21191335840464984
k_NR,1.0733033565509416,11.707321892732557,0.9605692096865568,9.595762920715512
c_t,0.0993331732188846,0.7191772316778284,0.8204585123882276,4.341306461488487
omega_t,1.1425172356428515,0.8065715232286119,1.4125458504285555,2.3075290981795673
omega_c,1.3439951236646521,0.7996096241264301,3.6642724845568706,4.805043181736158
theta1,0.973970183332057,NA,0.14011069729832915,NA
theta2,0.0993331732188846,NA,0.8204585123882276,NA
theta3,2.6879902473293042,NA,7.328544969113741,NA
