regime,criteria,selected_K,K_used
pre_1973,AIC(n),2,2
pre_1973,HQ(n),2,2
pre_1973,SC(n),2,2
pre_1973,FPE(n),2,2
post_1973,AIC(n),2,2
post_1973,HQ(n),2,2
post_1973,SC(n),1,2
post_1973,FPE(n),2,2
