year,w,y,w_over_y,w_share,year_right,year_check,w_over_y_rebuilt,w_over_y_gap_check
1940,47.1720881207304,73.46097533546667,0.6421380590893938,0.6074707800874707,1940,TRUE,0.6421380590893938,0
1941,50.44508622538394,77.40351711854902,0.6517156855821381,0.6162600974278495,1941,TRUE,0.6517156855821381,0
1942,46.90392476042342,78.06964869640468,0.60079589883672,0.5675648436860874,1942,TRUE,0.60079589883672,0
1943,51.213866331255126,80.5485486818075,0.6358136449306648,0.6030991976573497,1943,TRUE,0.6358136449306648,0
1944,52.227893974031026,79.19750512429174,0.6594638794753082,0.6254367210587357,1944,TRUE,0.6594638794753082,0
1945,54.54596696228529,85.46770705569013,0.638205573091408,0.6044555633395453,1945,TRUE,0.638205573091408,0
1946,53.457724023155215,88.52710655669632,0.6038571246979447,0.5719435501825137,1946,TRUE,0.6038571246979447,0
1947,53.701484220670366,74.57742371139597,0.7200769555742161,0.6818860563830722,1947,TRUE,0.7200769555742161,0
1948,51.483870846687466,81.87856849550688,0.6287832309807989,0.5947289826246759,1948,TRUE,0.6287832309807989,0
1949,50.3162372514334,80.50504720800791,0.6250072386322183,0.5904415851407467,1949,TRUE,0.6250072386322183,0
1950,50.18917006665177,83.95322772347542,0.5978229953464627,0.5640614965956121,1950,TRUE,0.5978229953464627,0
1951,47.247613359224715,84.52462834313833,0.5589804331042676,0.5267448831360416,1951,TRUE,0.5589804331042676,0
1952,61.23102582419301,90.36467396755083,0.6775991450617145,0.6375593229564251,1952,TRUE,0.6775991450617145,0
1953,45.16547080784095,97.8447786035576,0.4616032807518535,0.43357146819180653,1953,TRUE,0.4616032807518535,0
1954,42.10698529772312,92.84261587205981,0.45353079404556995,0.42522651626408575,1954,TRUE,0.45353079404556995,0
1955,40.42338529698677,90.39618447628328,0.44718021597020413,0.41849944096052066,1955,TRUE,0.44718021597020413,0
1956,52.017247666942026,94.94899472577484,0.5478441116430424,0.5117340439004434,1956,TRUE,0.5478441116430424,0
1957,57.18351443251684,99.37879114677011,0.5754096399508815,0.5364323677274111,1957,TRUE,0.5754096399508815,0
1958,52.00077891213155,108.28771904952426,0.48020938448569167,0.44678003268653316,1958,TRUE,0.48020938448569167,0
1959,62.80435697968518,101.39420701557574,0.6194077435808285,0.5750776192763191,1959,TRUE,0.6194077435808285,0
1960,66.52085180531897,101.14681927466694,0.6576662744547586,0.6093126657451776,1960,TRUE,0.6576662744547586,0
1961,77.31961621233556,108.62877336041976,0.7117784157959379,0.6588962612543945,1961,TRUE,0.7117784157959379,0
1962,71.66487631827393,111.554307537907,0.6424214169759573,0.5941905193772513,1962,TRUE,0.6424214169759573,0
1963,67.78724412073194,112.33027019134668,0.6034637324851188,0.5576814422070525,1963,TRUE,0.6034637324851188,0
1964,80.40798418893907,109.70222708480176,0.7329658323780636,0.6767742739731578,1964,TRUE,0.7329658323780636,0
1965,83.43654701679012,120.62643049139866,0.6916937413872958,0.6381088691725728,1965,TRUE,0.6916937413872958,0
1966,87.85508130198768,146.3019463746543,0.6005052118514256,0.553495656761064,1966,TRUE,0.6005052118514256,0
1967,91.06830500141952,144.7953258072307,0.6289450608554921,0.5791916250038267,1967,TRUE,0.6289450608554921,0
1968,92.84846603651945,158.3706437734479,0.5862732121575567,0.5394079097121091,1968,TRUE,0.5862732121575567,0
1969,94.4466058107804,173.45045965321498,0.5445163189513046,0.5005314522990513,1969,TRUE,0.5445163189513046,0
1970,100.41095314355952,181.06994637661526,0.55454234760036,0.5092767661923354,1970,TRUE,0.55454234760036,0
1971,125.61803572694468,204.68350039109538,0.6137184261893227,0.5623170054214746,1971,TRUE,0.6137184261893227,0
1972,132.86042859995894,175.92613619394675,0.7552057441509955,0.6903477385078481,1972,TRUE,0.7552057441509955,0
1973,82.23042770210745,137.38285234288662,0.598549428111107,0.5450286722310115,1973,TRUE,0.598549428111107,0
1974,77.0777807530881,177.20415802765328,0.4349659828019378,0.3944709808320595,1974,TRUE,0.4349659828019378,0
1975,74.92735345244104,137.3284121149909,0.5456070764853903,0.4927199418713367,1975,TRUE,0.5456070764853903,0
1976,78.92105647200263,146.45031841313076,0.5388930343556464,0.485581282901028,1976,TRUE,0.5388930343556464,0
1977,84.47591813321783,150.57002971605385,0.5610407216663448,0.5044183129122691,1977,TRUE,0.5610407216663448,0
1978,83.75159612447978,169.22644673634383,0.4949084362384884,0.44556606720713365,1978,TRUE,0.4949084362384884,0
