"run_id","det_tag","cell_id","status","include","LRinclude","p","r","q_tag","qY","qK","qE","model_class","logLik","T_eff","T_eff_common","k_gamma","k_pi","k_det","k_sigma","k_total","ICOMP_pen","RICOMP_pen","ICOMP_flag","RICOMP_flag","ICOMP_stabilized","RICOMP_stabilized","AIC","BIC","HQ","AICc","stability_margin","unit_root_count","unstable_count","expected_unit_roots","unit_root_mismatch","fail_code","fail_msg","window_tag","window_start","window_end","dBIC","dAIC","dHQ"
1772573671,"SR_none__LR_const","p01_Y_only_r0_none_const","computed","none","const",1,0,"Y_only",1,0,0,"VAR_diff_r0",453.025192939489,63,57,3,0,0,6,9,1.58625325469279,1.58625325469279,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-888.050385878978,-869.662924468467,-880.904391797019,-884.220598644936,NA,NA,NA,3,NA,NA,NA,"shaikh_window",1947,2011,19.419109268782,31.6774168757893,26.9134208211497
1772573671,"SR_none__LR_const","p02_Y_only_r0_none_const","computed","none","const",2,0,"Y_only",2,0,0,"VAR_diff_r0",461.611166570428,62,57,6,0,0,6,12,1.41602656785874,1.41602656785874,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-899.222333140857,-874.705717926842,-889.694341031577,-892.131424049947,NA,NA,NA,3,NA,NA,NA,"shaikh_window",1947,2011,14.3763158104073,20.5054696139109,18.1234715865911
1772573671,"SR_none__LR_const","p03_Y_only_r0_none_const","computed","none","const",3,0,"Y_only",3,0,0,"VAR_diff_r0",474.863901377384,61,57,9,0,0,6,15,1.17079350195798,1.17079350195798,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-919.727802754767,-889.082033737249,-907.817812618168,-908.020485681597,NA,NA,NA,3,NA,NA,NA,"shaikh_window",1947,2011,0,0,0
1772573671,"SR_none__LR_const","p03_Y_short_r0_none_const","computed","none","const",3,0,"Y_short",1,3,3,"VAR_diff_r0",474.863901377384,61,57,21,0,0,6,27,1.17079350195798,1.17079350195798,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-895.727802754767,-840.565418523235,-874.289820508889,-843.589871720285,NA,NA,NA,3,NA,NA,NA,"shaikh_window",1947,2011,48.5166152140147,24,33.5279921092795
1772573671,"SR_none__LR_const","p02_Y_short_r2_none_const","computed","none","const",2,2,"Y_short",1,2,2,"VECM_ranked_qrestricted",481.536212152678,62,57,15,10,0,6,31,0.817912875955699,0.817912875955699,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-901.072424305356,-837.737835002485,-876.458444689717,-821.712424305356,-0.00426349471839615,1,1,1,0,NA,NA,"shaikh_window",1947,2011,51.3441987347646,18.6553784494118,31.3593679284511
1772573671,"SR_none__LR_const","p02_sym_r2_none_const","computed","none","const",2,2,"sym",2,2,2,"VECM_ranked_qrestricted",482.091324032978,62,57,18,10,0,6,34,0.828984925267942,0.828984925267942,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-896.182648065957,-826.718904959582,-869.186670422998,-788.000829884139,0.0113441871644128,1,0,1,0,NA,NA,"shaikh_window",1947,2011,62.3631287776674,23.5451546888108,38.6311421951699
1772573671,"SR_none__LR_const","p03_E_short_r2_none_const","computed","none","const",3,2,"E_short",3,3,1,"VECM_ranked_qrestricted",485.465734311822,61,57,21,10,0,6,37,0.962846668233269,0.962846668233269,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-896.931468623644,-821.338571713765,-867.553492953366,-748.931468623644,-0.0247816615363621,1,1,1,0,NA,NA,"shaikh_window",1947,2011,67.7434620234841,22.7963341311239,40.2643196648028
1772573671,"SR_none__LR_const","p03_sym_r2_none_const","computed","none","const",3,2,"sym",3,3,3,"VECM_ranked_qrestricted",488.322122327266,61,57,27,10,0,6,43,1.00065673114401,1.00065673114401,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-890.644244654533,-802.793040137647,-856.502272929615,-599.56732157761,0.00690968939368364,1,0,1,0,NA,NA,"shaikh_window",1947,2011,86.2889935996021,29.0835581002347,51.3155396885533
1772573671,"SR_none__LR_const","p07_sym_r2_none_const","computed","none","const",7,2,"sym",7,7,7,"VECM_ranked_qrestricted",489.145515435999,57,57,63,10,0,6,79,0.6777821517483,0.6777821517483,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-820.291030871998,-658.889980713068,-757.565082819242,NA,-0.176270673585213,1,1,1,0,NA,NA,"shaikh_window",1947,2011,230.192053024181,99.4367718827699,150.252729798927
