"p","q_tag","r","best_BIC","best_AIC"
1,"E_only",0,-869.662924468467,-888.050385878978
1,"E_only",1,-841.180267261287,-871.826036278805
1,"E_only",2,-832.349204932853,-871.16717902171
1,"E_short",0,-845.40461686146,-876.050385878978
1,"E_short",1,-858.891724996932,-901.795801621457
1,"E_short",2,-847.463213512792,-898.539495208655
1,"K_only",0,-869.662924468467,-888.050385878978
1,"K_only",1,-843.927173961573,-874.572942979091
1,"K_only",2,-836.533791157843,-875.351765246699
1,"K_short",0,-845.40461686146,-876.050385878978
1,"K_short",1,-858.891724996932,-901.795801621457
1,"K_short",2,-847.463213512792,-898.539495208655
1,"Y_only",0,-869.662924468467,-888.050385878978
1,"Y_only",1,-849.075883469939,-879.721652487457
1,"Y_only",2,-843.694699869655,-882.512673958511
1,"Y_short",0,-845.40461686146,-876.050385878978
1,"Y_short",1,-858.891724996932,-901.795801621457
1,"Y_short",2,-847.463213512792,-898.539495208655
1,"sym",0,-845.40461686146,-876.050385878978
1,"sym",1,-858.891724996932,-901.795801621457
1,"sym",2,-847.463213512792,-898.539495208655
2,"E_only",0,-874.705717926842,-899.222333140857
2,"E_only",1,-784.207704821404,-820.982627642426
2,"E_only",2,-824.969819723799,-869.916947616159
2,"E_short",0,-838.318256516331,-881.222333140857
2,"E_short",1,-819.625579564653,-874.787963796186
2,"E_short",2,-833.403340410224,-896.737929713095
2,"K_only",0,-874.705717926842,-899.222333140857
2,"K_only",1,-807.409921559823,-844.184844380845
2,"K_only",2,-814.287120878109,-859.234248770469
2,"K_short",0,-838.318256516331,-881.222333140857
2,"K_short",1,-814.412164575975,-869.574548807508
2,"K_short",2,-830.220740251647,-893.555329554518
2,"Y_only",0,-874.705717926842,-899.222333140857
2,"Y_only",1,-824.271489984798,-861.04641280582
2,"Y_only",2,-828.685957922057,-873.633085814418
2,"Y_short",0,-838.318256516331,-881.222333140857
2,"Y_short",1,-816.056195548751,-871.218579780283
2,"Y_short",2,-837.737835002485,-901.072424305356
2,"sym",0,-826.189102712827,-875.222333140857
2,"sym",1,-810.654306500671,-871.945844535707
2,"sym",2,-826.718904959582,-896.182648065957
3,"E_only",0,-889.082033737249,-919.727802754767
3,"E_only",1,-789.227190937221,-832.131267561747
3,"E_only",2,-814.891330581237,-865.9676122771
3,"E_short",0,-840.565418523235,-895.727802754767
3,"E_short",1,-812.834571031841,-880.255262870381
3,"E_short",2,-821.338571713765,-896.931468623644
3,"K_only",0,-889.082033737249,-919.727802754767
3,"K_only",1,-799.237036866442,-842.141113490967
3,"K_only",2,-795.94189784389,-847.018179539754
3,"K_short",0,-840.565418523235,-895.727802754767
3,"K_short",1,-808.512115781032,-875.932807619572
3,"K_short",2,-808.477561121293,-884.070458031171
3,"Y_only",0,-889.082033737249,-919.727802754767
3,"Y_only",1,-819.712044103882,-862.616120728408
3,"Y_only",2,-817.332739410111,-868.409021105975
3,"Y_short",0,-840.565418523235,-895.727802754767
3,"Y_short",1,-809.471572194975,-876.892264033515
3,"Y_short",2,-818.013759317488,-893.606656227366
3,"sym",0,-816.307110916227,-883.727802754767
3,"sym",1,-802.940706788585,-882.619706234132
3,"sym",2,-802.793040137647,-890.644244654533
4,"E_only",0,-874.709864804436,-911.484787625458
4,"E_only",1,-766.190384418834,-815.223614846864
4,"E_only",2,-787.222035030786,-844.427470530153
4,"E_short",0,-814.064095786918,-881.484787625458
4,"E_short",1,-786.381862662346,-866.060862107893
4,"E_short",2,-789.626267224671,-877.477471741556
4,"K_only",0,-874.709864804436,-911.484787625458
4,"K_only",1,-783.237616807296,-832.270847235325
4,"K_only",2,-778.176546241407,-835.381981740775
4,"K_short",0,-814.064095786918,-881.484787625458
4,"K_short",1,-778.907562593056,-858.586562038603
4,"K_short",2,-776.830558019152,-864.681762536037
4,"Y_only",0,-874.709864804436,-911.484787625458
4,"Y_only",1,-793.422148828637,-842.455379256666
4,"Y_only",2,-790.91566507792,-848.121100577288
4,"Y_short",0,-814.064095786918,-881.484787625458
4,"Y_short",1,-779.629367713003,-859.30836715855
4,"Y_short",2,-788.429025189359,-876.280229706245
4,"sym",0,-777.676634376407,-863.484787625458
4,"sym",1,-760.877604596495,-858.944065452554
4,"sym",2,-761.012822009166,-867.251487936563
5,"E_only",0,-851.075591314791,-893.979667939316
5,"E_only",1,-732.728158481119,-787.890542712652
5,"E_only",2,-768.332849485258,-831.667438788129
5,"E_short",0,-778.300668493769,-857.979667939316
5,"E_short",1,-748.582563678405,-840.51987073096
5,"E_short",2,-750.028474951808,-850.137987075701
5,"K_only",0,-851.075591314791,-893.979667939316
5,"K_only",1,-757.857192672018,-813.019576903551
5,"K_only",2,-754.781597932297,-818.116187235168
5,"K_short",0,-778.300668493769,-857.979667939316
5,"K_short",1,-742.987589125905,-834.92489617846
5,"K_short",2,-742.80918949674,-842.918701620633
5,"Y_only",0,-851.075591314791,-893.979667939316
5,"Y_only",1,-765.700187736071,-820.862571967604
5,"Y_only",2,-765.822680554493,-829.157269857364
5,"Y_short",0,-778.300668493769,-857.979667939316
5,"Y_short",1,-740.681692309951,-832.618999362506
5,"Y_short",2,-754.978741922065,-855.088254045958
5,"sym",0,-729.784053279754,-833.979667939316
5,"sym",1,-713.633707406746,-830.087629673316
5,"sym",2,-715.679969086621,-840.306096424529
6,"E_only",0,-825.995705012174,-875.028935440203
6,"E_only",1,-730.853042083132,-792.144580118168
6,"E_only",2,-740.616876180942,-810.080619287317
6,"E_short",0,-741.091628387649,-833.028935440203
6,"E_short",1,-713.264623323098,-817.46023798266
6,"E_short",2,-711.641602920096,-824.009422650996
6,"K_only",0,-825.995705012174,-875.028935440203
6,"K_only",1,-737.80747537003,-799.099013405067
6,"K_only",2,-726.917357298175,-796.381100404549
6,"K_short",0,-741.091628387649,-833.028935440203
6,"K_short",1,-711.21646664283,-815.412081302392
6,"K_short",2,-705.366340841427,-817.734160572327
6,"Y_only",0,-825.995705012174,-875.028935440203
6,"Y_only",1,-748.647391360845,-809.938929395882
6,"Y_only",2,-738.497136961321,-807.960880067695
6,"Y_short",0,-741.091628387649,-833.028935440203
6,"Y_short",1,-708.970527307841,-813.166141967403
6,"Y_short",2,-719.301944412641,-831.669764143541
6,"sym",0,-680.44585937013,-803.028935440203
6,"sym",1,-667.166176919999,-802.00756059708
6,"sym",2,-670.770429345558,-813.784018093977
7,"E_only",0,-820.824033947295,-875.986418178828
7,"E_only",1,-720.342390475842,-787.763082314382
7,"E_only",2,-714.257729073654,-789.850625983533
7,"E_short",0,-723.790803519266,-827.986418178828
7,"E_short",1,-702.043795365777,-818.497717632346
7,"E_short",2,-693.292720866793,-817.9188482047
7,"K_only",0,-820.824033947295,-875.986418178828
7,"K_only",1,-720.401723173223,-787.822415011763
7,"K_only",2,-705.240552820043,-780.833449729921
7,"K_short",0,-723.790803519266,-827.986418178828
7,"K_short",1,-686.634421055933,-803.088343322502
