run_id,stage_tag,ic_family,window_tag,p,q,AIC,BIC,ICOMP_pen,RICOMP_pen,k_total
stage4_20260304_101833,S2_ARDL_grid,k_total,shaikh_window,1,1,-257.387399605075,-246.592984188277,14.8287172606545,14.8287172606545,4
stage4_20260304_101833,S2_ARDL_grid,k_total,shaikh_window,1,2,-261.307891670712,-248.449083312363,16.738728221628,16.738728221628,5
stage4_20260304_101833,S2_ARDL_grid,k_total,shaikh_window,1,3,-265.418416068802,-250.528475373487,18.054773544088,18.054773544088,6
stage4_20260304_101833,S2_ARDL_grid,k_total,shaikh_window,2,3,-263.419823680792,-246.402748600432,19.4298304610218,19.4298304610218,7
stage4_20260304_101833,S2_ARDL_grid,k_total,shaikh_window,3,3,-263.1898071261,-244.045597660694,20.326305973078,20.326305973078,8
stage4_20260304_101833,S2_ARDL_grid,ICOMP,shaikh_window,1,1,-257.387399605075,-246.592984188277,14.8287172606545,14.8287172606545,4
stage4_20260304_101833,S2_ARDL_grid,ICOMP,shaikh_window,1,2,-261.307891670712,-248.449083312363,16.738728221628,16.738728221628,5
stage4_20260304_101833,S2_ARDL_grid,ICOMP,shaikh_window,2,2,-259.980050178366,-244.978107093625,17.4352824191512,17.4352824191512,6
stage4_20260304_101833,S2_ARDL_grid,ICOMP,shaikh_window,3,2,-261.489248260976,-244.472173180615,17.9003393859877,17.9003393859877,7
stage4_20260304_101833,S2_ARDL_grid,ICOMP,shaikh_window,1,3,-265.418416068802,-250.528475373487,18.054773544088,18.054773544088,6
stage4_20260304_101833,S2_ARDL_grid,ICOMP,shaikh_window,2,3,-263.419823680792,-246.402748600432,19.4298304610218,19.4298304610218,7
stage4_20260304_101833,S2_ARDL_grid,ICOMP,shaikh_window,3,3,-263.1898071261,-244.045597660694,20.326305973078,20.326305973078,8
stage4_20260304_101833,S2_ARDL_grid,RICOMP,shaikh_window,1,1,-257.387399605075,-246.592984188277,14.8287172606545,14.8287172606545,4
stage4_20260304_101833,S2_ARDL_grid,RICOMP,shaikh_window,1,2,-261.307891670712,-248.449083312363,16.738728221628,16.738728221628,5
stage4_20260304_101833,S2_ARDL_grid,RICOMP,shaikh_window,2,2,-259.980050178366,-244.978107093625,17.4352824191512,17.4352824191512,6
stage4_20260304_101833,S2_ARDL_grid,RICOMP,shaikh_window,3,2,-261.489248260976,-244.472173180615,17.9003393859877,17.9003393859877,7
stage4_20260304_101833,S2_ARDL_grid,RICOMP,shaikh_window,1,3,-265.418416068802,-250.528475373487,18.054773544088,18.054773544088,6
stage4_20260304_101833,S2_ARDL_grid,RICOMP,shaikh_window,2,3,-263.419823680792,-246.402748600432,19.4298304610218,19.4298304610218,7
stage4_20260304_101833,S2_ARDL_grid,RICOMP,shaikh_window,3,3,-263.1898071261,-244.045597660694,20.326305973078,20.326305973078,8
