year,r_level,ln_r,ect,dlog_r,dlog_r_smoothed,ect_smoothed,dlog_r_z,dlog_r_smoothed_z,ect_z,ect_smoothed_z
1957,0.11486496919676681,-2.1639980214070476,-6.276405506526782,NA,NA,NA,NA,NA,0.5972518442277159,NA
1958,0.1375017495783098,-1.9841186377505737,-6.515616725840397,0.17987938365647382,NA,-6.4094183868813985,0.8359993049000726,NA,-0.2755763094297125,0.07283004286353846
1959,0.09675774998893945,-2.335544847035487,-6.436232928277018,-0.3514262092849134,-0.07308231034469959,-6.367736783692302,-1.6830509866365262,-0.8682395580866775,0.0140773851435308,0.24616909841695783
1960,0.09225074202696196,-2.3832449524411463,-6.151360696959494,-0.047700105405659166,-0.17775683675136245,-6.196663548295212,-0.24301094058958866,-2.1610105617143516,1.053512343096585,0.957602219635205
1961,0.0806699493415625,-2.517389148004661,-6.002397019649123,-0.13414419556351476,-0.002377722469498226,-6.138567509676624,-0.6528636005403843,0.004989527979547362,1.5970474323031276,1.1992031105571588
1962,0.09607001653523436,-2.342678014443982,-6.261944812421257,0.17471113356067924,0.04561690816776857,-6.22180302838613,0.8114953620025965,0.5977418331261554,0.6500156776839656,0.8530560073339541
1963,0.10577995614430469,-2.2463942279378406,-6.401067253088012,0.09628378650614122,-0.022578747704074125,-6.3088226748112675,0.4396520498167774,-0.24450096950168446,0.1423890564581466,0.49117205441844936
1964,0.0753866261951969,-2.5851253911168834,-6.263455958924535,-0.33873116317904284,-0.05272493368593375,-6.337816800324798,-1.6228606554619176,-0.616818059869093,0.6445018426048819,0.3705957342056192
1965,0.0820150251060998,-2.500852815501783,-6.348927188961849,0.08427257561510038,0.008464390187630233,-6.29245359094075,0.3827039493285488,0.13889382487358212,0.3326364705777776,0.5592452886824444
1966,0.10850043927688323,-2.22100105737495,-6.26497762493587,0.27985175812683316,0.09999980236368107,-6.329984780961124,1.3099928829856449,1.2693916711841025,0.6389496241973673,0.4031663345593611
1967,0.10176124100785724,-2.28512598402584,-6.376049528985654,-0.06412492665089031,0.10080948449280906,-6.337606855570686,-0.3208850516396496,1.2793915595487806,0.23367312749640548,0.3714688202342671
1968,0.11097788164075029,-2.198424362023356,-6.371793412790535,0.08670162200248432,0.0342151928532742,-6.3482808033447,0.3942206547643421,0.4569262263477552,0.249202742081356,0.3270796440842949
1969,0.12022918546617364,-2.1183554788151273,-6.296999468257914,0.08006888320822858,0.0426729928946988,-6.342514026625281,0.36277321130556556,0.5613833375799172,0.5221090911166685,0.35106163022807674
1970,0.11565923906499084,-2.157107005341744,-6.358749198827397,-0.03875152652661651,-0.006720006711153766,-6.355038335578036,-0.2005835305762756,-0.0486393667461167,0.2967981568032385,0.298977455934664
1971,0.10876296669362093,-2.218584382156817,-6.409366339648799,-0.06147737681507337,-0.15894241376895138,-6.33363139986464,-0.30833236769583855,-1.9286451399005213,0.11210754867318694,0.3880013354149897
1972,0.07463223801686555,-2.5951827201219815,-6.232778661117724,-0.3765983379651643,-0.04248751223059122,-6.302574633447235,-1.8023982303565411,-0.49038193387253703,0.7564364302916474,0.5171554501191069
1973,0.10181788099251637,-2.2845695420335175,-6.265578899575184,0.310613178088464,0.06868086735203945,-6.449126555179286,1.4558403292612094,0.8825906753978666,0.6367557077298246,-0.09230219447594559
1974,0.1336485373820318,-2.012541780100699,-6.84902210484495,0.27202776193281863,0.0851061065186595,-6.695031813365767,1.2728973956515075,1.0854487503392438,-1.4920978514000303,-1.1149352495503377
1975,0.09634070108935348,-2.339864400566003,-6.970494435677169,-0.32732262046530414,-0.004322267974260718,-6.94794235066869,-1.5687699528025507,-0.019026363279660424,-1.9353231756342917,-2.166700784496566
1976,0.10050615134368027,-2.2975363459562996,-7.02431051148395,0.04232805460970335,-0.08092970020352401,-6.947350548075302,0.1838346747138081,-0.9651578667899527,-2.13168598093373,-2.1642396866797045
1977,0.10483884884379384,-2.255330880711271,-6.847246697064788,0.04220546524502877,0.08350402429037758,-6.8762617043351755,0.1832534484309957,1.0656624133836439,-1.4856197861186684,-1.8686063114855005
1978,0.12376727049752988,-2.0893523276948702,-6.757227904456791,0.16597855301640063,NA,NA,0.7700920531382033,NA,-1.1571613769689706,NA
