"model_id","estimator","estimator_role","package","function_name","package_available","attempted","status","n_obs","error_message","warnings"
"S32_A00_baseline","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",95,"",""
"S32_A00_baseline","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",95,"",""
"S32_A00_baseline","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",95,"",""
"S32_A00_baseline","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",95,"",""
"S32_A00_q_h3","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",93,"",""
"S32_A00_q_h3","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",93,"",""
"S32_A00_q_h3","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",93,"",""
"S32_A00_q_h3","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",93,"",""
"S32_A00_q_h5","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",91,"",""
"S32_A00_q_h5","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",91,"",""
"S32_A00_q_h5","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",91,"",""
"S32_A00_q_h5","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",91,"",""
"S32_A00_q_e_h1","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",95,"",""
"S32_A00_q_e_h1","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",95,"",""
"S32_A00_q_e_h1","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",95,"",""
"S32_A00_q_e_h1","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",95,"",""
"S32_A00_q_e_h3","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",93,"",""
"S32_A00_q_e_h3","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",93,"",""
"S32_A00_q_e_h3","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",93,"",""
"S32_A00_q_e_h3","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",93,"",""
"S32_A00_q_e_h5","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",91,"",""
"S32_A00_q_e_h5","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",91,"",""
"S32_A00_q_e_h5","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",91,"",""
"S32_A00_q_e_h5","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",91,"",""
"S32_periodized_full_long_sample","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",95,"",""
"S32_periodized_full_long_sample","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",95,"",""
"S32_periodized_full_long_sample","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",95,"",""
"S32_periodized_full_long_sample","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",95,"",""
"S32_periodized_pre_1974_full","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",44,"",""
"S32_periodized_pre_1974_full","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",44,"",""
"S32_periodized_pre_1974_full","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",44,"",""
"S32_periodized_pre_1974_full","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",44,"",""
"S32_periodized_post_1973_full","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",51,"",""
"S32_periodized_post_1973_full","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",51,"",""
"S32_periodized_post_1973_full","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",51,"",""
"S32_periodized_post_1973_full","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",51,"",""
"S32_periodized_fordist_core","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",29,"",""
"S32_periodized_fordist_core","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",29,"",""
"S32_periodized_fordist_core","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",29,"",""
"S32_periodized_fordist_core","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",29,"",""
"S32_periodized_bridge_1940_1978","diagnostic_levels_OLS","diagnostic_only","stats","stats::lm",TRUE,TRUE,"success",39,"",""
"S32_periodized_bridge_1940_1978","FM_OLS_preliminary","preferred_preliminary_estimator","cointReg","cointReg::cointRegFM",TRUE,TRUE,"success",39,"",""
"S32_periodized_bridge_1940_1978","IM_OLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegIM",TRUE,TRUE,"success",39,"",""
"S32_periodized_bridge_1940_1978","DOLS_preliminary","robustness_preliminary_estimator","cointReg","cointReg::cointRegD",TRUE,TRUE,"success",39,"",""
