"model_id","residual_source_estimator","n_obs","adf_test_function","adf_deterministic_case","adf_lag_rule","adf_statistic","adf_critical_value_5pct","residual_adf_gate","adf_status","adf_error_message","kpss_test_function","kpss_deterministic_case","kpss_lag_rule","kpss_statistic","kpss_critical_value_5pct","residual_kpss_gate","kpss_status","kpss_error_message","warnings"
"S32_A00_baseline","diagnostic_levels_OLS",95,"urca::ur.df","none","AIC",-3.24582783856824,-1.95,"pass","attempted","","urca::ur.kpss","mu","short",0.333719368337338,0.463,"pass","attempted","",""
"S32_A00_q_h3","diagnostic_levels_OLS",93,"urca::ur.df","none","AIC",-4.50353290152964,-1.95,"pass","attempted","","urca::ur.kpss","mu","short",0.302062121237955,0.463,"pass","attempted","",""
"S32_A00_q_h5","diagnostic_levels_OLS",91,"urca::ur.df","none","AIC",-3.70595138874256,-1.95,"pass","attempted","","urca::ur.kpss","mu","short",0.265559923381587,0.463,"pass","attempted","",""
"S32_A00_q_e_h1","diagnostic_levels_OLS",95,"urca::ur.df","none","AIC",-3.26398993642993,-1.95,"pass","attempted","","urca::ur.kpss","mu","short",0.330894891965347,0.463,"pass","attempted","",""
"S32_A00_q_e_h3","diagnostic_levels_OLS",93,"urca::ur.df","none","AIC",-4.5076705529412,-1.95,"pass","attempted","","urca::ur.kpss","mu","short",0.299924190519384,0.463,"pass","attempted","",""
"S32_A00_q_e_h5","diagnostic_levels_OLS",91,"urca::ur.df","none","AIC",-3.69776138061283,-1.95,"pass","attempted","","urca::ur.kpss","mu","short",0.265575933699923,0.463,"pass","attempted","",""
"S32_periodized_full_long_sample","diagnostic_levels_OLS",95,"urca::ur.df","none","AIC",-3.24582783856824,-1.95,"pass","attempted","","urca::ur.kpss","mu","short",0.333719368337338,0.463,"pass","attempted","",""
"S32_periodized_pre_1974_full","diagnostic_levels_OLS",44,"urca::ur.df","none","AIC",-3.62290587689614,-1.95,"pass","attempted","","urca::ur.kpss","mu","short",0.17429993930981,0.463,"pass","attempted","",""
"S32_periodized_post_1973_full","diagnostic_levels_OLS",51,"urca::ur.df","none","AIC",-2.45267389297201,-1.95,"pass","attempted","","urca::ur.kpss","mu","short",0.0992622266503969,0.463,"pass","attempted","",""
"S32_periodized_fordist_core","diagnostic_levels_OLS",29,"urca::ur.df","none","AIC",-2.17098789842566,-1.95,"pass","attempted","","urca::ur.kpss","mu","short",0.122396631132753,0.463,"pass","attempted","",""
"S32_periodized_bridge_1940_1978","diagnostic_levels_OLS",39,"urca::ur.df","none","AIC",-4.59464722111433,-1.95,"pass","attempted","","urca::ur.kpss","mu","short",0.0766122958388956,0.463,"pass","attempted","",""
"S32_periodized_pre_1974_alt_1940_1973","diagnostic_levels_OLS",34,"urca::ur.df","none","AIC",-4.21859653500246,-1.95,"pass","attempted","","urca::ur.kpss","mu","short",0.081346107376219,0.463,"pass","attempted","",""
"S32_periodized_pre_1974_alt_1947_1973","diagnostic_levels_OLS",27,"urca::ur.df","none","AIC",-1.85426670163958,-1.95,"fail","attempted","","urca::ur.kpss","mu","short",0.129714696477603,0.463,"pass","attempted","",""
"S32_ME_growth_extension","diagnostic_levels_OLS",95,"urca::ur.df","none","AIC",-3.7308417246794,-1.95,"pass","attempted","","urca::ur.kpss","mu","short",0.104230911093455,0.463,"pass","attempted","",""
"S32_NRC_growth_extension","diagnostic_levels_OLS",95,"urca::ur.df","none","AIC",-3.49374772574478,-1.95,"pass","attempted","","urca::ur.kpss","mu","short",0.123580047165675,0.463,"pass","attempted","",""
"S32_ME_minus_NRC_growth_extension","diagnostic_levels_OLS",95,"urca::ur.df","none","AIC",-3.65052896808603,-1.95,"pass","attempted","","urca::ur.kpss","mu","short",0.110048841455947,0.463,"pass","attempted","",""
"S32_ME_share_extension","diagnostic_levels_OLS",95,"urca::ur.df","none","AIC",-3.56333643385349,-1.95,"pass","attempted","","urca::ur.kpss","mu","short",0.116822939334772,0.463,"pass","attempted","",""
"S32_NRC_share_extension","diagnostic_levels_OLS",95,"urca::ur.df","none","AIC",-3.5633364338535,-1.95,"pass","attempted","","urca::ur.kpss","mu","short",0.116822939334772,0.463,"pass","attempted","",""
"S32_ME_NRC_gap_extension","diagnostic_levels_OLS",95,"urca::ur.df","none","AIC",-3.65052896808605,-1.95,"pass","attempted","","urca::ur.kpss","mu","short",0.110048841455947,0.463,"pass","attempted","",""
"S32_GOV_TRANS_growth_extension","diagnostic_levels_OLS",95,"urca::ur.df","none","AIC",-2.98122089549806,-1.95,"pass","attempted","","urca::ur.kpss","mu","short",0.325096652191829,0.463,"pass","attempted","",""
"S32_IPP_growth_extension","diagnostic_levels_OLS",95,"urca::ur.df","none","AIC",-3.02682638483329,-1.95,"pass","attempted","","urca::ur.kpss","mu","short",0.261309803540302,0.463,"pass","attempted","",""
