"model_id","model_family","model_role","sample_id","n_obs","best_available_estimator","po_gate","residual_adf_gate","residual_kpss_gate","cointegration_screen","s31i_i2_warning","s31i_rolling_warning","advisor_show_flag","advisor_priority","notes"
"S32_A00_baseline","A00_aggregate","preferred_baseline","full_available_sample",95,"FM_OLS_preliminary","fail","pass","pass","mixed_evidence","","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap",TRUE,"1_baseline_show","Reference model; coefficients remain preliminary."
"S32_A00_q_h3","A00_memory_robustness","memory_state_robustness","full_available_sample",93,"FM_OLS_preliminary","fail","pass","pass","mixed_evidence","","rolling_instability:y_t,k_Kcap,q_omega_h3_Kcap",FALSE,"6_do_not_show",""
"S32_A00_q_h5","A00_memory_robustness","memory_state_robustness","full_available_sample",91,"FM_OLS_preliminary","fail","pass","pass","mixed_evidence","","rolling_instability:y_t,k_Kcap,q_omega_h5_Kcap",FALSE,"6_do_not_show",""
"S32_A00_q_e_h1","A00_distribution_robustness","alternative_distribution_proxy_robustness","full_available_sample",95,"FM_OLS_preliminary","fail","pass","pass","mixed_evidence","","rolling_instability:y_t,k_Kcap,q_e_h1_Kcap",FALSE,"6_do_not_show","Alternative exploitation-rate distribution proxy; not preferred baseline."
"S32_A00_q_e_h3","A00_distribution_robustness","alternative_distribution_proxy_robustness","full_available_sample",93,"FM_OLS_preliminary","fail","pass","pass","mixed_evidence","","rolling_instability:y_t,k_Kcap,q_e_h3_Kcap",FALSE,"6_do_not_show","Alternative exploitation-rate distribution proxy; not preferred baseline."
"S32_A00_q_e_h5","A00_distribution_robustness","alternative_distribution_proxy_robustness","full_available_sample",91,"FM_OLS_preliminary","fail","pass","pass","mixed_evidence","","rolling_instability:y_t,k_Kcap,q_e_h5_Kcap",FALSE,"6_do_not_show","Alternative exploitation-rate distribution proxy; not preferred baseline."
"S32_periodized_full_long_sample","A00_periodized","periodized_baseline_candidate","full_long_sample",95,"FM_OLS_preliminary","fail","pass","pass","mixed_evidence","","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap__full_long_sample",TRUE,"2_periodized_show","Governed S22 period-reset q window."
"S32_periodized_pre_1974_full","A00_periodized","periodized_baseline_candidate","pre_1974_full",44,"FM_OLS_preliminary","fail","pass","pass","mixed_evidence","","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap__pre_1974_full",TRUE,"2_periodized_show","Governed S22 period-reset q window."
"S32_periodized_post_1973_full","A00_periodized","periodized_baseline_candidate","post_1973_full",51,"FM_OLS_preliminary","fail","pass","pass","mixed_evidence","I2_risk:q_omega_h1_Kcap__post_1973_full","rolling_instability:y_t,k_Kcap",FALSE,"6_do_not_show","Governed post-1973 full window; no short post-1974 window."
"S32_periodized_fordist_core","A00_periodized","periodized_baseline_candidate","fordist_core",29,"FM_OLS_preliminary","fail","pass","pass","mixed_evidence","","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap__fordist_core",TRUE,"2_periodized_show","Governed S22 period-reset q window."
"S32_periodized_bridge_1940_1978","A00_periodized","periodized_baseline_candidate","bridge_1940_1978",39,"FM_OLS_preliminary","fail","pass","pass","mixed_evidence","","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap__bridge_1940_1978",TRUE,"2_periodized_show","Governed S22 period-reset q window."
"S32_periodized_pre_1974_alt_1940_1973","A00_periodized","periodized_baseline_candidate","pre_1974_alt_1940_1973",34,"FM_OLS_preliminary","fail","pass","pass","mixed_evidence","","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap__pre_1974_alt_1940_1973",TRUE,"2_periodized_show","Governed S22 period-reset q window."
"S32_periodized_pre_1974_alt_1947_1973","A00_periodized","periodized_baseline_candidate","pre_1974_alt_1947_1973",27,"FM_OLS_preliminary","fail","fail","pass","fail","I2_risk:q_omega_h1_Kcap__pre_1974_alt_1947_1973","rolling_instability:y_t,k_Kcap",FALSE,"6_do_not_show","Governed S22 period-reset q window."
"S32_ME_growth_extension","mechanization_extension","mechanization_candidate_extension","full_available_sample",95,"FM_OLS_preliminary","fail","pass","pass","mixed_evidence","","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap,q_omega_h1_ME",FALSE,"6_do_not_show","Candidate extension, not a replacement for the aggregate baseline."
"S32_NRC_growth_extension","mechanization_extension","mechanization_candidate_extension","full_available_sample",95,"FM_OLS_preliminary","fail","pass","pass","mixed_evidence","","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap,q_omega_h1_NRC",FALSE,"6_do_not_show","Candidate extension, not a replacement for the aggregate baseline."
"S32_ME_minus_NRC_growth_extension","mechanization_extension","mechanization_i2_diagnostic_stress_test","full_available_sample",95,"FM_OLS_preliminary","fail","pass","pass","mixed_evidence","I2_risk:q_omega_h1_ME_minus_NRC","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap,q_omega_h1_ME_minus_NRC",FALSE,"6_do_not_show","Candidate extension, not a replacement for the aggregate baseline."
"S32_ME_share_extension","mechanization_extension","mechanization_i2_diagnostic_stress_test","full_available_sample",95,"FM_OLS_preliminary","fail","pass","pass","mixed_evidence","I2_risk:q_omega_h1_ME_share","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap,q_omega_h1_ME_share",FALSE,"6_do_not_show","Candidate extension, not a replacement for the aggregate baseline."
"S32_NRC_share_extension","mechanization_extension","mechanization_i2_diagnostic_stress_test","full_available_sample",95,"FM_OLS_preliminary","fail","pass","pass","mixed_evidence","I2_risk:q_omega_h1_NRC_share","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap,q_omega_h1_NRC_share",FALSE,"6_do_not_show","Candidate extension, not a replacement for the aggregate baseline."
"S32_ME_NRC_gap_extension","mechanization_extension","mechanization_i2_diagnostic_stress_test","full_available_sample",95,"FM_OLS_preliminary","fail","pass","pass","mixed_evidence","I2_risk:q_omega_h1_ME_NRC_gap","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap,q_omega_h1_ME_NRC_gap",FALSE,"6_do_not_show","Candidate extension, not a replacement for the aggregate baseline."
"S32_GOV_TRANS_growth_extension","frontier_conditioner_extension","stationary_frontier_conditioner_robustness","full_available_sample",95,"FM_OLS_preliminary","fail","pass","pass","mixed_evidence","","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap",FALSE,"6_do_not_show","Stationary frontier-growth conditioner; not an additive K_cap component."
"S32_IPP_growth_extension","frontier_conditioner_extension","stationary_frontier_conditioner_robustness","full_available_sample",95,"FM_OLS_preliminary","fail","pass","pass","mixed_evidence","","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap,IPP_growth",FALSE,"6_do_not_show","Stationary frontier-growth conditioner; not an additive K_cap component."
