"model_id","test_name","test_function","deterministic_case","lag_rule","n_obs","test_statistic","critical_value_5pct","po_gate","status","error_message","warnings"
"S32_A00_baseline","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",95,13.4944404840039,89.7619,"fail","attempted","",""
"S32_A00_q_h3","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",93,11.9711170545605,89.7619,"fail","attempted","",""
"S32_A00_q_h5","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",91,17.3530988177196,89.7619,"fail","attempted","",""
"S32_A00_q_e_h1","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",95,13.9515486448667,89.7619,"fail","attempted","",""
"S32_A00_q_e_h3","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",93,12.1928838588765,89.7619,"fail","attempted","",""
"S32_A00_q_e_h5","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",91,15.949189402319,89.7619,"fail","attempted","",""
"S32_periodized_full_long_sample","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",95,13.4944404840039,89.7619,"fail","attempted","",""
"S32_periodized_pre_1974_full","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",44,12.8968761619423,89.7619,"fail","attempted","",""
"S32_periodized_post_1973_full","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",51,20.2149682917722,89.7619,"fail","attempted","",""
"S32_periodized_fordist_core","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",29,10.8361448676064,89.7619,"fail","attempted","",""
"S32_periodized_bridge_1940_1978","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",39,21.9770372408619,89.7619,"fail","attempted","",""
"S32_periodized_pre_1974_alt_1940_1973","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",34,21.9288934535481,89.7619,"fail","attempted","",""
"S32_periodized_pre_1974_alt_1947_1973","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",27,6.91410779203084,89.7619,"fail","attempted","",""
"S32_ME_growth_extension","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",95,22.3357961159524,132.2207,"fail","attempted","",""
"S32_NRC_growth_extension","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",95,20.3930188075084,132.2207,"fail","attempted","",""
"S32_ME_minus_NRC_growth_extension","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",95,21.6097642754917,132.2207,"fail","attempted","",""
"S32_ME_share_extension","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",95,20.9261287019667,132.2207,"fail","attempted","",""
"S32_NRC_share_extension","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",95,20.9261287019678,132.2207,"fail","attempted","",""
"S32_ME_NRC_gap_extension","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",95,21.6097642754929,132.2207,"fail","attempted","",""
"S32_GOV_TRANS_growth_extension","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",95,71.6164755589081,132.2207,"fail","attempted","",""
"S32_IPP_growth_extension","Phillips-Ouliaris_Pz","urca::ca.po","constant","short",95,64.6219307841409,132.2207,"fail","attempted","",""
