"stage_id","year","ME_support_status","NRC_support_status","CORE_support_status","core_status_rule"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1901,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1902,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1903,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1904,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1905,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1906,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1907,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1908,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1909,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1910,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
