"year","date","K_ME","K_NRC","K_cap","k_ME","k_NRC","k_Kcap","g_K_ME","g_K_NRC","g_Kcap","ME_NRC_gap","ME_share","NRC_share","omega_CORP","omega_NFC","pi_res_CORP","pi_res_NFC","e_CORP","e_NFC","ln_e_CORP","ln_e_NFC","IPP_stock","IPP_growth","IPP_share_total_fixed_assets","IPP_share_capital_plus_IPP","IPP_to_Kcap","GOV_TRANS_stock","GOV_TRANS_growth","GOV_TRANS_to_Kcap","GOV_TRANS_to_NRC","GOV_TRANS_to_ME"
1935,"1935-12-31",18941,61392,80333,9.84908416365674,11.0250348124867,11.2939357744185,-0.0240472688644875,-0.00313880088885021,-0.0081081525284219,-1.17595064882999,0.235781061332205,0.764218938667795,0.620669233047083,0.616558357905585,0.379330766952917,0.383441642094415,0.611164122137405,0.621906486511585,-0.492389743544199,-0.474965540774597,1916,0.0894816870344686,0.0232951160500432,0.0232951160500432,0.0238507213722879,21494,-0.0162440120023888,0.267561276187868,0.350110763617409,1.13478697006494
1936,"1936-12-31",20296,68096,88392,9.91817910127912,11.1286737532613,11.389536746793,0.069094937622376,0.103638940774529,0.0956009723745304,-1.21049465198215,0.229613539686849,0.770386460313151,0.614970508379365,0.61320426040215,0.385029491620635,0.38679573959785,0.626094237649387,0.630777971673227,-0.468254379835935,-0.460801345756618,2159,0.119405471984002,0.0238429172510519,0.0238429172510519,0.0244252873563218,24603,0.135094560303422,0.278339668748303,0.361298754699248,1.21220930232558
1937,"1937-12-31",21664,69637,91301,9.983407175712,11.1510513142638,11.4219170194256,0.0652280744328841,0.022377561002541,0.0323802726325848,-1.1676441385518,0.237281081258694,0.762718918741306,0.63195349510747,0.629079145811021,0.36804650489253,0.370920854188979,0.582394919470997,0.58962509989229,-0.540606505573499,-0.528268367961079,2372,0.0940883296028083,0.0253224015714408,0.0253221312437949,0.0259800002190557,23979,-0.0256899394103929,0.262636772872148,0.344342806266783,1.10685930576071
1938,"1938-12-31",21609,68421,90030,9.98086517355747,11.1334350740343,11.4078982271025,-0.00254200215452904,-0.0176162402295432,-0.014018792323073,-1.15256990047679,0.240019993335555,0.759980006664445,0.634093023255814,0.633989364345709,0.365906976744186,0.366010635654291,0.577055673732854,0.577313526437502,-0.549816528856887,-0.549369786672673,2545,0.0703971688670073,0.0274912233324332,0.0274912233324332,0.0282683549927802,24336,0.0147782882049459,0.2703098967011,0.35568027360021,1.12619741774261
1939,"1939-12-31",22014,68628,90642,9.99943389358334,11.1364558937033,11.4146729607718,0.0185687200258648,0.00302081966905732,0.00677473366925696,-1.13702200011998,0.24286754484676,0.75713245515324,0.630053039748114,0.630537992484756,0.369946960251886,0.369462007515244,0.587167963509525,0.585947257609821,-0.532444361226162,-0.534525497534539,2730,0.0701709591943827,0.0292378871610333,0.0292378871610333,0.030118488118091,24799,0.0188465942603777,0.273592815692505,0.361353966311127,1.12651040247115
1940,"1940-12-31",23646,72281,95927,10.0709492464231,11.1883165796962,11.4713427645199,0.0715153528397217,0.0518606859929207,0.0566698037481235,-1.11736733327318,0.246499942664735,0.753500057335265,0.607263654006099,0.607110693449235,0.392736345993901,0.392889306550765,0.64673119065011,0.647146081909062,-0.435824541214662,-0.435183226490351,3023,0.101948106600453,0.0305507832238504,0.0305507832238504,0.031513546759515,25227,0.0171115197415563,0.262981225306744,0.349012880286659,1.06686120274042
1941,"1941-12-31",26850,80356,107206,10.198021099937,11.294222041682,11.5825074962018,0.127071853513952,0.105905461985802,0.111164731681919,-1.09620094174503,0.250452400052236,0.749547599947764,0.594639411049961,0.594511097780444,0.405360588950039,0.405488902219556,0.681691427472475,0.682054386761516,-0.383178175912541,-0.38264587833359,3678,0.196119410384808,0.0331697990692976,0.0331697990692976,0.0343077812808985,29516,0.15701763967725,0.275320411171017,0.367315446264125,1.09929236499069
1942,"1942-12-31",27830,86053,113883,10.2338698545199,11.3627186644835,11.6429268845645,0.0358487545829256,0.0684966228014101,0.0604193883626607,-1.12884880996351,0.244373611513571,0.755626388486429,0.604140469603786,0.604405412159509,0.395859530396214,0.395594587840491,0.655244186266533,0.654518606024808,-0.422747309360473,-0.423855266190855,4411,0.181732294940673,0.0372887660301117,0.0372884508090013,0.0387327344730996,37847,0.248619227308298,0.332332305963138,0.439810349435813,1.3599353215954
1943,"1943-12-31",28202,85838,114040,10.2471481763972,11.3602170778719,11.6443045430266,0.0132783218772392,-0.00250158661152966,0.00137765846212545,-1.11306890147475,0.247299193265521,0.752700806734479,0.619827602868132,0.621900080256822,0.380172397131868,0.378099919743178,0.61335183424019,0.607975351260667,-0.488816552980107,-0.497620938527459,4999,0.125136471308631,0.0419946404119658,0.0419946404119658,0.0438354963170817,41756,0.0982914370416328,0.366152227288671,0.48645122206948,1.4806042124672
1944,"1944-12-31",28210,86709,114919,10.247431803996,11.3703129636095,11.6519828113498,0.000283627598866687,0.0100958857375915,0.00767826832322349,-1.12288115961347,0.24547724919291,0.75452275080709,0.62530531575709,0.627959009724536,0.37469468424291,0.372040990275464,0.599218773295167,0.592460629617633,-0.51212851667051,-0.523470856083339,5476,0.0911370149947697,0.0454836164292537,0.0454836164292537,0.0476509541503146,37969,-0.0950731162306671,0.330397932456774,0.437889953753359,1.34594115561857
1945,"1945-12-31",32444,93499,125943,10.3872708051902,11.4457060200324,11.7435847026261,0.139839001194193,0.0753930564229055,0.0916018912762695,-1.05843521484218,0.257608600716197,0.742391399283803,0.63547276857004,0.638440192180252,0.36452723142996,0.361559807819748,0.573631553481403,0.566317428395342,-0.555767981653555,-0.568600530430345,5846,0.0653827592628513,0.0443587856346129,0.0443587856346129,0.0464178239362251,36197,-0.0477937948459868,0.287407795590069,0.387137830351127,1.1156762421403
1946,"1946-12-31",39251,113140,152391,10.577732200593,11.6363812688971,11.9342048653728,0.190461395402775,0.190675248864729,0.190620162746649,-1.05864906830414,0.257567704129509,0.742432295870491,0.660202066025877,0.663415069811751,0.339797933974123,0.336584930188249,0.514687777364217,0.507351951296127,-0.664194819712026,-0.678550332209198,6662,0.130662073082433,0.0418856726102155,0.0418854092660937,0.0437164924437795,39026,0.0752518482034095,0.256091238983929,0.344935478168641,0.994267661970396
1947,"1947-12-31",47227,134685,181912,10.7627210419229,11.810693997623,12.1112783326436,0.184988841329918,0.174312728725873,0.177073467270876,-1.04797295570009,0.259614538897929,0.740385461102071,0.644188764185941,0.644483720777999,0.355811235814059,0.355516279222001,0.552340021427876,0.551629572261087,-0.593591441495771,-0.594878522714179,7773,0.154236450476594,0.0409786803314987,0.0409784642960698,0.0427294516029729,47724,0.201206325340747,0.262346629139364,0.354337899543379,1.01052364113748
1948,"1948-12-31",57116,142385,199501,10.9528395665502,11.866289935333,12.2035745278308,0.190118524627257,0.0555959377100024,0.0922961951871937,-0.913450368782836,0.286294304289202,0.713705695710798,0.623778780389284,0.624581372598025,0.376221219610716,0.375418627401975,0.603132442844443,0.601072404449678,-0.50561846649756,-0.50903987840928,8356,0.0723236534462366,0.0402007149145807,0.0402007149145807,0.041884501832071,51553,0.0771759886823826,0.258409732282044,0.362067633528813,0.902601722809721
1949,"1949-12-31",59235,144618,203853,10.9892678623889,11.8818510622874,12.2251544248426,0.0364282958386735,0.015561126954422,0.0215798970117476,-0.892583199898585,0.290577033450575,0.709422966549425,0.620869516577869,0.622946489496739,0.379130483422131,0.377053510503261,0.61064438388252,0.605274316270524,-0.493240512357271,-0.502073508389782,8554,0.0234191661103988,0.0402715528605326,0.0402717424566987,0.0419616095912251,47225,-0.0876869913083631,0.231662030973299,0.326549945373328,0.79724824850173
1950,"1950-12-31",68427,160499,228926,11.1335227625647,11.9860429910032,12.3411540862093,0.144254900175797,0.104191928715759,0.115999661366699,-0.852520228438546,0.298904449472755,0.701095550527245,0.608547071813662,0.609475288313768,0.391452928186338,0.390524711686232,0.643258256127476,0.640755612531387,-0.441208992881313,-0.44510715446085,9455,0.100144692305703,0.0396633959921302,0.0396633959921302,0.041301555961315,53022,0.115783508376348,0.231611961944034,0.330357198487218,0.774869569029769
1951,"1951-12-31",75324,172935,248259,11.2295540881055,12.0606710803352,12.4222278350267,0.096031325540876,0.0746280893319611,0.0810737488174347,-0.831116992229632,0.303408939857165,0.696591060142835,0.61656915566416,0.618138626346099,0.38343084433584,0.381861373653901,0.621878082634239,0.617760090339502,-0.475011214081784,-0.481655100229007,10127,0.0686614222397282,0.039193148262103,0.0391932999465915,0.0407920760173851,59736,0.119227931969478,0.240619675419622,0.345424581490155,0.793054006691094
1952,"1952-12-31",79681,183271,262952,11.2857864423805,12.1187212107274,12.4797267849973,0.0562323542749983,0.0580501303922762,0.0574989499706096,-0.832934768346909,0.303024886671332,0.696975113328668,0.630758818009814,0.63357057934292,0.369241181990186,0.36642942065708,0.585392025362761,0.578356117856839,-0.535473527361108,-0.547565479174708,11026,0.085050995817344,0.0402439603035269,0.0402441071910883,0.0419316072895433,62966,0.0526600444374115,0.23945815205817,0.343567722116429,0.790226026279791
1953,"1953-12-31",86836,189428,276264,11.3717765612086,12.1517642840768,12.529112209263,0.085990118828116,0.0330430733493898,0.0493854242656973,-0.779987722868183,0.314322532070773,0.685677467929227,0.640512658711947,0.644071883964771,0.359487341288053,0.355928116035229,0.561249393588835,0.552621725767953,-0.577589920391585,-0.593081551724664,12392,0.116794982947075,0.042929992794191,0.042929992794191,0.0448556453247618,58242,-0.077988154212667,0.210820085135957,0.307462465950124,0.670712607674236
1954,"1954-12-31",90085,194297,284382,11.4085089480498,12.1771431952052,12.558073683769,0.0367323868411535,0.02537891112833,0.0289614745060049,-0.76863424715536,0.316774620053309,0.683225379946691,0.639122132791917,0.642039314043351,0.360877867208083,0.357960685956649,0.564646174326082,0.557537020127834,-0.571555984136779,-0.584226374035757,13648,0.0965418876347552,0.0457938939237865,0.0457940475791028,0.0479917856967037,60715,0.0415840405476384,0.213498041366894,0.312485524737901,0.673974579563745
1955,"1955-12-31",99701,213256,312957,11.5099309859899,12.2702486009487,12.6538210798931,0.1014220379401,0.093105405743577,0.0957473961240609,-0.760317614958836,0.318577312538144,0.681422687461856,0.620572321079935,0.622858846487424,0.379427678920065,0.377141153512576,0.611415730337079,0.605500195813933,-0.4919781414673,-0.501700392596915,15241,0.11039617415439,0.0464384304596615,0.0464384304596615,0.0486999811475698,67278,0.102642504201016,0.214975220237924,0.315479986495105,0.674797644958426
1956,"1956-12-31",114016,233173,347189,11.6440940684056,12.3595359463094,12.7576245792388,0.134163082415663,0.0892873453606953,0.103803499345723,-0.715441877903869,0.328397501072903,0.671602498927097,0.632565896030042,0.635535528362412,0.367434103969958,0.364464471637588,0.580862968231389,0.573476155733899,-0.543240404971822,-0.556038920027007,17474,0.13672489697219,0.0479182148997842,0.0479182148997842,0.0503299355682352,77285,0.138666598897483,0.222602098568791,0.331449181509008,0.677843460566938
1957,"1957-12-31",125642,247076,372718,11.7411918720232,12.4174512605902,12.8285773805179,0.0970978036176167,0.0579153142808053,0.070952801279125,-0.676259388567058,0.337096678990551,0.662903321009449,0.636319512651866,0.638957571161781,0.363680487348134,0.361042428838219,0.571537537537537,0.565049144314473,-0.559425115423891,-0.570842570530769,19457,0.107492840613336,0.0496131819039508,0.0496130553961879,0.0522030060260036,79571,0.0291498172567746,0.213488481908574,0.322050705046221,0.633315292656914
1958,"1958-12-31",129650,249763,379413,11.7725937909668,12.4282677472082,12.8463806005244,0.0314019189436312,0.0108164866179532,0.0178032200064706,-0.65567395624138,0.341712065743662,0.658287934256338,0.638462646643123,0.640702916019947,0.361537353356877,0.359297083980053,0.566262341669868,0.560785779175177,-0.568697806978934,-0.578416301687458,21159,0.0838584444049122,0.052821832724622,0.0528219645906354,0.0557677254074056,86078,0.0786041570817559,0.22687150941059,0.344638717504194,0.663925954492865
1959,"1959-12-31",136492,257563,394055,11.824021283831,12.4590196293557,12.8842457724464,0.0514274928642138,0.0307518821474879,0.0378651719219842,-0.634998345524654,0.346378043674106,0.653621956325894,0.627209980309345,0.628716570650273,0.372790019690655,0.371283429349727,0.594362384837677,0.590541822312259,-0.520266070155581,-0.526714820599096,23282,0.0956151829318976,0.0557870497942909,0.0557870497942909,0.059083122914314,86534,0.00528353834958217,0.219598786971362,0.33597216991571,0.633985874630015
1960,"1960-12-31",141937,259345,401282,11.8631385761645,12.4659145006271,12.9024197010253,0.0391172923334508,0.00689487127137944,0.0181739285788769,-0.602775924462582,0.353708863093784,0.646291136906216,0.635886474211265,0.638652100649948,0.364113525788735,0.361347899350052,0.572607753986858,0.565797715191593,-0.557554344693328,-0.569518658313717,25168,0.0778928164898733,0.0590174698088873,0.0590174698088873,0.0627189856509886,90109,0.0404826483455309,0.22455280824956,0.347448379571613,0.634852082261849
1961,"1961-12-31",145180,265060,410240,11.8857296308388,12.4877114944347,12.9244976332744,0.022591054674356,0.0217969938076124,0.0220779322491342,-0.601981863595839,0.353890405616225,0.646109594383775,0.633416361922592,0.635335355670866,0.366583638077408,0.364664644329134,0.578740399071356,0.573971904875458,-0.546901262796864,-0.555174830070479,27234,0.0788928463864611,0.0622529847556306,0.0622528424546373,0.0663855304212169,96367,0.067143770721005,0.234903958658346,0.363566739606127,0.66377600220416
1962,"1962-12-31",151576,270815,422391,11.9288424283122,12.509191209919,12.953686704329,0.0431127974733663,0.0214797154843307,0.0291890710546259,-0.580348781606803,0.358852342971323,0.641147657028677,0.628060723321923,0.628948763920103,0.371939276678077,0.371051236079897,0.592202732740276,0.589954631228169,-0.523906248768934,-0.527709641262481,29096,0.0661345149823038,0.0644448234389916,0.0644448234389916,0.0688840434573653,104767,0.0835750174449803,0.248033220404791,0.38685818732345,0.691184620256505
1963,"1963-12-31",158515,276357,434872,11.9736045050456,12.5294487871378,12.9828070138964,0.0447620767334307,0.0202575772188176,0.0291203095673733,-0.55584428209219,0.364509556835115,0.635490443164885,0.623085274875336,0.621930029689577,0.376914725124664,0.378069970310423,0.604916759106648,0.607897918193674,-0.502664418670902,-0.497748308820142,31624,0.0833156183096975,0.0677905062422829,0.0677905062422829,0.0727202487168638,113625,0.0811647156937312,0.261283780054821,0.411152965186335,0.716809134782197
1964,"1964-12-31",168477,289099,457576,12.0345545209415,12.5745244689877,13.0336982701199,0.060950015895834,0.0450756818499141,0.0508912562234691,-0.53996994804627,0.368194573141948,0.631805426858052,0.619666202050873,0.619047357779893,0.380333797949127,0.380952642220107,0.613772054519609,0.615385297154531,-0.48813166647485,-0.485506707906202,34153,0.0769341038946294,0.069455064588553,0.0694549233419221,0.0746389670786929,119850,0.0533374083827507,0.261923702292078,0.414563869124418,0.711373065759718
1965,"1965-12-31",182329,306244,488573,12.1135680264572,12.6321374488124,13.0992441763526,0.0790135055157872,0.0576129798246843,0.0655459062327139,-0.518569422355167,0.373186811387449,0.626813188612551,0.61320930583774,0.61236559273945,0.38679069416226,0.38763440726055,0.630764553766586,0.63301140994295,-0.46082261797911,-0.457266831814077,37500,0.0934905030873505,0.0712828827938328,0.0712828827938328,0.0767541390948743,131815,0.0951584635134974,0.269795915861089,0.430424759342224,0.722951368131235
1966,"1966-12-31",204315,326713,531028,12.2274181995496,12.6968373886555,13.1825700295307,0.113850173092302,0.0646999398430435,0.0833258531780903,-0.469419189105908,0.384753722967527,0.615246277032473,0.620370250919177,0.620003181239775,0.379629749080823,0.379996818760225,0.611940608883713,0.612894949991021,-0.491120045486573,-0.489561728056097,41645,0.104840380410939,0.0727202562016086,0.0727203831855177,0.0784233599734854,146799,0.107664879774223,0.276443050083988,0.449320963659236,0.718493502679686
1967,"1967-12-31",225392,349863,575255,12.3255963875001,12.765296928266,13.2625686997329,0.0981781879505359,0.0684595396105472,0.0799986702022757,-0.439700540765919,0.391812326707286,0.608187673292714,0.627922601451223,0.628388720851657,0.372077398548777,0.371611279148343,0.592552963834796,0.591371657092598,-0.523315019529464,-0.52531059781772,46791,0.116509563350494,0.0752210042006472,0.0752211251257946,0.0813395798385064,161719,0.0967959570582551,0.28112576161876,0.462235217785247,0.717501064811528
1968,"1968-12-31",249908,381916,631824,12.4288481291158,12.8529559681202,13.3563661533333,0.103251741615679,0.0876590398542323,0.093797453600363,-0.424107839004472,0.395534199397301,0.604465800602699,0.627513553497346,0.627992500156573,0.372486446502654,0.372007499843427,0.593591077717222,0.592375704726851,-0.521564618041758,-0.523614209031701,52548,0.116036160869463,0.0767826901411949,0.0767828023355719,0.0831687305325534,175348,0.0809123095348632,0.277526652991972,0.45912713790467,0.701650207276278
1969,"1969-12-31",276471,418872,695343,12.5298612119847,12.9453206629728,13.4521605279833,0.101013082868896,0.0923646948525434,0.095794374649989,-0.41545945098812,0.397603772526652,0.602396227473348,0.639045260076559,0.641990534144692,0.360954739923441,0.358009465855308,0.564834390415786,0.557655365327582,-0.571222705110435,-0.584014132270595,59291,0.120730486220415,0.0785693178008383,0.0785692136850447,0.0852687091119059,199542,0.129252169726922,0.286969164858207,0.476379419011058,0.721746584632746
1970,"1970-12-31",303737,461190,764927,12.6239174743671,13.0415653845748,13.5475356834188,0.0940562623824466,0.0962447216019715,0.0953751554355442,-0.417647910207645,0.397079721332885,0.602920278667115,0.650208208427336,0.653676971146293,0.349791791572664,0.346323028853707,0.537968895253888,0.529807602440685,-0.619954536004953,-0.635241352604455,65365,0.0975294231861472,0.0787253159129559,0.0787253159129559,0.0854525987447168,232682,0.153647974013426,0.304188504262498,0.504525249897006,0.766064062001007
1971,"1971-12-31",325138,511868,837006,12.6920049865729,13.1458220582823,13.6375865179047,0.0680875122057785,0.104256673707535,0.0900508344858686,-0.453817071709402,0.388453607262075,0.611546392737925,0.63797240824182,0.64098353494678,0.36202759175818,0.35901646505322,0.567465907743389,0.560102476084707,-0.566574605892111,-0.579635518985715,69750,0.0649304736876513,0.0769225679234546,0.0769225679234546,0.0833327359660504,248701,0.0665786572084208,0.297131681254376,0.485869403830675,0.764909054001685
1972,"1972-12-31",350432,555890,906322,12.7669219580755,13.2283257119328,13.717149930271,0.0749169715025975,0.082503653650555,0.0795634123663351,-0.461403753857359,0.386652867303232,0.613347132696768,0.638789360651219,0.641336309259143,0.361210639348781,0.358663690740857,0.565461264070744,0.559244324019603,-0.570113484320735,-0.581168827935457,75345,0.0771601451686426,0.0767520961792543,0.0767520961792543,0.0831327055947003,269509,0.0803504132576975,0.297365616193803,0.484824335749879,0.769076454205095
1973,"1973-12-31",388805,632896,1021701,12.870833211568,13.3580613906297,13.8369794433399,0.10391125349255,0.129735678696818,0.119829513068888,-0.487228179061628,0.380546754872512,0.619453245127488,0.641378772213877,0.64395880536602,0.358621227786123,0.35604119463398,0.559141093098939,0.552894364774793,-0.581353434993771,-0.592588317813914,84045,0.109274803815241,0.0760075786008528,0.0760075098621202,0.082259878379291,318487,0.166979872884982,0.311722314062529,0.503221698351704,0.819143272334461
1974,"1974-12-31",479384,775311,1254695,13.0802572253733,13.5610195181626,14.0424030731235,0.209424013805277,0.202958127532973,0.205423629783589,-0.480762292789324,0.382072137053228,0.617927862946772,0.648983395516306,0.654104621464026,0.351016604483694,0.345895378535974,0.540871472072777,0.528807421910254,-0.614573603087845,-0.637130955160678,95675,0.129604661626407,0.0708509519613143,0.0708509519613143,0.0762535915102874,425424,0.289504660811472,0.339065669345937,0.548713999930351,0.887438879895866
1975,"1975-12-31",550680,841114,1391794,13.2189091571769,13.6424824826818,14.1461041204194,0.138651931803567,0.0814629645191811,0.103701047295862,-0.423573325504938,0.395662001704275,0.604337998295725,0.629506651683764,0.6334561606626,0.370493348316236,0.3665438393374,0.588545565523834,0.578641210078363,-0.530100928730516,-0.547072665197684,103649,0.080053159670129,0.0693099431472434,0.0693098967998112,0.0744715094331489,420686,-0.0111996064916138,0.302261685278137,0.500153368033346,0.763939129803152
1976,"1976-12-31",608821,919108,1527929,13.3192795790214,13.7311589134754,14.2394237816604,0.100370421844554,0.0886764307936225,0.0933196612410647,-0.411879334454007,0.398461577730379,0.601538422269621,0.627960062834082,0.630753371060034,0.372039937165918,0.369246628939966,0.592457959009118,0.585405716214274,-0.523475363749166,-0.535450140142245,113361,0.0895672258153972,0.0690682329143539,0.0690682329143539,0.0741925835559113,416190,-0.010744825411793,0.272388311236975,0.452819472793186,0.683599941526327
1977,"1977-12-31",686582,1010755,1697337,13.4394809435246,13.8262081343124,14.3445711102404,0.120201364503158,0.0950492208370086,0.105147328579926,-0.386727190787857,0.404505410534266,0.595494589465734,0.626112863168844,0.630403843120234,0.373887136831156,0.369596156879766,0.597156134021687,0.586284745743966,-0.51557666875821,-0.533949693184369,124877,0.0967518360591875,0.0685304078063322,0.0685303701980119,0.0735723076796181,421372,0.0123741672190416,0.248254766142493,0.416888365627674,0.613724216481061
1978,"1978-12-31",783103,1143006,1926109,13.5710195116601,13.949172192107,14.471012463716,0.131538568135461,0.122964057794553,0.126441353475618,-0.378152680446949,0.406572525230919,0.593427474769081,0.62883238917044,0.636152526475711,0.37116761082956,0.363847473524289,0.590248875887591,0.57195005660043,-0.527211007486619,-0.558703605050008,139760,0.112597412969322,0.0676518851621835,0.0676519179096061,0.0725607948459822,445474,0.0556228298362917,0.231281822575981,0.389738986497009,0.568857481072094
1979,"1979-12-31",906351,1311569,2217920,13.717181927217,14.0867346884187,14.6120803777118,0.146162415556933,0.137562496311661,0.141067913995773,-0.369552761201676,0.408649094647237,0.591350905352763,0.64207996266832,0.649784944902043,0.35792003733168,0.350215055097957,0.557438415994568,0.538970713073005,-0.584403246333259,-0.618094045220981,159871,0.134440574213691,0.067235065136059,0.067235093412331,0.072081499783581,515859,0.146694588510359,0.232586838118598,0.393314419599731,0.569160292204676
1980,"1980-12-31",1053634,1489302,2542936,13.8677556992018,14.2138181117858,14.7488298769621,0.150573771984861,0.127083423367173,0.136749499250358,-0.346062412583988,0.414337600317114,0.585662399682886,0.647330415459289,0.654602937898175,0.352669584540711,0.345397062101825,0.544806139366227,0.52764361738253,-0.607325255182747,-0.639334190247248,182934,0.134758192012301,0.0671103170730813,0.0671103170730813,0.0719381061890665,624704,0.191444465226063,0.245662494061982,0.419460928676655,0.592904177351908
1981,"1981-12-31",1171078,1701224,2872302,13.9734352500968,14.3468585499508,14.8706243568254,0.105679550894946,0.133040438164958,0.121794479863269,-0.373423299854,0.407714091345548,0.592285908654452,0.630741087162103,0.637119794842787,0.369258912837897,0.362880205157213,0.585436592531662,0.569563539062157,-0.535397398082678,-0.562884932411148,209699,0.136547737127495,0.0680398870733657,0.0680398870733657,0.0730072951938898,717092,0.137926207228618,0.249657591715634,0.421515332490019,0.612334959755029
1982,"1982-12-31",1239639,1800007,3039646,14.0303307661627,14.4033011117477,14.9272516192335,0.0568955160658842,0.056442561796926,0.0566272624080781,-0.372970345585042,0.40782347681276,0.59217652318724,0.631693306878897,0.637923812080797,0.368306693121103,0.362076187919203,0.583046692295748,0.567585315146291,-0.539488006137543,-0.566364205866219,234876,0.113384546129099,0.0717283097416021,0.0717283316465731,0.0772708400912475,748439,0.0427855594315734,0.246225711809862,0.415797827452893,0.60375560949599
