"variable_id","display_name","source_line_description","core_K_ME_or_K_NR_boundary","s30c_classification_if_noncore","boundary_lock","ipp_promoted_to_core","government_transportation_promoted_to_core","residential_promoted_to_productive_capital","provider_total_promoted_to_analytical_tot"
"GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","GOV_TRANS_highways_streets_cfc_current_cost","Highways and streets","no","CONTEXTUAL_AUTHORIZED","noncore_or_contextual_boundary_evidence","no","no","no","no"
"GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","GOV_TRANS_highways_streets_gross_investment_current_cost","Highways and streets","no","CONTEXTUAL_AUTHORIZED","noncore_or_contextual_boundary_evidence","no","no","no","no"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","GOV_TRANS_highways_streets_net_stock_current_cost","Highways and streets","no","CONTEXTUAL_AUTHORIZED","noncore_or_contextual_boundary_evidence","no","no","no","no"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","GOV_TRANS_highways_streets_net_stock_quantity_index","Highways and streets","no","CONTEXTUAL_AUTHORIZED","noncore_or_contextual_boundary_evidence","no","no","no","no"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","GOV_TRANS_transportation_structures_cfc_current_cost","Transportation","no","CONTEXTUAL_AUTHORIZED","noncore_or_contextual_boundary_evidence","no","no","no","no"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","GOV_TRANS_transportation_structures_gross_investment_current_cost","Transportation","no","CONTEXTUAL_AUTHORIZED","noncore_or_contextual_boundary_evidence","no","no","no","no"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","GOV_TRANS_transportation_structures_net_stock_current_cost","Transportation","no","CONTEXTUAL_AUTHORIZED","noncore_or_contextual_boundary_evidence","no","no","no","no"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","GOV_TRANS_transportation_structures_net_stock_quantity_index","Transportation","no","CONTEXTUAL_AUTHORIZED","noncore_or_contextual_boundary_evidence","no","no","no","no"
"CORP__ME__cfc_current_cost","CORP_machinery_equipment_cfc_current_cost","Equipment","yes","not_contextual_inventory_object","core_capacity_building_capital_boundary_evidence","no","no","no","no"
"CORP__ME__gross_investment_current_cost","CORP_machinery_equipment_gross_investment_current_cost","Equipment","yes","not_contextual_inventory_object","core_capacity_building_capital_boundary_evidence","no","no","no","no"
"CORP__ME__net_stock_current_cost","CORP_machinery_equipment_net_stock_current_cost","Equipment","yes","not_contextual_inventory_object","core_capacity_building_capital_boundary_evidence","no","no","no","no"
"CORP__ME__net_stock_quantity_index","CORP_machinery_equipment_net_stock_quantity_index","Equipment","yes","not_contextual_inventory_object","core_capacity_building_capital_boundary_evidence","no","no","no","no"
"CORP__NRC__cfc_current_cost","CORP_nonresidential_structures_cfc_current_cost","Structures","yes","not_contextual_inventory_object","core_capacity_building_capital_boundary_evidence","no","no","no","no"
"CORP__NRC__gross_investment_current_cost","CORP_nonresidential_structures_gross_investment_current_cost","Structures","yes","not_contextual_inventory_object","core_capacity_building_capital_boundary_evidence","no","no","no","no"
"CORP__NRC__net_stock_current_cost","CORP_nonresidential_structures_net_stock_current_cost","Structures","yes","not_contextual_inventory_object","core_capacity_building_capital_boundary_evidence","no","no","no","no"
"CORP__NRC__net_stock_quantity_index","CORP_nonresidential_structures_net_stock_quantity_index","Structures","yes","not_contextual_inventory_object","core_capacity_building_capital_boundary_evidence","no","no","no","no"
"FIN__ME__cfc_current_cost","FIN_machinery_equipment_cfc_current_cost","Equipment","no","PARKED_FOR_FUTURE_RESEARCH","noncore_or_contextual_boundary_evidence","no","no","no","no"
"FIN__ME__gross_investment_current_cost","FIN_machinery_equipment_gross_investment_current_cost","Equipment","no","PARKED_FOR_FUTURE_RESEARCH","noncore_or_contextual_boundary_evidence","no","no","no","no"
"FIN__ME__net_stock_current_cost","FIN_machinery_equipment_net_stock_current_cost","Equipment","no","PARKED_FOR_FUTURE_RESEARCH","noncore_or_contextual_boundary_evidence","no","no","no","no"
"FIN__ME__net_stock_quantity_index","FIN_machinery_equipment_net_stock_quantity_index","Equipment","no","PARKED_FOR_FUTURE_RESEARCH","noncore_or_contextual_boundary_evidence","no","no","no","no"
"FIN__NRC__cfc_current_cost","FIN_nonresidential_structures_cfc_current_cost","Structures","no","PARKED_FOR_FUTURE_RESEARCH","noncore_or_contextual_boundary_evidence","no","no","no","no"
"FIN__NRC__gross_investment_current_cost","FIN_nonresidential_structures_gross_investment_current_cost","Structures","no","PARKED_FOR_FUTURE_RESEARCH","noncore_or_contextual_boundary_evidence","no","no","no","no"
"FIN__NRC__net_stock_current_cost","FIN_nonresidential_structures_net_stock_current_cost","Structures","no","PARKED_FOR_FUTURE_RESEARCH","noncore_or_contextual_boundary_evidence","no","no","no","no"
"FIN__NRC__net_stock_quantity_index","FIN_nonresidential_structures_net_stock_quantity_index","Structures","no","PARKED_FOR_FUTURE_RESEARCH","noncore_or_contextual_boundary_evidence","no","no","no","no"
"NFC__ME__cfc_current_cost","NFC_machinery_equipment_cfc_current_cost","Equipment","yes","not_contextual_inventory_object","core_capacity_building_capital_boundary_evidence","no","no","no","no"
"NFC__ME__gross_investment_current_cost","NFC_machinery_equipment_gross_investment_current_cost","Equipment","yes","not_contextual_inventory_object","core_capacity_building_capital_boundary_evidence","no","no","no","no"
"NFC__ME__net_stock_current_cost","NFC_machinery_equipment_net_stock_current_cost","Equipment","yes","not_contextual_inventory_object","core_capacity_building_capital_boundary_evidence","no","no","no","no"
"NFC__ME__net_stock_quantity_index","NFC_machinery_equipment_net_stock_quantity_index","Equipment","yes","not_contextual_inventory_object","core_capacity_building_capital_boundary_evidence","no","no","no","no"
"NFC__NRC__cfc_current_cost","NFC_nonresidential_structures_cfc_current_cost","Structures","yes","not_contextual_inventory_object","core_capacity_building_capital_boundary_evidence","no","no","no","no"
"NFC__NRC__gross_investment_current_cost","NFC_nonresidential_structures_gross_investment_current_cost","Structures","yes","not_contextual_inventory_object","core_capacity_building_capital_boundary_evidence","no","no","no","no"
"NFC__NRC__net_stock_current_cost","NFC_nonresidential_structures_net_stock_current_cost","Structures","yes","not_contextual_inventory_object","core_capacity_building_capital_boundary_evidence","no","no","no","no"
"NFC__NRC__net_stock_quantity_index","NFC_nonresidential_structures_net_stock_quantity_index","Structures","yes","not_contextual_inventory_object","core_capacity_building_capital_boundary_evidence","no","no","no","no"
"CORP__IPP__cfc_current_cost","CORP_intellectual_property_products_cfc_current_cost","Intellectual property products","no","CONTEXTUAL_AUTHORIZED","noncore_or_contextual_boundary_evidence","no","no","no","no"
