pin_year,pin_value,ISI_mean,crisis_mean,neo_mean
1978,0.95,0.9079,0.9369,1.1829
1979,1.0,0.9045,0.9334,1.1783
1980,1.0,0.8663,0.8939,1.1285
1981,1.0,0.8526,0.8798,1.1107
